,,,,,,,Final,FY22,Version,,,,,,,
,,,,,,FY 22,BOARD ADOPTED,BUDGET,,,,,,,,
,,,,,,,,,,,,Proposed,Budget,,,
,,,,,2019,2019,2020,2020,,2021,2021,2022,,,,
,,,,,Total Budget,Total Activity,Total Budget,,Total Activity,Total Budget,YTD Activity,FY22,V1.2,$,Diff %,Diff Notes
,REVENUES,,,,,,,,,,,,,,,
,Program:,0000 - OVERHEAD,,,,,,,,,,,,,,
,,Function:,0000 - CONTINGENCY,,,,,,,,,,,,,
LINE,,,Cost Center:,000 - UNASSIGNED,,,,,,,,,,,,
1,,1000-0000-0000-41111-000,,Durham Assessment,,"3,106,150.00","3,305,051.04","3,113,280.00","3,269,265.00",,"3,222,102.00","2,618,264.52",,"3,313,918.34","91,816.34",2.85%
2,,1000-0000-0000-41112-000,,Freeport Assessment,"12,694,793.00","12,857,279.04",,"12,639,144.00","12,794,408.04","13,240,966.00",,"9,168,195.78","13,691,358.33",,"450,392.33",3.40%
3,,1000-0000-0000-41113-000,,Pownal Assessment,,"1,970,703.00","1,970,703.00","1,954,908.00","1,954,908.00",,"2,016,370.00","1,815,192.19",,"2,033,328.33","16,958.33",0.84%
4,,1000-0000-0000-41114-000,,Local Additional Durham,,"1,888,388.00","1,689,486.95","2,087,822.00","1,932,307.00",,"1,992,578.00","-21,420.00",,"2,124,474.83","131,896.83",6.62%
5,,1000-0000-0000-41115-000,,Local Additional Freeport,,"5,365,138.00","5,202,651.94","6,105,898.00","5,950,611.00",,"5,816,750.00","-67,320.00",,"6,154,725.99","337,975.99",5.81%
6,,1000-0000-0000-41116-000,,Local Additional Pownal,,"993,091.00","993,091.03","1,136,374.00","1,135,926.00",,"1,082,536.00","-13,260.00",,"1,175,349.31","92,813.31",8.57%
7,,1000-0000-0000-41215-000,,Additional Shared Revenue,,"100,736.00","106,136.00","95,000.00",,"94,999.00","106,000.00",0.00,,"98,835.00","-7,165.00",-6.76%
8,,1000-0000-0000-41343-000,,SPECIAL ED FOR STATE WARDS,,0.00,4.92,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00%
9,,1000-0000-0000-41510-000,,Interest Revenue,,"19,900.00","46,474.57","19,000.00",,"31,428.21","25,000.00","2,443.01",,"30,000.00","5,000.00",20.00%
10,,1000-0000-0000-41702-000,,ATHLETIC CHARTER REVENUE,,0.00,0.00,0.00,,"4,819.00",0.00,0.00,,0.00,0.00,0.00%
11,,1000-0000-0000-41900-000,,Reimbursements - Miscellaneous,Revenue,"9,500.00","34,412.56","5,500.00",,"43,803.37","35,250.00",580.11,,"31,018.00","-4,232.00",-12.01%
12,,1000-0000-0000-43111-000,,State Subsidy,,"5,951,626.00","5,905,099.60","6,237,369.00","6,237,369.25",,"6,550,148.00","3,166,450.56",,"6,199,855.76","-350,292.24",-5.35%
13,,1000-0000-0000-43121-000,,State Agency Client Revenue,,"5,000.00",0.00,"40,000.00",,"81,824.41","50,000.00","20,041.67",,"50,000.00",0.00,0.00%
14,,1000-0000-0000-43160-000,,DISTINGUISHED EDUCATOR,REIMB,0.00,0.00,0.00,,"8,085.78",0.00,0.00,,0.00,0.00,0.00%
15,,1000-0000-0000-44585-000,,Medicaid Reimbursement,,"45,000.00","9,326.09","50,000.00",,0.00,0.00,0.00,,0.00,0.00,0.00%
16,,1000-0000-0000-45000-000,,GENERAL FUND FUND,BALANCE,"796,000.00",0.00,"596,000.00",,0.00,"745,000.00",0.00,,"700,000.00","-45,000.00",-6.04%
17,,1000-0000-0000-45300-000,,Gain/Loss from Disposal of,Property,0.00,0.00,0.00,,"1,200.00",0.00,0.00,,0.00,0.00,0.00%
18,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,0.00,0.00%
19,,1000-0000-0000-52310-900,,MPERS REallocate,,0.00,169.76,0.00,,0.00,0.00,"14,532.55",,0.00,0.00,0.00%
,,,,,"Totals 32,946,025.00","32,119,886.50",,"34,080,295.00","33,540,954.06","34,882,700.00",,"16,703,700.39","35,602,863.89",,"720,163.89",2.06%
,EXPENDITURES,,,,,,,,,,,,"35,602,863.89",,,
ARTICLE 1 -,REGULAR,INSTRUCTION,,,,,,,,,,,,,,
,,,,,2019,2019,2020,2020,,2021,2021,2022,,,,
,,,,,Total Budget,Total Activity,Total Budget,,Total Activity,Total Budget,YTD Activity,FY22,V1.2,$,Diff %,Diff Notes
20,Program:,1100 - ELEMENTARY,PROGRAM,,,,,,,,,,,,,
21,,Function:,1000 - REGULAR,INSTRUCTION,,,,,,,,,,,,
22,,,Cost Center:,010 - DURHAM COMMUNITY,,,,,,,,,,,,
23,,1000-1100-1000-51010-010,,Teacher Salary,,"1,549,044.00","1,688,597.63","1,742,940.00","1,688,519.83",,"1,865,881.00","2,268,824.28",,"1,823,357.50","-42,523.50",-2.28%
24,,1000-1100-1000-51020-010,,Ed Tech Salaries,,"63,480.00","88,541.05","69,103.00",,"86,416.39","75,183.00","155,529.60",,"76,258.85","1,075.85",1.43%
25,,1000-1100-1000-51230-010,,Salaries-Subs,,"60,000.00","64,149.07","60,000.00",,"54,336.20","65,000.00","52,080.58",,"60,000.00","-5,000.00",-7.69%
26,,1000-1100-1000-51500-010,,Stipends,,"13,170.00","1,887.77","13,565.00",,"1,107.07","22,307.00","2,064.19",,"22,328.00",21.00,0.09%
27,,1000-1100-1000-52000-010,,Stipend Benefit,,659.00,921.09,678.00,,468.94,323.00,0.00,,323.00,0.00,0.00%
28,,1000-1100-1000-52010-010,,Teacher Benefits,,"532,996.00","444,253.08","483,762.00",,"433,144.51","510,365.00","102,348.73",,"491,881.80","-18,483.20",-3.62%
29,,1000-1100-1000-52020-010,,Ed Tech Benefits,,"34,676.00","39,719.31","47,258.00",,"33,990.57","51,168.00","11,661.93",,"21,722.51","-29,445.49",-57.55%
30,,1000-1100-1000-52030-010,,Benefits-Subs,,"3,000.00","2,670.90","3,000.00",,"2,416.84","1,008.00",136.46,,894.00,-114.00,-11.31%
31,,1000-1100-1000-52300-010,,Retirement,,523.00,74.96,564.00,,39.63,928.00,0.00,,928.00,0.00,0.00%
32,,1000-1100-1000-52310-010,,Retirement,,"61,497.00","69,009.06","73,338.00",,"70,712.55","77,620.00","17,764.62",,"75,933.51","-1,686.49",-2.17%
33,,1000-1100-1000-52320-010,,Retirement,,"2,520.00","3,514.92","2,875.00",,"2,827.00","3,167.00","1,048.12",,"3,146.84",-20.16,-0.64%
34,,1000-1100-1000-52330-010,,Retirement,,"2,382.00",272.37,"2,496.00",,692.81,"2,704.00",819.61,,"2,496.00",-208.00,-7.69%
35,,1000-1100-1000-53400-010,,Professional Services,,"4,329.00","4,664.33","16,956.00",,"6,380.39","18,507.00","5,745.39",,"19,677.40","1,170.40",6.32%
36,,1000-1100-1000-54300-010,,Copiers- Equipment Maint,,"11,100.00","5,285.47","11,100.00",,"2,997.18","11,100.00","2,509.21",,"11,333.10",233.10,2.10%
37,,1000-1100-1000-54330-010,,Software,,600.00,499.00,"2,730.00",,962.87,"3,629.00",970.13,,"9,080.65","5,451.65",150.22%
38,,1000-1100-1000-55800-010,,Travel,,200.00,903.87,"2,500.00",,"1,838.67","2,654.00",131.37,,"2,654.00",0.00,0.00%
39,,1000-1100-1000-56100-010,,Supplies,,"53,702.00","51,297.67","58,289.00",,"54,294.37","65,585.00","34,286.03",,"60,208.84","-5,376.16",-8.20%
40,,1000-1100-1000-56400-010,,Books,,"10,533.00","10,378.28","17,332.00",,"16,969.07","12,195.00","9,791.40",,"11,517.16",-677.84,-5.56%
41,,1000-1100-1000-57300-010,,Equipment,,"14,630.00","15,114.60","17,476.00",,"17,475.78","20,476.00","10,645.88",,"6,065.29","-14,410.71",-70.38%
42,,1000-1100-1000-58100-010,,Dues & Fees,,570.00,360.00,570.00,,0.00,585.00,280.00,,585.00,0.00,0.00%
,,,,,Totals,"2,419,611.00","2,492,114.43","2,626,532.00","2,475,590.67",,"2,810,385.00","2,676,637.53",,"2,700,391.45","-109,993.55",-3.91%
,,,,,2019,2019,2020,2020,,2021,2021,2022,,,,
,,,,,Total Budget,Total Activity,Total Budget,Total,Activity,Total Budget,YTD Activity,FY22,V1.2,$ Diff,% Diff,Notes
,,,,,,,,1 of 24,,,,,,,,
