,,,,,,,,,,Final FY22 Version,,,,,,
153,,,Function: 1000,- REGULAR,INSTRUCTION,,,,,,,,,,,
154,,,,Cost,Center: 300 -,FREEPORT HIGH,SCHOOL,,,,,,,,,
155,,1000-1200-1000-51010-300,,,Teacher,Salaries,,"2,250,783.00","2,399,543.80","2,564,673.00","2,690,866.22","2,887,277.00","3,422,661.30","2,971,169.45","83,892.45",2.91%
156,,1000-1200-1000-51020-300,,,Ed,Tech Salaries,,"68,198.00","117,511.55","127,025.00","171,639.32","107,193.00","179,882.11","127,985.42","20,792.42",19.40%
157,,1000-1200-1000-51230-300,,,,Substitute Wages,,"30,000.00","63,085.80","40,000.00","58,933.18","60,000.00","16,471.77","120,000.00","60,000.00",100.00%
158,,1000-1200-1000-51500-300,,,Stipends,,,"14,195.00",375.00,"14,621.00","5,708.00","7,200.00","1,772.72","7,200.00",0.00,0.00%
159,,1000-1200-1000-52000-300,,,Stipend,Benefits,,710.00,92.03,731.00,85.45,420.00,0.00,420.00,0.00,0.00%
160,,1000-1200-1000-52010-300,,,Teacher,Benefits,,"727,988.00","594,086.09","631,215.00","616,867.38","693,164.00","162,288.95","710,563.85","17,399.85",2.51%
161,,1000-1200-1000-52020-300,,,Ed,Tech Benefits,,"33,204.00","50,268.50","77,480.00","57,825.68","67,381.00","28,323.98","38,427.55","-28,953.45",-42.97%
162,,1000-1200-1000-52030-300,,,,Substitute Benefits,,"1,500.00","4,520.74","2,000.00","2,450.48","3,498.00",155.12,"4,392.00",894.00,25.56%
163,,1000-1200-1000-52300-300,,,,Retirement,,564.00,18.72,608.00,12.49,300.00,0.00,300.00,0.00,0.00%
164,,1000-1200-1000-52310-300,,,,Retirement,,"89,356.00","100,499.70","107,106.00","114,086.67","120,111.00","27,685.15","127,423.32","7,312.32",6.09%
165,,1000-1200-1000-52320-300,,,,Retirement,,"2,707.00","2,435.62","3,086.00","6,396.76","4,662.00","1,116.32","4,970.27",308.27,6.61%
166,,1000-1200-1000-52330-300,,,,Retirement,,"1,191.00",839.03,"1,664.00","1,372.75","2,496.00",35.57,"4,992.00","2,496.00",100.00%
167,,1000-1200-1000-53000-300,,,School,Resource,Officer,"30,000.00","30,815.20","30,900.00","32,104.80","31,830.00",0.00,"31,830.00",0.00,0.00%
168,,1000-1200-1000-53400-300,,,,Purchased Professional,Services,"70,237.00","51,047.25","51,574.00","21,743.85","43,364.00","10,483.44","47,903.00","4,539.00",10.47%
169,,1000-1200-1000-54300-300,,,Copier,Repair/Maint,,"40,000.00","41,246.02","40,000.00","42,666.75","42,000.00","24,325.14","42,882.00",882.00,2.10%
170,,1000-1200-1000-55610-300,,,,Secondary Tuition,Paid To Other SAU,"15,000.00",0.00,"15,000.00",0.00,0.00,0.00,0.00,0.00,0.00%
171,,1000-1200-1000-55611-300,,,16/20,SERVICES,,0.00,0.00,0.00,0.00,0.00,0.00,"6,015.85","6,015.85",100.00%
172,,1000-1200-1000-55630-300,,,,Secondary Tuition,Paid To Private School,0.00,"15,000.00",0.00,"15,000.00","18,000.00","8,000.00",0.00,"-18,000.00",-100.00%
173,,1000-1200-1000-55800-300,,,Travel,,,750.00,"1,057.96","2,000.00",469.68,"1,490.00",0.00,"1,490.00",0.00,0.00%
174,,1000-1200-1000-56000-300,,,Supplies,High School,,0.00,-750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%
175,,1000-1200-1000-56100-300,,,,Instructional Supplies,High School,"49,361.00","49,648.11","52,198.00","40,211.58","49,306.00","26,505.45","44,903.00","-4,403.00",-8.93%
176,,1000-1200-1000-56400-300,,,Books,High School,,"10,855.00","10,950.48","11,002.00","6,753.91","21,105.00","6,465.02","19,341.00","-1,764.00",-8.36%
177,,1000-1200-1000-57300-300,,,,Equipment High School,,"61,794.00","52,213.85","34,808.00","18,914.96","12,988.00","12,978.76","17,956.00","4,968.00",38.25%
,,,,,,,Totals,"3,498,393.00","3,584,505.45","3,807,691.00","3,904,109.91","4,173,785.00","3,929,150.80","4,330,164.71","156,379.71",3.75%
,,,,,,,2019,2019,2020,2020,2021,2021,2022,,,
,,,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$ Diff,% Diff,Notes
178,Program:,4100 - ENGLISH,,LANGUAGE,LEARNER (ELL),,,,,,,,,,,
179,,,Function: 1000,- REGULAR,INSTRUCTION,,,,,,,,,,,
180,,,,Cost,Center: 950 -,K-8,,,,,,,,,,
181,,1000-4100-1000-51010-950,,,Teachers,Salary,,"44,841.00","47,921.30","50,827.00","52,617.40","20,089.00","9,780.09","31,726.22","11,637.22",57.93%
182,,1000-4100-1000-52010-950,,,Teacher,Benefits,,"10,798.00","8,024.46","8,124.00","7,980.55","3,098.00",491.62,601.34,"-2,496.66",-80.59%
183,,1000-4100-1000-52310-950,,,,Retirement,,"1,780.00","1,916.60","2,114.00","2,189.02",836.00,176.54,"1,319.81",483.81,57.87%
184,,1000-4100-1000-53000-950,,,,Purchased Professional,Services,0.00,0.00,0.00,0.00,200.00,0.00,200.00,0.00,0.00%
185,,1000-4100-1000-53400-950,,,,Professional Services,,0.00,0.00,0.00,642.70,0.00,0.00,0.00,0.00,0.00%
186,,1000-4100-1000-55800-950,,,Travel,,,310.00,169.77,450.00,164.29,170.00,0.00,170.00,0.00,0.00%
187,,1000-4100-1000-56100-950,,,,Instructional Supplies,,0.00,236.58,650.00,264.25,350.00,223.35,350.00,0.00,0.00%
,,,,,,,Totals,"57,729.00","58,268.71","62,165.00","63,858.21","24,743.00","10,671.60","34,367.37","9,624.37",38.90%
188,,,,Cost,Center: 990 -,9-12,,,,,,,,,,
189,,1000-4100-1000-51010-990,,,Teacher,Salaries,,"11,210.00","11,980.27","12,707.00","12,706.98","13,392.00","3,807.41","7,931.55","-5,460.45",-40.77%
190,,1000-4100-1000-52010-990,,,Teacher,Benefits,,"2,700.00","2,006.25","2,031.00","1,940.39","2,066.00",166.86,150.34,"-1,915.66",-92.72%
191,,1000-4100-1000-52310-990,,,,Retirement,,445.00,479.05,529.00,528.58,557.00,105.46,329.95,-227.05,-40.76%
192,,1000-4100-1000-53000-990,,,,Purchased Professional,Services,0.00,0.00,0.00,0.00,200.00,0.00,200.00,0.00,0.00%
193,,1000-4100-1000-55800-990,,,,Travel-Other,,200.00,140.40,450.00,29.52,140.00,0.00,140.00,0.00,0.00%
194,,1000-4100-1000-56100-990,,,,Instructional Supplies,,0.00,0.00,650.00,590.39,400.00,0.00,400.00,0.00,0.00%
,,,,,,,Totals,"14,555.00","14,605.97","16,367.00","15,795.86","16,755.00","4,079.73","9,151.84","-7,603.16",-45.38%
195,Program:,4200 -,ALTERNATIVE,(AT RISK),ED PROGRAM,,,,,,,,,,,
196,,,Function: 1000,- REGULAR,INSTRUCTION,,,,,,,,,,,
197,,,,Cost,Center: 010 -,DURHAM COMMUNITY,,,,,,,,,,
198,,1000-4200-1000-53000-010,,,,Purchased Professional,,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
,,,,,,,Totals,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
199,,,,Cost,Center: 050 -,FREEPORT MIDDLE,SCHOOL,,,,,,,,,
200,,1000-4200-1000-53000-050,,,,Purchased Professional,,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
,,,,,,,Totals,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
201,,,,Cost,Center: 300 -,FREEPORT HIGH,SCHOOL,,,,,,,,,
202,,1000-4200-1000-53000-300,,,JMG,,,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
,,,,,,,Totals,"25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00","25,000.00",0.00,0.00%
203,Program:,4900 - GIFTED,&,TALENTED,,,,,,,,,,,,
204,,,Function: 1000,- REGULAR,INSTRUCTION,,,,,,,,,,,
205,,,,Cost,Center: 950 -,K-8,,,,,,,,,,
206,,1000-4900-1000-51010-950,,,Teacher,Salaries,,"137,141.00","121,382.96","165,231.00","126,717.76","170,286.00","243,904.95","190,079.53","19,793.53",11.62% 12
,,,,,,,,,,4 of 24,,,,,,
,,,,,,,,,,Final FY22 Version,,,,,,
207,,1000-4900-1000-51500-950,,Stipends,,,,"13,095.00","5,000.00","12,744.00","3,000.00","15,444.00","1,599.66","15,444.00",0.00,0.00%
208,,1000-4900-1000-52000-950,,Stipends,,,,655.00,28.50,637.00,15.00,772.00,0.00,772.00,0.00,0.00%
209,,1000-4900-1000-52010-950,,Teacher,Benefits,,,"48,435.00","29,627.92","46,178.00","29,456.62","46,496.00","2,623.68","27,500.36","-18,995.64",-40.85%
210,,1000-4900-1000-52300-950,,,Retirement,,,520.00,0.00,530.00,0.00,642.00,0.00,642.00,0.00,0.00%
211,,1000-4900-1000-52310-950,,,Retirement,,,"5,444.00","5,242.59","6,874.00","5,580.20","7,084.00","1,387.55","8,165.61","1,081.61",15.27%
212,,1000-4900-1000-53000-950,,,Purchased,Professional,Services,0.00,0.00,0.00,0.00,"4,167.00","1,544.50","3,867.30",-299.70,-7.19%
213,,1000-4900-1000-53400-950,,,Professional,Services Testing,,0.00,176.92,0.00,"1,403.64",0.00,0.00,0.00,0.00,0.00%
214,,1000-4900-1000-53440-950,,GaTE,K-8,Professional Servies,,"4,020.00","4,107.18","4,120.00","1,410.00",0.00,316.00,0.00,0.00,0.00%
215,,1000-4900-1000-55800-950,,Travel,,,,700.00,431.08,"1,218.00",448.09,908.00,0.00,908.00,0.00,0.00%
216,,1000-4900-1000-56100-950,,GaTE,K-8,Instructional,Supplies,"5,298.00","1,223.01","4,827.00","1,780.34","4,419.00",995.38,"4,292.34",-126.66,-2.87%
217,,1000-4900-1000-56400-950,,GaTE,K-8 Books,,,"1,200.00",710.88,"1,200.00",494.96,"1,200.00",356.18,"1,200.00",0.00,0.00%
218,,1000-4900-1000-58100-950,,Dues,and Fees,,,0.00,0.00,0.00,0.00,"2,692.00",0.00,"2,752.00",60.00,2.23%
,,,,,,,Totals,"216,508.00","167,931.04","243,559.00","170,306.61","254,110.00","252,727.90","255,623.14","1,513.14",0.60%
,,,,,,,2019,2019,2020,2020,2021,2021,2022,,,
,,,,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$ Diff,% Diff,Notes
219,,,Cost Center:,990 -,9-12,,,,,,,,,,,
