,,,,,,,,,Final,FY22 Version,,,,,,
,,,,,,2019,2019,,2020,2020,2021,2021,2022,,,
,,,,,,Total,Budget Total Activity,,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff Notes
461,,Cost Center:,990 -,9-12,,,,,,,,,,,,
462,1000-2800-2150-51010-990,,Teacher,Salaries,,,"35,274.00","36,861.50",,"37,967.00","37,967.54","39,606.00","50,058.33",0.00,"-39,606.00",-100.00%
463,1000-2800-2150-52010-990,,Teacher,Benefit,,,"12,005.00","9,804.13",,"9,858.00","9,796.38","9,950.00","2,164.53",0.00,"-9,950.00",-100.00%
464,1000-2800-2150-52310-990,,,Retirement,,,"1,400.00","1,474.08",,"1,579.00","1,579.50","1,648.00",373.38,"1,648.00",0.00,0.00%
465,1000-2800-2150-55800-990,,Travel,,,,150.00,0.00,,0.00,0.00,70.00,0.00,70.00,0.00,0.00%
,,,,,,Totals,"48,829.00","48,139.71",,"49,404.00","49,343.42","51,274.00","52,596.24","1,718.00","-49,556.00",-96.65%
466,Function:,2160 - SPED OT,,,,,,,,,,,,,,
467,,Cost Center:,010 -,DURHAM,COMMUNITY,,,,,,,,,,,
468,1000-2800-2160-51010-010,,Teacher,Salaries,,,"26,992.00","5,979.68",,"52,796.00",0.00,"54,401.00","71,873.10","52,328.54","-2,072.46",-3.81%
469,1000-2800-2160-52010-010,,Teacher,Benefits,,,"7,541.00","1,098.11",,"3,935.00",0.00,"4,433.00",956.50,976.98,"-3,456.02",-77.96%
470,1000-2800-2160-52310-010,,,Retirement,,,"1,072.00",237.41,,"2,196.00",0.00,"2,263.00",0.00,"2,176.87",-86.13,-3.81%
471,1000-2800-2160-55800-010,,Travel,,,,150.00,201.96,,160.00,0.00,210.00,0.00,210.00,0.00,0.00%
,,,,,,Totals,"35,755.00","7,517.16",,"59,087.00",0.00,"61,307.00","72,829.60","55,692.39","-5,614.61",-9.16%
472,,Cost Center:,020 -,MORSE,STREET,,,,,,,,,,,
473,1000-2800-2160-51010-020,,Teacher,Salaries,,,"14,110.00","21,331.19",,"32,217.00","32,217.35","34,081.00","38,397.70","44,933.60","10,852.60",31.84%
474,1000-2800-2160-52010-020,,Teacher,Benefits,,,"4,802.00","2,193.07",,"2,793.00","4,734.25","2,867.00","1,662.40",841.31,"-2,025.69",-70.66%
475,1000-2800-2160-52310-020,,,Retirement,,,560.00,794.35,,"1,340.00","1,340.28","1,418.00",327.18,"1,869.24",451.24,31.82%
476,1000-2800-2160-55800-020,,Travel,,,,150.00,79.95,,160.00,0.00,80.00,0.00,80.00,0.00,0.00%
,,,,,,Totals,"19,622.00","24,398.56",,"36,510.00","38,291.88","38,446.00","40,387.28","47,724.15","9,278.15",24.13%
477,,Cost Center:,030 -,POWNAL,ELEMENTARY,,,,,,,,,,,
478,1000-2800-2160-51010-030,,Teacher,Salaries,,,"14,110.00","1,520.40",,"13,199.00",0.00,"13,675.00","15,590.95","14,951.01","1,276.01",9.33%
479,1000-2800-2160-52010-030,,Teacher,Benefits,,,"4,802.00",64.50,,984.00,0.00,"1,110.00",173.88,279.14,-830.86,-74.85%
480,1000-2800-2160-52310-030,,,Retirement,,,560.00,0.00,,549.00,0.00,569.00,0.00,621.96,52.96,9.31%
