,,,,,,,Final FY22 Version,,,,,,,
875,1000-0000-2230-52000-300,,Teacher Benefits,,0.00,0.00,0.00,0.00,0.00,728.38,0.00,0.00,0.00%,
876,1000-0000-2230-52010-300,,Teacher Benefits,,"24,011.00","19,441.72","19,717.00","19,851.70",0.00,0.00,0.00,0.00,0.00%,
877,1000-0000-2230-52080-300,,SUPPORT BENEFITS,,"4,789.00","8,788.16","10,005.00","12,879.91",0.00,0.00,0.00,0.00,0.00%,
878,1000-0000-2230-52310-300,,Retirement,,"2,801.00","2,941.91","3,159.00","3,284.95",0.00,0.00,0.00,0.00,0.00%,
879,1000-0000-2230-54320-300,,Tech Repairs/Maint,,"1,689.00","1,211.00","1,740.00",0.00,"5,000.00",64.08,0.00,"-5,000.00",-100.00%,
880,1000-0000-2230-54330-300,,Software,,200.00,"4,875.00",200.00,0.00,0.00,0.00,0.00,0.00,0.00%,
881,1000-0000-2230-56500-300,,Supplies,,700.00,129.00,700.00,0.00,0.00,0.00,0.00,0.00,0.00%,
882,1000-0000-2230-57340-300,,Equipment,,"145,080.00","138,704.55","146,072.00","174,162.00","32,544.00","40,580.56",0.00,"-32,544.00",-100.00%,
,,,,Totals,"269,328.00","284,200.11","286,232.00","322,561.32","37,544.00","41,373.02",0.00,"-37,544.00",-100.00%,
883,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
884,1000-0000-2230-51040-900,,Technology Director,Salary,"81,402.00","95,077.60","88,044.00","88,394.06","91,214.00","217,314.07","94,771.00","3,557.00",3.90%,
885,1000-0000-2230-51180-900,,Support Wages,,"46,000.00","98,821.95","62,525.00","107,178.33","192,188.00","222,276.53","250,031.96","57,843.96",30.10%,
886,1000-0000-2230-52040-900,,Benefits,,"28,488.00","18,460.54","35,966.00","15,881.16","31,981.00","7,785.89","17,131.48","-14,849.52",-46.43%,
887,1000-0000-2230-52080-900,,Benefits,,"25,946.00","23,504.70","20,979.00","33,123.77","77,237.00","49,431.62","106,459.32","29,222.32",37.83%,
888,1000-0000-2230-52340-900,,Retirement,,0.00,0.00,0.00,0.00,"9,248.00",0.00,"9,248.00",0.00,0.00%,
889,1000-0000-2230-53000-900,,Purchased,Professional,"6,000.00","4,315.45","3,450.00","4,671.35","3,400.00","1,000.00","3,400.00",0.00,0.00%,
890,1000-0000-2230-54320-900,,Tech Repairs/Maintenance,,0.00,0.00,0.00,0.00,"10,441.00","1,153.13",0.00,"-10,441.00",-100.00%,
891,1000-0000-2230-54330-900,,Software,,0.00,0.00,0.00,0.00,"1,200.00","1,000.00","1,200.00",0.00,0.00%,
892,1000-0000-2230-55000-900,,Other Purchased,Services,"32,342.00","39,398.08","26,304.00","27,651.73","30,085.00","20,431.00","60,432.00","30,347.00",100.87%,
893,1000-0000-2230-55800-900,,Travel,,"3,000.00","3,189.95","8,070.00","1,438.80","7,530.00",0.00,"7,530.00",0.00,0.00%,
894,1000-0000-2230-56500-900,,Computer Materials,,0.00,0.00,0.00,0.00,"4,200.00",688.45,"4,200.00",0.00,0.00%,
895,1000-0000-2230-57340-900,,EQUIPMENT,,"205,690.00","199,961.98","205,690.00","280,132.32","276,525.00","-13,518.32","276,525.00",0.00,0.00%,
896,1000-0000-2230-58100-900,,Dues and Fees,,0.00,0.00,0.00,0.00,150.00,170.00,150.00,0.00,0.00%,
,,,,Totals,"428,868.00","482,730.25","451,028.00","558,471.52","735,399.00","507,732.37","831,078.76","95,679.76",13.01%,
897,Function:,2240 - ACADEMIC,STUDENT ASSESSMENT,,,,,,,,,,,
898,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
899,1000-0000-2240-53000-900,,Purchased,Professional,"17,290.00","16,900.00","17,290.00","17,100.00","17,290.00","17,400.00","6,331.00","-10,959.00",-63.38%,2
,,,,Totals,"17,290.00","16,900.00","17,290.00","17,100.00","17,290.00","17,400.00","6,331.00","-10,959.00",-63.38%,
900,Function:,2290 - OTH,SUPPORT SVCS,,,,,,,,,,,
901,,Cost Center:,300 - FREEPORT HIGH,SCHOOL,,,,,,,,,,
902,1000-0000-2290-51060-300,,Outreach Coordinator,Salary,0.00,0.00,0.00,0.00,0.00,0.00,"58,553.93","58,553.93",100.00%,3
903,1000-0000-2290-52060-300,,Outreach Coordinator,Benefits,0.00,0.00,0.00,0.00,0.00,0.00,"24,602.67","24,602.67",100.00%,
,,,,Totals,0.00,0.00,0.00,0.00,0.00,0.00,"83,156.60","83,156.60",100.00%,
,,,,Article 5 Totals,"3,436,203.00","3,223,736.00","3,567,564.00","3,314,224.25","3,160,872.00","2,654,895.55","3,458,441.14","297,569.14",9.41%,
,,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
Article 6 - SYSTEM,ADMINISTRATION,,,,,,,,,,,,,
904,Function:,2310 - BOARD,OF DIRECTORS,,,,,,,,,,,
905,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
906,1000-0000-2310-51500-900,,Stipends,,"8,000.00","6,500.00","8,000.00","5,450.00","8,000.00","2,784.04","8,000.00",0.00,0.00%,
907,1000-0000-2310-52000-900,,Board Stipend,Benefits,0.00,524.44,0.00,445.11,700.00,96.55,700.00,0.00,0.00%,
908,1000-0000-2310-52200-900,,Benefits,,700.00,0.00,700.00,0.00,0.00,0.00,0.00,0.00,0.00%,
909,1000-0000-2310-53400-900,,Professional Services,,"96,000.00","9,521.56","96,000.00","22,239.12","57,000.00","3,004.49","57,000.00",0.00,0.00%,
910,1000-0000-2310-55200-900,,Insurance,,"14,917.00","16,651.15","17,983.00","16,687.65","18,357.00","24,611.00","29,533.20","11,176.20",60.88%,
911,1000-0000-2310-55800-900,,Committee Travel,,300.00,0.00,300.00,0.00,300.00,0.00,300.00,0.00,0.00%,
912,1000-0000-2310-56000-900,,Supplies,,300.00,"2,951.89",300.00,478.11,300.00,360.00,300.00,0.00,0.00%,
913,1000-0000-2310-58100-900,,Dues & Fees,,"6,670.00",582.00,"6,670.00","5,443.00","6,670.00","5,186.00","6,670.00",0.00,0.00%,
,,,,Totals,"126,887.00","36,731.04","129,953.00","50,742.99","91,327.00","36,042.08","102,503.20","11,176.20",12.24%,
914,Function:,2320 -,SUPERINTENDENTS OFFICE,,,,,,,,,,,
915,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
916,1000-0000-2320-51040-900,,Superintendent's,Salary,"177,615.00","184,721.16","192,110.00","190,725.34","197,591.00","219,566.57","202,837.28","5,246.28",2.66%,
917,1000-0000-2320-51180-900,,Support Wages,,"67,300.00","68,982.94","70,708.00","70,363.02","73,178.00","82,886.63","74,285.74","1,107.74",1.51%,
918,1000-0000-2320-52000-900,,Benefits,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00%,
919,1000-0000-2320-52040-900,,Superintendent,Benefits,"37,363.00","31,004.58","33,968.00","32,224.81","32,951.00","20,076.49","38,912.06","5,961.06",18.09%,
920,1000-0000-2320-52080-900,,Support Benefits,,"22,686.00","21,460.40","20,979.00","21,453.89","22,322.00","14,215.85","22,230.30",-91.70,-0.41%,
921,1000-0000-2320-52340-900,,Retirement,,"7,334.00","7,333.30","7,992.00","7,952.88","8,252.00","3,145.04","8,794.20",542.20,6.57%,
922,1000-0000-2320-53400-900,,Professional Services,,"50,000.00","88,040.76","50,000.00","111,196.02","117,550.00","28,240.16","117,550.00",0.00,0.00%,
923,1000-0000-2320-54330-900,,Software Repairs,& Maintenance,"70,000.00","82,138.25","70,000.00","21,535.05","79,150.00","51,823.51","92,635.00","13,485.00",17.04%,4
924,1000-0000-2320-54430-900,,Rental/Leases,,0.00,0.00,0.00,"3,030.50",0.00,264.00,0.00,0.00,0.00%,
925,1000-0000-2320-55310-900,,Postage,,"6,700.00","6,803.52","7,370.00","6,951.53","7,370.00","2,974.01","7,370.00",0.00,0.00%,
,,,,,,,18 of 24,,,,,,,
