,,,,,,Final FY22 Version,,,,,,,
1031 1000-0000-2700-56260-900,,Fleet Fuel,,"110,000.00","128,345.89","110,000.00","85,180.39","150,405.00","124,193.73","150,405.00",0.00,0.00%,
1032 1000-0000-2700-56261-900,,Fuel/ Field Trips,,"2,736.00",0.00,"2,792.00",0.00,0.00,0.00,0.00,0.00,0.00%,
1033 1000-0000-2700-56700-900,,Supplies,,"57,435.00","80,188.98","64,040.00","41,768.56","65,000.00","50,363.91","65,000.00",0.00,0.00%,
1034 1000-0000-2700-58100-900,,Dues and Fees,,"3,125.00",883.50,"5,700.00","1,736.25","5,700.00","2,554.25","5,700.00",0.00,0.00%,
1035 1000-0000-2700-58310-900,,Principal-Bus Lease,Purchase,"268,921.00","269,521.57","364,921.00","358,799.82","129,411.00","95,588.94","67,000.00","-62,411.00",-48.23%,
,,,Totals,"1,432,489.00","1,459,932.31","1,533,555.00","1,305,617.02","1,473,419.00","1,168,720.17","1,182,605.63","-290,813.37",-19.74%,
,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
1036,Function: 2750 -,TRANSPORTATION SPECIAL ED,,,,,,,,,,,
1037,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,
1038 1000-0000-2750-51020-900,,Ed Tech Salaries,,0.00,"3,754.36",0.00,"3,637.15",0.00,"3,750.88","3,465.00","3,465.00",100.00%,7
1039 1000-0000-2750-51180-900,,Support Wages,,0.00,"46,854.58",0.00,"41,573.78",0.00,"14,239.29",0.00,0.00,0.00%,
1040 1000-0000-2750-52020-900,,Ed Tech Benefits,,0.00,913.00,0.00,"1,111.17",0.00,132.84,"1,273.98","1,273.98",100.00%,7
1041 1000-0000-2750-52080-900,,Support Benefits,,0.00,"11,775.51",0.00,"8,644.50",0.00,"1,492.04",0.00,0.00,0.00%,
1042 1000-0000-2750-52320-900,,Retirement,,0.00,149.06,0.00,147.97,0.00,59.16,0.00,0.00,0.00%,
1043 1000-0000-2750-55190-900,,Purchased Services,,0.00,"2,033.84",0.00,244.16,0.00,0.00,0.00,0.00,0.00%,
,,,Totals,0.00,"65,480.35",0.00,"55,358.73",0.00,"19,674.21","4,738.98","4,738.98",100.00%,
,,,Article 8 Totals,"1,432,489.00","1,525,412.66","1,533,555.00","1,360,975.75","1,473,419.00","1,188,394.38","1,187,344.61","-286,074.39",-19.42%,
ARTICLE 9 - OPERATIONS &,MAINTENANCE,,,,,,,,,,,,
1044,Function: 2600 - OPERATION,& MAINTENANCE,OF PLANT,,,,,,,,,,
1045,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,
1046 1000-0000-2600-51180-010,,Salaries,,"188,580.00","151,069.77","144,647.00","128,605.85","161,325.00","201,813.86","172,666.40","11,341.40",7.03%,
1047 1000-0000-2600-52080-010,,Custodian Benefits,,"106,209.00","53,215.73","60,109.00","41,476.13","70,969.00","14,194.28","48,045.46","-22,923.54",-32.30%,6
1048 1000-0000-2600-54300-010,,Purchased,Repairs/Maint,"77,227.00","71,308.43","78,800.00","81,626.78","80,993.00","53,059.62","82,309.00","1,316.00",1.62%,
1049 1000-0000-2600-55200-010,,Insurance,,"22,992.00","25,503.65","28,564.00","26,700.24","30,972.00","28,095.44","33,714.53","2,742.53",8.85%,
1050 1000-0000-2600-55320-010,,Telephone,,"3,000.00","4,363.46","3,229.00","3,851.04","4,400.00","2,128.07","4,400.00",0.00,0.00%,
1051 1000-0000-2600-56000-010,,Supplies,,"23,500.00","16,648.09","23,500.00","24,023.86","23,500.00","15,808.15","23,500.00",0.00,0.00%,
1052 1000-0000-2600-56011-010,,Materials for Repair,,"8,000.00","9,971.62","8,000.00","9,163.68","6,500.00","1,671.17","6,500.00",0.00,0.00%,
1053 1000-0000-2600-56013-010,,Major Maintenance,,"6,400.00","6,308.07","6,400.00","1,625.00","6,400.00","2,538.72","6,400.00",0.00,0.00%,
1054 1000-0000-2600-56220-010,,Electricity - Durham,,"137,008.00","166,539.48","145,000.00","113,655.90","166,000.00","166,000.00","162,583.00","-3,417.00",-2.06%,
1055 1000-0000-2600-56240-010,,Heating Fuel,,"13,000.00","8,187.45","13,000.00","22,150.95","13,000.00","10,000.00","13,000.00",0.00,0.00%,
,,,Totals,"585,916.00","513,115.75","511,249.00","452,879.43","564,059.00","495,309.31","553,118.39","-10,940.61",-1.94%,
1056,Cost Center:,020 - MORSE STREET,,,,,,,,,,,
1057 1000-0000-2600-51180-020,,Custodial Salaries,,"132,634.00","145,999.40","147,736.00","158,467.97","143,697.00","179,617.28","174,886.40","31,189.40",21.70%,
1058 1000-0000-2600-52080-020,,Custodian Benefits,,"82,442.00","43,392.67","73,487.00","53,942.94","83,400.00","23,834.38","57,788.22","-25,611.78",-30.71%,6
1059 1000-0000-2600-53300-020,,Employee Training,,125.00,0.00,125.00,0.00,125.00,0.00,125.00,0.00,0.00%,
1060 1000-0000-2600-54100-020,,Water/Sewage,,"12,175.00","16,760.20","12,175.00","19,010.94","16,760.00","18,787.35","18,760.00","2,000.00",11.93%,
1061 1000-0000-2600-54300-020,,Purchased,Repairs/Maint,"40,544.00","36,841.34","41,039.00","32,206.31","42,039.00","23,066.66","42,039.00",0.00,0.00%,
1062 1000-0000-2600-55200-020,,Insurance,,"9,977.00","11,065.64","12,394.00","12,237.61","14,196.00","12,877.54","15,453.05","1,257.05",8.85%,
1063 1000-0000-2600-55320-020,,Telephone,,"2,600.00","3,193.55","2,600.00","2,490.97","3,400.00","1,357.89","3,400.00",0.00,0.00%,
1064 1000-0000-2600-56000-020,,Supplies,,"15,650.00","15,662.18","18,500.00","13,067.22","18,500.00","3,983.04","18,500.00",0.00,0.00%,
1065 1000-0000-2600-56011-020,,Materials for Repair,,"6,550.00","3,782.33","4,050.00","2,673.73","4,050.00","2,977.15","4,050.00",0.00,0.00%,
