,,,,RSU5,Proposed,Budget,2021-2022,,,,,
,,,,,Teachers/Class,loads,per,grade,,,,
,Grade,Durham,,Morse,Street,,Pownal,Mast,Landing,Freeport Middle,Freeport,High
,PK,1 .5,"(13,14,13)",2,"(16,16,16,16)",.5,(16),,,,,
,K,3,"(16,16,16)",5,(17-18),1,(15),,,,,
,1,2,"(20,20)",5,(18-19),1,(14),,,,,
,2,3,"(16,16,16)",5,(17-18),1,(15),,,,,
,3,3,"(18,18,17)",,,1,(15),4,(19-20),,,
,4,3,"(15,15,16)",,,1,(18),4,(17-18),,,
,5,2,"(20,21)",,,1,(17),4,(18-19),,,
,6,3,"(16,16,15)",,,,,,,5.33 (18-20),,
,7,2,"(22,22)",,,,,,,5.33 (19-21),,
,8,3,"(17,17,16)",,,,,,,5.33 (19-21),,
,Total,25.5,,,17,,6.5,,12,16,See,attached
,,,,,2017-2018,,2018-2019,,2019-2020,2020-2021,,2021-2022
,,,,,Enrollment,,Enrollment,,Enrollment,Enrollment,,Projected
,,,,,10/1/17,,10/1/18,,10/1/19,10/1/20,,Enrollment
,Durham,Community,School,,432,,422,,438,431,,457
Morse,Street,School,,,259,,271,,309,284,,333
,Pownal,Elementary,School,,114,,111,,104,103,,110
Mast,Landing,School,,,251,,256,,234,213,,227
,Freeport,Middle School,,,356,,351,,347,314,,302
,Freeport High,School,,,535,,582,,580,604,,610
,,,Total,,1947,,1993,,2012,1949,,2039
,,,,,,,,,,,2 of,11
