,,Freeport,High School Class Sizes,Current School,Year,2021-2022,
,Department,,Student Load,# of,Sections,Class,Size (Range)
,Choices /,Life Skills,15,,10,,4 - 7
Drama,,,45,,6,,13 - 19
,Endeavor,,33,,6,,4 - 13
,English,,572,,37,,12 - 21
Fine,Arts,,161,,17,,5 - 20
Health,/ PE,,254,,31,,7 - 22
JMG,/,Videography,62,,7,,8 - 12
Math,,,629,,39,,4 - 24
Music,,,136,,10,2 - 50,(concert band)
Morse,Street,Pre-,,,,,
,apprenticeship,,0,,0,,0
,Science,,702,,42,,8 - 20
Social,Studies,,538,,39,,8 - 20
Virtual,High,School,5,,4,,1 - 4
World,,Language,423,,26,,11 - 20
,,,,,,,3 of 11
