,,,,,,Budget Adjustments 2021-2022
ALL,,ARTICLES,,,,
,DW,Increase,in,salaries &,"benefits: $909,088",
,ARTICLE,1: REGULAR,,INSTRUCTION,,
,FHS,*Added,.1 FTE,Ed Tech -,"$4,000",
,DCS,*Added,.5 FTE,Guidance,Counselor -,"$43,500"
,DCS,*Added,.5 FTE,Literacy,Teacher -,"$43,500"
,DCS,,*Reduced .5,FTE ET -,"($20,000)",
,MSS,*Added,1.0,FTE 2nd Grade,Teacher -,"$87,000"
,PES,*Added,.2 FTE,Math,"Teacher - $17,400",
,ARTICLE,3: CAREER,AND,TECHNICAL,EDUCATION,
,DW,*Line,507;,Increase of,"40.58% - $41,273",
,ARTICLE,4: OTHER,,INSTRUCTION,,
,,,CO-CURRICULAR,,,
,DW,*Added,Civil,Rights Stipends,"- $9,400",
,FMS,*Drama,Technical,Director,"- $1,235",
,MLS,*STEM,Stipend,"- $1,235",,
,,ATHLETICS,,,,
,FHS,*Added,Varsity,Swim,Coach to Replace,"Contract with Yarmouth - $2,217"
,ARTICLE,5: STUDENT,AND,STAFF,SUPPORT,
,,GUIDANCE,,,,
,DW,*Equity,Audit,"- $25,000",line 746,
,,,IMPROVEMENT,OF,INSTRUCTION,
,DW,*K-8,Responsive,Classroom,Training,"$25,000"
,,,TECHNOLOGY,,,
,DW,,*Additional IT,Tech -,"$67,000",
,ARTICLE,6: SYSTEM,,ADMINISTRATION,,
,DW,,*Increase hours,for AP,Clerk to 40/wk:,"$17,000"
,ARTICLE,8:,TRANSPORTATION,AND,BUSES,
,DW,*New,Bustodian,"- $56,000",,
,DW,,*Reduction,Bus Lease,Payments:,"($62,000)"
,DW,,*Increase in,Vehicle,"Insurance - $3,673",
,ARTICLE,9:,FACILITIES,MAINTENANCE,,
,DW,,*Estimated,decrease for,Electricity -,"Solar Project - ($20,000)"
,DW,,*Scheduled,Reductions to,Debt Service,"- ($45,813)"
,,,,,,5 of 11
