Summary,of Total,,Contribution,by,Town:,,,,,,,
,,,,,,Assessed,,Board,Adopted,,,
,,,,,,2020-2021,,2021-2022,,$,Difference,
DURHAM,,,,,,,,,,,,
Durham 2020,State,taxable valuation,,,$,"393,900,000",,"$419,483,333",,,,
State mil rate,,,,,,x 0.818%,,x,0.790%,,,
Durham RLC,,,,,,"3,222,102",,,"3,313,918",,,
Durham,ALM,,,,,"1,862,159",,,"2,022,084",,,
Durham,Non-Shared,Debt,,,,"152,268",,,"126,381",,,
Durham State,Aid,,,,,"4,966,394",,,"4,785,401",,,
Durham,Total,Contribution,,,$,"10,202,923",$,"10,247,785",,,,
Durham Net,Tax Impact,,,,,,,,,,,
(Total Contribution,less,State Aid),,,$,"5,236,529",$,,"5,462,384",$,"225,854",
Estimated Impact,based,on 2021 Mil of,$20.25 and,a taxable,valuation,of,"$372,355,987*",,,,$0.61,3.00%
FREEPORT,,,,,,,,,,,,
Freeport,2020 State,taxable valuation,,,$,"1,618,700,000",,"$1,733,083,333",,,,
State mil rate,,,,,,x 0.818%,,x,0.790%,,,
Freeport RLC,,,,,,"13,240,966",,"13,691,358",,,,
Freeport,ALM,,,,,"5,736,006",,,"6,228,624",,,
Freeport,Non-Shared,Debt,,,,"148,043",,,-,,,
Freeport,State Aid,(or Min. Spec.,Ed. Adj.),,,"1,156,956",,,"1,073,800",,,
Freeport,Total,Contribution,,,$,"20,281,971",$,"20,993,782",,,,
Freeport Net,Tax Impact,,,,,,,,,,,
(Total Contribution,less,State Aid),,,$,"19,125,015",$,"19,919,982",,$,"794,966",
Estimated Impact,based,on 2021 Mil of,$14.00 and,a taxable,valuation,of,"$2,042,641,170*",,,,$0.39,2.78%
POWNAL,,,,,,,,,,,,
Pownal 2020,State,taxable valuation,,,$,"246,500,000",,"$257,383,333",,,,
State mil rate,,,,,,x 0.818%,,x,0.790%,,,
Pownal RLC,,,,,,"2,016,370",,,"2,033,328",,,
Pownal ALM,,,,,,"1,095,388",,,"1,189,461",,,
Pownal,Non-Shared,Debt,,,,-,,,-,,,
Pownal,State Aid,,,,,"370,060",,,"285,749",,,
Pownal,Total,Contribution,,,$,"3,481,818",$,,"3,508,539",,,
Pownal Net Tax,Impact,,,,,,,,,,,
(Total Contribution,less,State Aid),,,$,"3,111,758",$,,"3,222,790",$,"111,032",
Estimated Impact,based,on 2021 Mil of,$18.00 and,a taxable,valuation,of,"$256,557,790*",,,,$0.43,2.40%
"* April 1, 2021",valuations,and mil,rates are,not,known at,this time.,Actual,impact,will,be determined,when,
taxes are,committed in,each town.,,,,,,,,,,
,,,,,,,,,,,8 of 11,
