TENNIS COURT PROJECT,RESERVE FUND,,,,
,Summary as of,"April 14,",2021,,
"Tennis Court July 1,",2020 Fund Balance,,,$,-
2020-2021 GF Capital,Improvements,,(1000-0000-2690-54500-900),$,-
Tennis Court Reserves,Balance to Date,,,$,-
Expenditures to,Date,,,$,-
Anticipated Tennis,Court Balance as,of April,"14, 2021",$,-
,How,Funded:,,,
2020-2021 Undesignated,Fund Balance,,,$,-
2021-2022 Capital,Improvements,(1000-0000-2690-54500-900),,$,"3 0,000"
Tennis Court Reserve,Fund FY 2022,,,$,"30,000"
FUEL RESERVE FUND,,,,,
,Summary as of,"April 14,",2021,,
Fuel Reserve - July,"1, 2020 Fund Balance",,,$,"100,000"
Anticipated Usage,,,,$,-
Anticipated Fuel,Reserve Balance as,of April,"14, 2021",$,"100,000"
,Funding for,2021-2022:,,,
2020-2021 Anticipated,Fuel Reserve,Fund Balance,,$,"100,000"
2020-2021 Unexpended,Fund Balance,,,$,-
Fuel Reserve Fund,FY 2022,,,$,"100,000"
2021-2022 Heating,Fuel Budgeted in,Operating,Budget*,$,"258,855"
*Amounts budgeted,are based on,anticipated Natural,Gas,expenditures,
Durham Community,School utilizes,Geothermal,heating with,Propane backup.,
,,,,,10 of 11
