,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff Support - -,Adopted,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.0000.2220.51010.050,,Librarian Salaries,"$64,433",,"$66,385",,"$72,429","$72,168","$75,636","$3,468",4.81
1000.0000.2220.51010.300,,Librarian Salary,"$80,671",,"$77,525",,"$74,881","$77,761","$81,341","$3,580",4.60
1000.0000.2220.51020.010,,Ed Tech Salaries,$0,,$0,,"$5,649","$12,476","$14,392","$1,916",15.36
1000.0000.2220.51020.020,,Ed Tech Salaries,"$13,167",,"$11,808",,"$14,094","$16,538","$14,391","($2,147)",(12.98)
1000.0000.2220.51020.030,,Ed Tech Salaries,"$29,545",,"$31,014",,"$25,742",$0,$0,$0,0.00
1000.0000.2220.51020.040,,Ed Tech Salaries,"$13,167",,"$11,807",,"$39,301",$0,$0,$0,0.00
1000.0000.2220.51020.050,,Ed Tech Salaries,$0,,$0,,"$1,240",$0,$0,$0,0.00
1000.0000.2220.51020.300,,Ed Tech Salaries,"$12,791",,"$14,837",,"$14,712","$17,242","$22,899","$5,657",32.81
1000.0000.2220.52010.010,,Librarian Benefits,"$21,379",,"$21,006",,"$4,872","$21,431","$23,958","$2,527",11.79
1000.0000.2220.52010.020,,Librarian Benefits,"$5,311",,"$5,526",,"$2,337",$584,"$2,453","$1,869",320.14
1000.0000.2220.52010.030,,Librarian Benefits,"$2,674",,"$2,939",,"$1,633",$584,"$2,508","$1,924",329.56
1000.0000.2220.52010.040,,Librarian Benefits,"$12,752",,"$12,696",,"$2,828","$15,907","$16,414",$507,3.19
1000.0000.2220.52010.050,,Librarian Benefits,"$21,499",,"$21,476",,"$4,837","$21,447","$23,960","$2,513",11.72
1000.0000.2220.52010.300,,Librarian Benefits,"$15,915",,"$15,835",,"$3,514","$15,770","$16,274",$504,3.19
1000.0000.2220.52020.010,,Ed Tech Salaries,$0,,$0,,"$2,023","$4,926","$6,184","$1,258",25.54
1000.0000.2220.52020.020,,Library Ed Tech Benefit,"$4,197",,"$6,148",,"$5,085","$6,659","$11,987","$5,328",80.02
1000.0000.2220.52020.030,,Ed Tech Benefits,"$3,036",,"$3,149",,"$2,284",$0,$0,$0,0.00
1000.0000.2220.52020.040,,Ed Tech Benefits,"$4,196",,"$6,148",,"$4,541",$0,$0,$0,0.00
1000.0000.2220.52020.300,,Ed Tech Benefits,"$3,617",,"$4,174",,$156,"$1,410","$10,224","$8,814",624.97
1000.0000.2220.52310.010,,Retirement,"$2,494",,"$2,745",,$653,"$2,964","$3,140",$176,5.93
1000.0000.2220.52310.020,,Retirement,"$1,488",,"$1,578",,$157,"$1,296","$1,299",$3,0.20
1000.0000.2220.52310.030,,Retirement,"$1,120",,"$1,152",,($10),"$1,296","$1,402",$106,8.14
1000.0000.2220.52310.040,,Retirement,"$2,451",,"$2,642",,$628,"$3,545","$3,647",$102,2.88
1000.0000.2220.52310.050,,Retirement,"$2,902",,"$3,116",,$733,"$3,002","$3,146",$144,4.79
,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff Support - -,Adopted,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.0000.2220.52310.300,,Retirement,"$2,741",,"$2,973",,$712,"$3,235","$3,383",$148,4.58
1000.0000.2220.52320.010,,Ed Tech Retirement,$0,,$0,,$0,$519,$599,$80,15.42
1000.0000.2220.52320.020,,Retirement,$523,,$491,,$201,$688,$0,($688),(100.00)
1000.0000.2220.52320.030,,Retirement,"$1,173",,"$1,154",,$23,$0,$0,$0,0.00
1000.0000.2220.52320.040,,Retirement,$523,,$491,,$201,$0,$0,$0,0.00
1000.0000.2220.52320.300,,Retirement,$0,,$0,,$0,$909,$952,$43,4.73
1000.0000.2220.54330.010,,Software,"$1,042",,"$1,043",,"$1,043","$1,043","$1,043",$0,0.00
1000.0000.2220.54330.020,,Software,"$1,042",,"$1,043",,"$1,043","$1,043","$1,043",$0,0.00
1000.0000.2220.54330.030,,Software,"$1,042",,"$1,043",,"$1,043","$1,043","$1,043",$0,0.00
1000.0000.2220.54330.040,,Software,"$1,042",,"$1,043",,"$1,043","$1,043","$1,043",$0,0.00
1000.0000.2220.54330.050,,Software,"$1,294",,"$1,043",,"$1,043","$1,043","$1,043",$0,0.00
1000.0000.2220.54330.300,,Software,"$1,042",,"$1,043",,"$1,043","$1,043","$2,843","$1,800",172.58
1000.0000.2220.56000.010,,Supplies,$0,,$0,,"$1,121","$1,300","$1,300",$0,0.00
1000.0000.2220.56000.020,,Supplies,$0,,$309,,$0,$0,$0,$0,0.00
1000.0000.2220.56000.030,,Supplies,$10,,$160,,$0,$0,$0,$0,0.00
1000.0000.2220.56000.040,,Supplies,$268,,$449,,$0,$0,$0,$0,0.00
1000.0000.2220.56000.050,,Supplies,$499,,$153,,$486,$709,$500,($209),(29.48)
1000.0000.2220.56000.300,,Supplies,"$2,179",,$536,,$803,"$1,440","$1,440",$0,0.00
1000.0000.2220.56100.010,,Supplies,"$1,319",,"$1,511",,$143,$0,$0,$0,0.00
1000.0000.2220.56100.020,,Instructional Supplies,$0,,$0,,$114,$339,$339,$0,0.00
1000.0000.2220.56100.030,,Instructional Supplies,$0,,$0,,$150,$339,$339,$0,0.00
1000.0000.2220.56100.040,,Instructional Supplies,$0,,$0,,$331,$339,$339,$0,0.00
1000.0000.2220.56400.010,,Books,"$8,583",,"$8,540",,"$8,652","$9,287","$11,115","$1,828",19.68
1000.0000.2220.56400.020,,Books,"$5,500",,"$6,166",,"$6,447","$6,827","$6,355",($472),(6.91)
