,,,,RSU,No.,5,,,,
,Article 11,All Other,Expenditures - - Adopted,,,,,,,
From,Date:,7/1/2022,To Date: 6/30/2023,Definition:,FY23 Adopted,,,,,
,,,,,,,,,,Percentage
,,,,FY19 Actual FY20 Actual,,FY21 Actual,,,Dollar Difference,Difference
,,,,,,,,FY22 Adopted FY23,Adopted,
,Account,,Description,,,,,,,
,1000.0000.3100.59100.900,,Fund Transfer Out,"$268,245 $310,226",,,"$73,311","$293,245","$293,245 $0",0.00
Grand,Total:,,,"$268,245 $310,226",,,"$73,311","$293,245","$293,245 $0",0.00
,,,,End,of Report,,,,,
,,,,,,,,,Page,49
