,,,,RSU5,Adopted Budget,2022-2023,,,
,,,,Teachers/Class,Sizes,Per Grade,,,
Grade,Durham,,Morse,,Pownal,Mast,Freeport,,Freeport
,Community,,Street,,Elementary,Landing,Middle,,High
PK,1.5,"(16,16,16)","2 (16,16,16,16)",,.5 (16),,,,
K,3,(14-15),5 (15-16),,1 (14),,,,
1,3,(16),5 (16-17),,1 (20),,,,
2,3,(15-16),5 (17-18),,1 (15),,,,
3,3,(16-17),,,1 (16),5 (17-18),,,
4,3,(17-18),,,1 (16),4 (20),,,
5,3,(16),,,1 (14),4 (19-20),,,
6,2,(19),,,,,5.33 (18-19),,
7,3,(15-16),,,,,5.33 (18-19),,
8,2,(23),,,,,5.33 (19-20),,
9,,,,,,,,See,next page
10,,,,,,,,See,next page
11,,,,,,,,See,next page
12,,,,,,,,See,next page
Total,26.5,,17,,6.5,13,16,See,next page
,,,2018-2019,,2019-2020,2020-2021,2021-2022,,2022-2023
,,,Enrollment,,Enrollment,Enrollment,Enrollment,,Projected
,,,10/1/18,,10/1/19,10/1/20,10/1/21,,Enrollment
Durham,Community,School,422,,438,431,455,,469
Morse,Street School,,271,,309,284,301,,310
Pownal,Elementary School,,111,,104,103,108,,111
Mast Landing,School,,256,,234,213,235,,245
Freeport,Middle School,,351,,347,314,296,,285
Freeport,High School,,582,,580,604,595,,587
,Total,,1993,,2012,1949,1990,,2007
