,,,Freeport High,School,
,,,2022/23 Class,Sizes,
,Department,# of,Students,# of Sections,Class Size (Range)
,Choices / Life Skills,,14,12,4 - 11
Drama,,,44,6,10 - 26
,Endeavor,,30,7,7 - 22
English,,,591,40,12 - 20
Fine,Arts,,176,14,2 - 20
Health,/ PE,,245,14,7 - 22
JMG,/ Videography,,69,7,8 - 15
Math,,,666,43,4 - 23
Music,,,134,10,2 - 50 (Concert Band)
Morse,Street,,,,
,,,0,0,0
,Pre-Apprenticeship,,,,
,Science,,673,45,8 - 22
Social,Studies,,478,28,8 - 20
Virtual,High School,,3,3,1 - 3
World,Language,,287,24,7 - 25
