,,,Budget,,Adjustments 2022-2023,
ALL,ARTICLES,,,,,
,,DW,Increase,in,Salaries and Benefits:,"$762,845"
ARTICLE,1:,,,,,
REGULAR,INSTRUCTION,,,,,
,,FHS,Added,.5 FTE,Ed Tech,"$18,500"
,,DCS,Added,1.0,FTE 1st Grade Teacher,"$87,000"
,,DCS,Added,1.0,FTE Ed Tech,"$37,000"
,,MLS,Added,1.0,FTE Ed Tech,"$37,000"
,,FMS,Added,1.0,FTE Ed Tech,"$37,000"
,,MLS,Added,1.0,FTE 3rd Grade Teacher,"$87,000"
,,DW,Added,.6 FTE,Speech Therapist,"$52,200"
,,DW,Added,.6 FTE,Occupational Therapist,"$52,200"
,,DW,Added,.6 FTE,Special Education Teacher,"$52,200"
,,DW,Furniture,,,"$12,065"
,,DCS,Yoga,Club,Stipend,"$1,272"
,,DCS,2 Tech,,Integrators Stipends,"$2,544"
,,DCS,3,Academic,Leadership Stipends,"$7,065"
,,FMS,2,Academic,Leadership Stipends,"$4,710"
,,FMS,Technical,,Director Stipend (Drama),"$1,272"
,,FHS,Jazz,Band,Stipend,"$1,641"
,,FHS,SAT,Exam,11th Graders,$800
,,DW,ELL,Teacher,1.5 FTE,"$130,500"
ARTICLE,2:,,,,,
SPECIAL,EDUCATION,,,,,
,,DW,Added,.4 FTE,Speech Teacher,"$34,800"
,,DW,Added,.4 FTE,Occupational Therapist,"$34,800"
,,DW,Added,.4 FTE,Special Education Teacher,"$34,800"
ARTICLE,3:,,,,,
,CAREER/TECHNICAL,ED,,,,
,,DW,Increase,of,29.11%,"$41,617"
ARTICLE,4:,,,,,
OTHER,INSTRUCTION,FHS,Swim,Meets:,"Officials, Timing, Pool","Rentals $3,341"
,,FHS,,Additional,hours for Athletic Trainer,"$27,310"
