,,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,-,Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date:,6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
1000.2800.2140.52310.020,,,Retirement,,$666,,"$1,056",,$294,"$1,198",$0,"($1,198)",(100.00)
1000.2800.2140.52310.030,,,Retirement,,"$1,913",,"$2,476",,$294,$631,$0,($631),(100.00)
1000.2800.2140.52310.040,,,Retirement,,$666,,"$1,056",,$294,"$1,198",$0,"($1,198)",(100.00)
1000.2800.2140.52310.050,,,Retirement,,$666,,"$1,056",,$294,"$1,198",$0,"($1,198)",(100.00)
1000.2800.2140.52310.300,,,Retirement,,$0,,$432,,$157,$709,"$1,834","$1,125",158.67
1000.2800.2140.52310.950,,,Retirement,,$0,,$0,,$0,$0,"$4,090","$4,090",0.00
1000.2800.2140.52310.990,,,Retirement,,$0,,$0,,$0,$567,$0,($567),(100.00)
1000.2800.2140.55800.010,,Travel,,,$0,,$0,,$0,$116,$580,$464,400.00
1000.2800.2140.55800.020,,Travel,,,$0,,$0,,$0,$116,$125,$9,7.76
1000.2800.2140.55800.030,,Travel,,,$0,,$0,,$0,$116,$125,$9,7.76
1000.2800.2140.55800.040,,Travel,,,$0,,$0,,$0,$116,$125,$9,7.76
1000.2800.2140.55800.050,,Travel,,,$0,,$0,,$0,$116,$125,$9,7.76
1000.2800.2140.55800.300,,Travel,,,$0,,$7,,$0,$20,$125,$105,525.00
1000.2800.2140.55800.950,,Travel,,,$584,,$0,,$0,$0,$580,$580,0.00
1000.2800.2140.55800.990,,Travel,,,$17,,$0,,$0,$0,$0,$0,0.00
1000.2800.2150.51010.010,,Speech,& Audiology,Salaries,"$84,750",,"$79,062",,"$73,212","$76,835","$94,657","$17,822",23.19
1000.2800.2150.51010.020,,Speech,& Audiology,Salaries,"$73,445",,"$68,602",,"$54,524","$58,829","$55,306","($3,523)",(5.99)
1000.2800.2150.51010.030,,Speech,& Audiology,Salaries,"$44,864",,"$32,654",,"$30,068","$29,596","$33,377","$3,781",12.77
1000.2800.2150.51010.040,,Speech,& Audiology,Salaries,"$44,864",,"$44,165",,"$45,102","$44,395","$86,897","$42,502",95.74
1000.2800.2150.51010.050,,Speech,& Audiology,Salaries,"$49,121",,"$42,365",,"$40,174","$39,606","$40,991","$1,385",3.50
1000.2800.2150.51010.300,,Speech,& Audiology,Salaries,"$15,324",,"$5,496",,$0,"$39,606","$40,991","$1,385",3.50
1000.2800.2150.51010.990,,Speech,& Audiology,Salaries,"$36,862",,"$37,968",,"$40,173",$0,$0,$0,0.00
1000.2800.2150.52010.010,,Speech,& Audiology,Benefits,"$11,545",,"$10,545",,"$2,136","$12,163","$16,465","$4,302",35.37
1000.2800.2150.52010.020,,Speech,& Audiology,Benefits,"$11,707",,"$10,678",,"$2,158","$9,908","$10,065",$157,1.58
,,,,,,,,,,,,3/21/22 Page 16,
,,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,-,Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date:,6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
1000.2800.2150.52010.030,,Speech,& Audiology,Benefits,"$14,149",,"$6,587",,"$1,925","$8,592","$9,631","$1,039",12.09
1000.2800.2150.52010.040,,Speech,& Audiology,Benefits,"$14,148",,"$10,700",,"$2,889","$12,888","$23,267","$10,379",80.53
1000.2800.2150.52010.050,,Speech,& Audiology,Benefits,"$11,469",,"$10,555",,"$2,199","$9,789","$10,047",$258,2.64
1000.2800.2150.52010.300,,Speech,& Audiology,Benefits,"$2,257",,$717,,$0,"$9,789","$10,045",$256,2.62
1000.2800.2150.52010.990,,Speech,& Audiology,Benefits,"$9,804",,"$9,796",,"$2,199",$0,$0,$0,0.00
1000.2800.2150.52310.010,,,Retirement,,"$3,386",,"$3,289",,$734,"$3,295","$4,409","$1,114",33.80
1000.2800.2150.52310.020,,,Retirement,,"$2,443",,"$2,343",,$528,"$2,447","$2,300",($147),(6.02)
1000.2800.2150.52310.030,,,Retirement,,"$1,791",,"$1,358",,$271,"$1,231","$1,289",$58,4.69
1000.2800.2150.52310.040,,,Retirement,,"$1,791",,"$1,837",,$406,"$1,847","$4,240","$2,393",129.58
1000.2800.2150.52310.050,,,Retirement,,"$1,961",,"$1,762",,$373,"$1,648","$1,705",$57,3.48
1000.2800.2150.52310.300,,,Retirement,,$608,,$229,,$0,"$1,648",$0,"($1,648)",(100.00)
1000.2800.2150.52310.990,,,Retirement,,"$1,474",,"$1,580",,$373,"$1,648",$0,"($1,648)",(100.00)
1000.2800.2150.53440.010,,,Professional,Services,$559,,$0,,$0,$0,$0,$0,0.00
1000.2800.2150.53440.300,,,Professional,Services,$51,,$0,,$0,$0,$0,$0,0.00
1000.2800.2150.55800.030,,Travel,,,$0,,$0,,$0,$0,$125,$125,0.00
1000.2800.2150.55800.040,,Travel,,,$0,,$0,,$0,$0,$125,$125,0.00
1000.2800.2150.55800.050,,Travel,,,$70,,$9,,$0,$70,$125,$55,78.57
1000.2800.2150.55800.990,,Travel,,,$0,,$0,,$0,$70,$0,($70),(100.00)
1000.2800.2160.51010.010,,OT,Salary,,"$5,980",,$0,,"$59,200","$52,329","$72,426","$20,097",38.41
1000.2800.2160.51010.020,,OT,Salary,,"$21,331",,"$32,217",,"$30,419","$44,934","$45,323",$389,0.87
1000.2800.2160.51010.030,,OT,Salary,,"$1,520",,$0,,"$12,423","$14,951","$17,306","$2,355",15.75
1000.2800.2160.51010.040,,OT,Salary,,"$8,124",,"$10,739",,"$10,140","$12,838","$22,422","$9,584",74.65
1000.2800.2160.51010.050,,OT,Salary,,"$9,282",,"$5,370",,"$5,070","$7,476","$7,374",($102),(1.36)
1000.2800.2160.51010.300,,OT,Salary,,"$6,343",,"$5,370",,"$5,070","$6,419","$6,439",$20,0.31
,,,,,,,,,,,,3/21/22 Page 17,
