,,,,,RSU,No.,5,,,
,Article 3,CTE -,Proposed,,,,,,,
From,Date:,7/1/2021,,To Date: 6/30/2022,Definition:,FY23,Proposed,,,
,,,,,,,,,,Percentage
,,,,,FY19 Actual FY20 Actual,,FY21 Actual,FY22 Adopted FY23,Proposed Dollar Difference,Difference
,Account,,,Description,,,,,,
,1000.3000.1000.55640.300,,MVR,10 Assessment,"$74,492","$99,419",,"$101,705 $142,979","$184,596 $41,617",29.11
Grand,Total:,,,,"$74,492","$99,419",,"$101,705 $142,979","$184,596 $41,617",29.11
,,,,,End,of Report,,,,
,,,,,,,,,3/21/22 Page 20,
