,,,,RSU,No.,5,,,,,
Article 6,System,Administration - Proposed,,,,,,,,,
From Date:,7/1/2021,To Date:,6/30/2022 Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.0000.2310.51500.900,,Stipends,"$6,500",,"$5,450",,"$6,598","$8,000","$11,000","$3,000",37.50
1000.0000.2310.52000.900,,Board Stipend Benefits,$524,,$445,,$101,$700,$700,$0,0.00
1000.0000.2310.53400.900,,Professional Services,"$9,522",,"$22,239",,"$5,505","$57,000","$57,000",$0,0.00
1000.0000.2310.55200.900,,Insurance,"$16,651",,"$16,688",,"$24,611","$29,533","$35,000","$5,467",18.51
1000.0000.2310.55800.900,,Committee Travel,$0,,$0,,$0,$300,$300,$0,0.00
1000.0000.2310.56000.900,,Supplies,"$2,952",,$478,,$360,$300,$300,$0,0.00
1000.0000.2310.58100.900,,Dues & Fees,$582,,"$5,443",,"$5,186","$6,670","$6,670",$0,0.00
1000.0000.2320.51040.900,,Superintendent's Salary,"$184,721","$190,725",,,"$204,344","$202,837","$210,950","$8,113",4.00
1000.0000.2320.51180.900,,Support Wages,"$68,983",,"$70,363",,"$80,376","$74,286","$76,506","$2,220",2.99
1000.0000.2320.52000.900,,Benefits,$0,,$1,,$0,$0,$0,$0,0.00
1000.0000.2320.52040.900,,Superintendent Benefits,"$31,005",,"$32,225",,"$28,768","$38,912","$47,228","$8,316",21.37
1000.0000.2320.52080.900,,Support Benefits,"$21,460",,"$21,454",,"$13,412","$22,230","$22,996",$766,3.44
1000.0000.2320.52340.900,,Retirement,"$7,333",,"$7,953",,"$3,145","$8,794","$8,775",($19),(0.22)
1000.0000.2320.53400.900,,Professional Services,"$88,041","$111,196",,,"$100,904","$117,550","$125,363","$7,813",6.65
1000.0000.2320.54330.900,,Software Repairs &,"Maintenance $82,138",,"$21,535",,"$79,789","$92,635","$50,710","($41,925)",(45.26)
1000.0000.2320.54430.900,,Rental/Leases,$0,,"$3,031",,($528),$0,$0,$0,0.00
1000.0000.2320.55310.900,,Postage,"$6,804",,"$6,952",,"$6,332","$7,370","$7,370",$0,0.00
1000.0000.2320.55320.900,,Telephone,$0,,$351,,$0,$0,$0,$0,0.00
1000.0000.2320.55400.900,,Advertising,"$2,127",,$198,,"$1,939","$6,000","$6,000",$0,0.00
1000.0000.2320.55800.900,,Travel,"$1,328",,"$2,548",,$126,"$1,500",$0,"($1,500)",(100.00)
1000.0000.2320.56000.900,,Supplies,"$10,011",,"$7,830",,"$14,042","$14,000","$14,000",$0,0.00
1000.0000.2320.56400.900,,Books,$339,,$40,,$506,$300,$300,$0,0.00
1000.0000.2320.57340.900,,Technology Equipment,"$5,964",,"($8,136)",,$558,"$2,000","$2,000",$0,0.00
1000.0000.2320.58100.900,,Dues and Fees,"$26,786",,"$9,055",,"$12,388","$11,500","$11,000",($500),(4.35)
,,,,,,,,,,3/21/22 Page 36,
