,,,,RSU,No.,5,,,
,Article 11,All Other,Expenditures - Proposed,,,,,,
From,Date:,7/1/2021,To Date: 6/30/2022,Definition:,FY23,Proposed,,,
,,,,,,,,,Percentage
,,,,FY19 Actual FY20 Actual,,FY21 Actual,FY22 Adopted FY23,Proposed Dollar Difference,Difference
,Account,,Description,,,,,,
,1000.0000.3100.59100.900,,Fund Transfer Out,"$268,245 $310,226",,,"$73,311 $293,245","$293,245 $0",0.00
Grand,Total:,,,"$268,245 $310,226",,,"$73,311 $293,245","$293,245 $0",0.00
,,,,End,of Report,,,,
,,,,,,,,3/21/22 Page 49,
