,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - - Adopted,,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.1100.1000.51010.010,,Teacher Salary,"$1,688,598","$1,688,520",,"$1,921,743",,"$1,823,358","$2,060,580","$237,223",13.01
1000.1100.1000.51010.020,,Teacher Salary,"$893,772","$969,014",,,"$803,730","$1,066,763","$1,016,769","($49,994)",(4.69)
1000.1100.1000.51010.030,,Teacher Salaries,"$417,118","$387,444",,,"$560,957","$537,454","$556,315","$18,861",3.51
1000.1100.1000.51010.040,,Teacher Salaries,"$1,182,362","$1,151,489",,"$1,253,811",,"$1,262,123","$1,309,025","$46,902",3.72
1000.1100.1000.51010.050,,Teacher Salaries,"$1,581,220","$1,711,235",,"$1,751,006",,"$1,698,538","$1,686,356","($12,182)",(0.72)
1000.1100.1000.51010.900,,TEACHER ADDITIONAL,PAY CLEARING $0,,$0,,"$6,225",$0,$0,$0,0.00
1000.1100.1000.51020.010,,Ed Tech Salaries,"$88,541",,"$86,416",,"$127,074","$76,259","$89,990","$13,731",18.01
1000.1100.1000.51020.020,,Ed Tech Salaries,"$58,289",,"$73,048",,"$81,387","$84,750","$82,481","($2,269)",(2.68)
1000.1100.1000.51020.030,,Ed Tech Salaries,"$15,393",,"$15,580",,"$31,525","$40,948","$54,294","$13,346",32.59
1000.1100.1000.51020.040,,Ed Tech Salaries,$0,,"$70,350",,"$16,965","$33,530","$46,363","$12,833",38.27
1000.1100.1000.51020.050,,Ed Tech Salaries,"$102,807",,"$85,224",,"$81,972","$124,929","$107,011","($17,918)",(14.34)
1000.1100.1000.51230.010,,Salaries-Subs,"$64,149",,"$54,336",,"$151,065","$60,000","$65,000","$5,000",8.33
1000.1100.1000.51230.020,,Substitute Wages,"$26,474",,"$31,345",,"$14,868","$30,000","$30,000",$0,0.00
1000.1100.1000.51230.030,,Sub Salaries,"$53,265",,"$4,259",,"$34,679","$20,000","$30,000","$10,000",50.00
1000.1100.1000.51230.040,,Substitute Wages,"$27,708",,"$22,320",,"$24,138","$60,000","$30,000","($30,000)",(50.00)
1000.1100.1000.51230.050,,Substitute Wages,"$37,527",,"$18,907",,"$62,395","$80,000","$65,000","($15,000)",(18.75)
1000.1100.1000.51500.010,,Stipends,"$1,888",,"$1,107",,"$3,045","$22,328","$32,870","$10,542",47.21
1000.1100.1000.51500.020,,Stipends,$0,,$0,,$0,"$13,900","$11,775","($2,125)",(15.29)
1000.1100.1000.51500.030,,Stipends,$0,,$0,,$0,"$4,572","$4,710",$138,3.02
1000.1100.1000.51500.040,,Stipends,$0,,$0,,$0,$0,"$13,002","$13,002",0.00
1000.1100.1000.51500.050,,Stipends,"$3,331",,"$2,565",,$0,"$24,437","$27,723","$3,286",13.45
1000.1100.1000.52000.010,,Stipend Benefit,$921,,$469,,$4,$323,$422,$99,30.65
1000.1100.1000.52000.020,,Stipend Benefits,$0,,$0,,$0,$229,$253,$24,10.48
1000.1100.1000.52000.030,,Stipend Benefits,$0,,$0,,$0,$89,$89,$0,0.00
