,,,,,,RSU,No. 5,,,,
,Article 3,CTE --,Adopted,,,,,,,,
From,Date:,7/1/2022,,To Date: 6/30/2023,,Definition:,FY23 Adopted,,,,
,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,FY21,Actual,,ollar Difference,Difference
,,,,,,,,,FY22 Adopted FY23,Adopted D,
,Account,,,Description,,,,,,,
,1000.3000.1000.55640.300,,MVR,10 Assessment,"$74,492",,"$99,419","$101,705","$142,979","$184,596 $41,617",29.11
Grand,Total:,,,,"$74,492",,"$99,419","$101,705","$142,979","$184,596 $41,617",29.11
,,,,,,End,of Report,,,,
,,,,RSU,No.,5,,,,,
Article 4,Other,Instruction - - Adopted,,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.9100.1000.51500.010,,Stipends,"$23,241",,"$22,853",,"$26,116","$26,627","$26,112",($515),(1.93)
1000.9100.1000.51500.020,,Stipends Paid,$0,,$0,,$0,$0,"$1,272","$1,272",0.00
1000.9100.1000.51500.030,,Stipends,"$7,037",,"$8,071",,"$5,333","$6,440","$3,815","($2,625)",(40.76)
1000.9100.1000.51500.040,,Stipends,"$5,414",,"$10,470",,"$11,036","$8,071","$9,798","$1,727",21.39
1000.9100.1000.51500.050,,Stipends,"$33,274",,"$27,155",,"$22,328","$30,979","$33,250","$2,271",7.33
1000.9100.1000.52000.010,,Benefits,"$1,599",,$665,,$193,$439,"$1,496","$1,057",240.53
1000.9100.1000.52000.030,,Stipend Benefits,$80,,$39,,$3,$106,$396,$290,272.74
1000.9100.1000.52000.040,,Stipend Benefits,$32,,$91,,$5,$133,$573,$440,330.21
1000.9100.1000.52000.050,,Stipend Benefits,"$1,195",,$216,,$20,$511,"$1,444",$933,182.52
1000.9100.1000.52300.010,,Retirement,$182,,$14,,$0,"$1,108","$1,245",$137,12.39
1000.9100.1000.52300.030,,MPERS Employer Contribution,$78,,$0,,$0,$268,$329,$61,22.81
1000.9100.1000.52300.040,,RETIREMENT,$0,,$14,,$0,$336,$476,$140,41.76
1000.9100.1000.52300.050,,Retirement,$139,,$11,,$0,"$1,289","$1,201",($88),(6.81)
1000.9100.1000.56000.010,,Supplies,$596,,$515,,$0,$750,$750,$0,0.00
1000.9100.1000.56000.050,,Supplies,"$2,962",,"$2,117",,($120),$0,$0,$0,0.00
1000.9100.1000.56100.050,,Instructional Supplies,$0,,$0,,"$4,974","$3,900","$3,900",$0,0.00
1000.9100.1000.58100.010,,Dues & Fees,$930,,$679,,$0,"$1,609","$1,609",$0,0.00
1000.9100.1000.58100.030,,Dues & Fees,$0,,$0,,$0,$200,$200,$0,0.00
1000.9100.1000.58100.040,,Dues & Fees,$175,,$175,,$0,$400,$400,$0,0.00
1000.9100.1000.58100.050,,Dues & Fees,"$2,750",,"$1,463",,"$27,157","$2,750","$2,750",$0,0.00
1000.9200.1000.51040.050,,Athletic Director Salary,"$29,272",,"$34,653",,$0,$0,$0,$0,0.00
1000.9200.1000.51230.050,,Other Wages,"$5,503",,"$5,823",,$0,$0,$0,$0,0.00
1000.9200.1000.51500.050,,Stipends-Coaches,"$109,526",,"$84,948",,"$89,064","$114,107","$114,106",($1),0.00
1000.9200.1000.52000.050,,Benefits,"$9,075",,"$3,621",,"$1,168","$5,705","$5,705",$0,0.00
