ARTICLE,5:,,,,,,
STUDENT,AND,STAFF,SUPPORT,,,,
,,,DW,Reduction,in Technology,Hardware,"-$25,271"
,,,DW,Consulting,Physician,,"$1,500"
,,,DW,Professional,Dev. for School,Counselors,"$1,200"
,,,DW,Cyber,Security / MSMA,,"$1,300"
ARTICLE,6:,,,,,,
SYSTEM,,ADMINISTRATION,,,,,
,,,DW,Reduction,in Accounting,Software,"-$41,000"
,,,DW,Reduction,in Legal Fees,,"-$24,000"
ARTICLE,7:,,,,,,
SCHOOL,,ADMINISTRATION,,,,,
,,,DW,Increase,in Benefits,,"$35,000"
,,,MLS,Office,Secretary additional,hours,"$1,924"
,,,MLS,Administrative,Secretary 6,additional days,"$1,225"
,,,MSS,Office,Secretary additional,hours,"$3,469"
,,,MSS,Administrative,Secretary,additional hours,"$1,225"
ARTICLE,8:,,,,,,
,TRANSPORTATION,AND,BUSES,,,,
,,,DW,Added,Bus Driver / Custodian,,"$56,000"
ARTICLE,9:,,,,,,
,FACILITIES,MAINTENANCE,,,,,
,,,DW,Estimated,Decrease in,Electricity-Solar Project,"$38,000"
,,,DW,Increase,to Tennis Court,Reserve Acct.,"$10,000"
,,,DW,Property,and Casualty,Insurance,"$25,977"
ARTICLE,10:,,,,,,
DEBT,SERVICE,AND OTHER,,,,,
,,,DW,Reduction,in Interest Payments,,"$87,596"
KEY:,,,,,,,
DW,District wide,,,,,,
