,,,,,Approved,,Proposed,,Difference,
,,,,,2021-2022,,2022-2023,,,
RSU,Operating,Budget,,,,,,,,
,Total Operating,Budget,,,"$35,602,863",,"$37,111,151",,"$1,508,288",
,Adult,Education Budget,,$,"112,000",,$,"112,000",$,-
Total,RSU,Operating Budget,w/Adult Ed,,"$35,714,863",,"$37,223,151",,"$1,508,288",4.22%
State,and,Non-Shared,Debt,,,,,,,
,Durham,Non-Shared,Debt Assessment,$,"146,646*",,$,"125,094",$,"-21,552"
,State,Supported Shared,Debt,$,"1,194,439",,"$1,056,510",,$,"-$137,929"
Total,State and,Non-Shared,Debt,$,"1,341,085",,$,"1,181,604",$,"-159,481"
,,,,*Note:,,Reflective,of the,2021-2022,,amount
,,,,prior,to,refinanced,,interest,savings,obtained
