RSU,5 Board,Revised,FY23,Budget,Impact,-,Summary,,,,,
,,,,,Assessed,,,Proposed,,,,
,,,,,2021-2022,,,2022-2023,,Difference,,
Total,Operating Budget,,,,$,"35,602,864",$,"37,111,151",,$,"1,508,287",
Adult,Education Budget,,,,,"112,000",,,"112,000",,-,
Total,Operating,Budget w/Adult Ed,,,$,"35,714,864",$,"37,223,151",,$,"1,508,287",4.22%
Less:,Shared Revenues*,,,,$,"909,853",$,"1,363,829",,$,"453,976",
Less:,Shared State,Aid (Educ. Service,Center. Member,Alloc.),,"54,905",,,"56,118",,"1,213",
A -,Operating Budget,less Shared,Revenue/Aid,,$,"34,750,106",$,"35,803,204",,$,"1,053,098",
,Less: State Aid,Allocation by,Town,,,,,,,,,
,Durham,,,,$,"4,785,401",$,"4,997,167",,$,"(22,939)",
,Durham-Additional,subsidy,received after,7/01/2021,$,"2 3 4 , 7 0 5",,*,,,,
,note 1,,,,,,,,,,,
,Freeport,(incl. Min Spec. Ed.,Adj),,,"1,073,800",,,"938,654",,"(135,146)",
,Pownal,,,*,,"285,749",,,"438,504",,(869),
,Pownal-Additional,subsidy,received after,7/01/2021,,"153,624",,,-,,,
,note 2,,,,,,,,,,,
,,,,,$,"6,533,279",$,"6,374,325",,$,"(158,954)",
,This amount,is the increased,FY22 subsidy,,,"$388,329",,,,,,
,B - Total,State Allocation @ Time,of Budget,Adoption,$,"6,144,950",,,,,,
,Notes 1 &,2 refer to an increase,in FY22,State subsidy,that was,not known,when,the budget,was,passed,,
,by the,voters. It is being,applied within,shared,revenues to offset,taxation,in,FY23.,,,,
,Less: Non-Shared,Debt,,,,,,,,,,
,Durham,Non-Shared Debt,Assessment,,$,"126,381",$,,"125,094",$,"(1,287)",
,C - Total,Non-Shared Debt,,,$,"126,381",$,,"125,094",$,"(1,287)",
,Less: Required,Local Contribution,(RLC),,,,,,,,,
,Durham,,,,$,"3,313,918",$,"3,138,792",,$,"(175,126)",
,Freeport,,,,,"13,691,358",,"13,275,698",,,"(415,660)",
,Pownal,,,,,"2,033,328",,"1,919,840",,,"(113,488)",
,D - Total,Required Local,Contribution,,$,"19,038,604",$,"18,334,330",,$,"(704,274)",
E -,Additional Local,Monies Required,(A - B - C - D),,$,"9,440,170",$,"10,969,455",,$,"1,529,285",
Net,Impact to Taxation,Districtwide,(C+D + E),,$,"28,605,155",$,"29,428,879",,$,"823,724",2.88%
Additional,Local,Monies (ALM),Required Distribution,per,RSU Cost,Sharing,Plan,,,,,
,Durham,(21.42% x E),,,$,"2,022,085",$,"2,349,657",,$,"327,573",
,Freeport,(65.98% x E),,,$,"6,228,625",,"7,237,647",,,"1,009,022",
,Pownal,(12.60% x E),,,$,"1,189,462",,"1,382,151",,,"192,690",
,,,,,$,"9,440,171",$,"10,969,455",,$,"1,529,284",
,,,*Shared,Revenue,2021-2022,,,2022-2023,,,,
,Town of,Freeport Hunter Road,Field Maintenance,,$,"98,835",$,,"100,811",,,
,Town of Freeport,Contribution,for Shared,Employee,,"25,518",,,"25,518",,,
,,State,Agency /,Medicaid,,"50,000",,,"30,000",,,
,Additional,2021-2022 State,Subsidy,Received,,-,,,"388,329",,,
,,,Misc. /,Interest,,"30,000",,,"25,000",,,
,,,Laugh &,Learn,,"5,500",,,"5,500",,,
,,Undesignated,Fund,Balance,,"700,000",,,"788,671",,,
,,Total,Shared,Revenue,$,"909,853",$,"1,363,829",,,,1 3
