Summary of,Total,Contribution,by,Town:,,,,,,,
,,,,,Assessed,,Proposed,,,,
,,,,,2021-2022,,2022-2023,,$,Difference,
DURHAM,,,,,,,,,,,
Durham 2021 taxable,valuation,,,$,"419,483,333",$,"442,083,333",,,,
State mil rate,,,,,x,0.79%,x,0.710%,,,
Durham RLC,,,,,"3,313,918",,"3,138,792",,,,
Durham ALM,,,,,"2,022,084",,"2,349,657",,,,
Durham Non-Shared,Debt,,,,,"126,381",,"125,094",,,
Durham State Aid,,,,,"4,785,401",,"4,997,167",,,,
* Durham Total,Contribution,,,$,"10,247,784",$,"10,610,710",,,,
Durham Net Tax Impact,,,,,,,,,,,
(Total Contribution,less State Aid),,,$,"5,462,383",$,"5,613,543",,$,"151,160",2.69%
Estimated Impact based,on 2021 Mil of,$20.70 and,a taxable,valuation,of,"$363,029,800",,,,$0.42,2.01%
FREEPORT,,,,,,,,,,,
Freeport 2021 taxable,valuation,,,$,"1,733,083,333",$,"1,869,816,667",,,,
State mil rate,,,,,x,0.79%,x,0.71%,,,
Freeport RLC,,,,,"13,691,358",,"13,275,698",,,,
Freeport ALM,,,,,"6,228,625",,"7,237,647",,,,
Freeport State Aid,(or Min. Spec.,Ed. Adj.),,,"1,073,800",,,"938,654",,,
Freeport Total,Contribution,,,$,"20,993,783",$,"21,451,999",,,,
Freeport Net Tax Impact,,,,,,,,,,,
(Total Contribution,less State Aid),,,$,"19,919,983",$,"20,513,345",,$,"593,362",2.98%
Estimated Impact based,on 2021 Mil of,$13.35 and,a taxable,valuation,of,"$2,067,067,634",,,,$0.29,2.15%
POWNAL,,,,,,,,,,,
Pownal 2021 taxable,valuation,,,$,"257,383,333",$,"270,400,000",,,,
State mil rate,,,,,x,0.79%,x,0.710%,,,
Pownal RLC,,,,,"2,033,328",,"1,919,840",,,,
Pownal ALM,,,,,"1,189,462",,"1,382,151",,,,
Pownal Non-Shared,Debt,,,,,-,,-,,,
Pownal State Aid,,,,,,"285,749",,"438,504",,,
Pownal-Additional,subsidy received,after 7/01/2021,,,,,,,,,
* Pownal Total,Contribution,,,$,"3,508,539",$,"3,740,495",,,,
Pownal Net Tax Impact,,,,,,,,,,,
(Total Contribution,less State Aid),,,$,"3,222,790",$,"3,301,991",,$,"79,202",2.46%
Estimated Impact based,on 2021 Mil of,$18.00 and,a taxable,valuation,of,"$252,769,660",,,,$0.31,1.74%
*2022-2023 Includes,the additional,State subsidy,,received,,,,,,,
"* April 1, 2022 valuations",and mil,rates are,not,known at,this time.,Actual,impact will,be,determined,when taxes,are
committed in each,town.,,,,,,,14,,,
