,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - Adopted,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,FY24,Adopted,,
Account,,Description,,,,,,,,,
1000.1100.1000.52000.040,,Stipend Benefits,$0.00,,$0.00,,$0.00,$253.00,$0.00,($253.00),(100.00)
1000.1100.1000.52000.050,,Stipend Benefits,"$7,926.52",,$0.00,,$0.00,$401.00,$0.00,($401.00),(100.00)
1000.1100.1000.52010.010,,Teacher Benefits,"$433,144.51","$112,489.65",,"$429,365.34",,"$472,460.00","$525,027.00","$52,567.00",11.13
1000.1100.1000.52010.020,,Teacher Benefits,"$235,748.36","$51,067.52",,"$223,605.81",,"$233,494.00","$252,972.00","$19,478.00",8.34
1000.1100.1000.52010.030,,Teacher Benefits,"$110,243.61","$33,104.35",,"$136,480.43",,"$156,866.00","$119,785.00","($37,081.00)",(23.64)
1000.1100.1000.52010.040,,Teacher Benefits,"$272,388.55","$68,093.76",,"$270,920.75",,"$302,714.00","$351,352.00","$48,638.00",16.07
1000.1100.1000.52010.050,,Teacher Benefits,"$407,266.52","$95,631.68",,"$409,037.84",,"$424,331.00","$472,255.00","$47,924.00",11.29
1000.1100.1000.52020.010,,Ed Tech Benefits,"$33,990.57","$15,543.29",,"$24,178.63",,"$42,408.00","$57,114.00","$14,706.00",34.68
1000.1100.1000.52020.020,,Ed Tech Benefits,"$16,720.99","$7,665.51",,"$16,501.34",,"$38,830.00","$55,751.00","$16,921.00",43.58
1000.1100.1000.52020.030,,Ed Tech Benefits,"$6,644.38","$6,007.90",,,"$1,321.08","$13,349.00","$10,701.00","($2,648.00)",(19.84)
1000.1100.1000.52020.040,,Ed Tech Benefits,"$18,864.07","$1,487.01",,,"$8,231.46","$23,185.00","$16,402.00","($6,783.00)",(29.26)
1000.1100.1000.52020.050,,Ed Tech Benefits,"$27,830.97","$4,173.23",,"$22,149.71",,"$68,385.00","$61,952.00","($6,433.00)",(9.41)
1000.1100.1000.52030.010,,Benefits-Subs,"$2,416.84",,$145.72,,"$5,111.41","$1,007.00","$1,007.00",$0.00,0.00
1000.1100.1000.52030.020,,Substitute Benefits,"$1,642.63",,$7.46,,"$4,669.38",$585.00,$585.00,$0.00,0.00
1000.1100.1000.52030.030,,Sub Benefits,$176.93,,$4.98,,"$1,925.69",$585.00,$585.00,$0.00,0.00
1000.1100.1000.52030.040,,Substitute Benefits,$848.22,,$230.22,,"$1,943.35",$585.00,$585.00,$0.00,0.00
1000.1100.1000.52030.050,,Substitute Benefits,"$1,106.35",,$169.56,,"$1,057.49",$780.00,$780.00,$0.00,0.00
1000.1100.1000.52300.010,,Retirement,$39.63,,$0.00,,$0.00,"$1,213.00",$0.00,"($1,213.00)",(100.00)
1000.1100.1000.52300.020,,Retirement,$0.00,,$0.00,,$0.00,$540.00,$0.00,($540.00),(100.00)
1000.1100.1000.52300.030,,Retirement,$0.00,,$0.00,,$0.00,$190.00,$0.00,($190.00),(100.00)
1000.1100.1000.52300.040,,Retirement - Stipends,$0.00,,$0.00,,$0.00,$540.00,$0.00,($540.00),(100.00)
1000.1100.1000.52300.050,,Retirement,$107.53,,$0.00,,$0.00,"$1,153.00",$0.00,"($1,153.00)",(100.00)
1000.1100.1000.52310.010,,Retirement,"$70,712.55","$17,764.62",,"$74,706.66",,"$85,779.00","$97,444.00","$11,665.00",13.60
1000.1100.1000.52310.020,,Retirement,"$40,191.09","$8,167.50",,"$40,834.16",,"$42,297.00","$48,083.00","$5,786.00",13.68
,03/22/2023,,,,,,,,,Page 4,
