,,,,,RSU,No.,5,,,,,,
Article 2,Special,Education,- Adopted,,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
Account,,,Description,,,,,,,,,,
1000.2200.1000.52010.010,,Teacher,Benefits,"$36,075.21","$14,909.04",,"$46,189.23",,"$48,020.00","$64,849.00",,"$16,829.00",35.05
1000.2200.1000.52010.020,,Teacher,Benefits,"$46,586.46","$5,734.53",,"$10,087.21",,"$10,502.00","$25,417.00",,"$14,915.00",142.02
1000.2200.1000.52010.030,,Teacher,Benefits,"$28,672.35","$4,683.27",,,"$7,693.61","$9,431.00","$14,165.00",,"$4,734.00",50.20
1000.2200.1000.52010.040,,Teacher,Benefits,"$42,787.67","$9,258.66",,"$22,340.89",,"$22,116.00","$28,527.00",,"$6,411.00",28.99
1000.2200.1000.52010.050,,Teacher,Benefits,"$29,208.25","$6,551.18",,"$30,372.93",,"$22,567.00","$43,996.00",,"$21,429.00",94.96
1000.2200.1000.52010.300,,Teacher,Benefits,"$62,485.39","$12,371.36",,"$43,997.73",,"$43,845.00","$46,771.00",,"$2,926.00",6.67
1000.2200.1000.52020.010,,Ed,Tech Benefits,"$28,738.77","$8,519.97",,"$52,963.44",,"$54,442.00","$36,960.00",,"($17,482.00)",(32.11)
1000.2200.1000.52020.020,,Ed,Tech Benefits,"$18,762.07","$3,963.06",,,$0.00,$0.00,"$36,854.00",,"$36,854.00",0.00
1000.2200.1000.52020.030,,Ed,Tech Benefits,$634.97,,$45.38,,"$7,956.55","$4,960.00",$0.00,,"($4,960.00)",(100.00)
1000.2200.1000.52020.040,,Ed,Tech Benefits,$676.38,,$0.00,"$32,632.57",,$0.00,"$8,155.00",,"$8,155.00",0.00
1000.2200.1000.52020.050,,Ed,Tech Benefits,"$9,248.39","$3,514.61",,"$20,774.68",,"$21,336.00","$46,650.00",,"$25,314.00",118.64
1000.2200.1000.52020.300,,Ed,Tech Benefits,"$1,152.98","$1,253.39",,"$13,272.63",,"$23,894.00","$55,395.00",,"$31,501.00",131.84
1000.2200.1000.52030.020,,,Substitute Benefits,$18.09,,$0.00,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.2200.1000.52310.010,,,Retirement,"$6,020.37","$1,809.42",,,"$8,406.56","$10,124.00","$10,678.00",,$554.00,5.47
1000.2200.1000.52310.020,,,Retirement,"$10,815.45","$1,729.01",,,"$2,967.88",$0.00,"$3,702.00",,"$3,702.00",0.00
1000.2200.1000.52310.030,,,Retirement,"$3,849.24",,$784.70,,"$1,425.35","$2,005.00","$2,870.00",,$865.00,43.14
1000.2200.1000.52310.040,,,Retirement,"$5,959.96","$1,374.54",,,"$3,344.56","$3,410.00","$6,729.00",,"$3,319.00",97.33
1000.2200.1000.52310.050,,,Retirement,"$4,881.57","$1,170.29",,,"$4,248.76","$4,622.00","$5,634.00",,"$1,012.00",21.90
1000.2200.1000.52310.300,,,Retirement,"$8,256.05","$1,819.69",,,"$5,929.75","$6,104.00","$6,877.00",,$773.00,12.66
1000.2200.1000.52320.010,,,Retirement,"$3,068.60",,$993.22,,"$4,650.72","$6,247.00","$4,786.00",,"($1,461.00)",(23.39)
1000.2200.1000.52320.020,,,Retirement,"$3,669.93",,$808.46,,$0.00,$0.00,"$6,674.00",,"$6,674.00",0.00
1000.2200.1000.52320.030,,,Retirement,$937.64,,$290.49,,$986.71,$991.00,$0.00,,($991.00),(100.00)
1000.2200.1000.52320.040,,,Retirement,$0.00,,$0.00,,"$3,044.02",$0.00,"$2,212.00",,"$2,212.00",0.00
1000.2200.1000.52320.050,,,Retirement,"$1,180.04",,$407.86,,"$3,283.24","$3,049.00","$6,343.00",,"$3,294.00",108.04
,03/22/2023,,,,,,,,,,,Page 13,
