,,,,,,,RSU,No.,5,,,,,
,Article 4,Other Instruction,- Adopted,,,,,,,,,,,
From,Date:,3/22/2023,To Date:,3/22/2023,,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,,,,FY24,Adopted,,
,Account,,Description,,,,,,,,,,,
,1000.9600.1000.52330.300,,Retirement,,,$61.98,,$0.00,,$0.96,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.52340.300,,Retirement,,,"$3,363.68",,$0.00,,$0.00,"$3,136.00",$0.00,"($3,136.00)",(100.00)
,1000.9600.1000.53000.300,,Game Officials,,,"$23,029.98","$27,704.56",,"$40,556.96",,"$47,407.00","$54,557.00","$7,150.00",15.08
,1000.9600.1000.55000.300,,Purchased Services,,,"$23,649.07","$28,007.12",,"$25,959.92",,"$58,718.00","$103,710.00","$44,992.00",76.62
,1000.9600.1000.55800.300,,Travel,,,$862.72,"$1,806.00",,,"$1,276.33","$1,270.00","$1,270.00",$0.00,0.00
,1000.9600.1000.56000.300,,Supplies,,,"$25,667.73","$45,470.85",,"$39,739.50",,"$41,838.00","$42,000.00",$162.00,0.39
,1000.9600.1000.58100.300,,Dues and Fees,,,"$33,806.39","$34,853.33",,"$43,562.69",,"$46,969.00","$50,114.00","$3,145.00",6.70
,1000.9600.2330.51010.300,,Athletic Director,Salary - FHS,,$0.00,,$0.00,"$73,661.16",,"$75,387.00","$76,127.00",$740.00,0.98
,1000.9600.2330.51180.300,,Athletic Office,Support Staff,Wages - FHS,$0.00,,$0.00,"$13,273.45",,"$12,189.00","$13,926.00","$1,737.00",14.25
,1000.9600.2330.52010.300,,Athletic Director,Benefits - FHS,,$0.00,,$0.00,"$13,633.39",,$0.00,"$42,639.00","$42,639.00",0.00
,1000.9600.2330.52080.300,,Athletic Office,Support Staff,Benefits - FHS,$0.00,,$0.00,,"$1,043.50",$0.00,"$3,662.00","$3,662.00",0.00
,1000.9600.2330.52310.300,,Athletic Director,Retirement -,FHS,$0.00,,$0.00,,"$2,828.64",$0.00,"$4,536.00","$4,536.00",0.00
,1000.9600.2700.56260.990,,Extra Curricular,Fleet Fuel,,$0.00,,$0.00,,$72.40,$0.00,$0.00,$0.00,0.00
,1000.9600.2700.58500.990,,Extra-Curricular,Purchased,Transporation,$0.00,,$0.00,,$154.00,$0.00,$0.00,$0.00,0.00
Grand,Total:,,,,,"$674,095.04","$604,154.88",,"$818,679.96",,"$919,069.00","$1,044,071.00","$125,002.00",13.60
,,,,,,,End,of Report,,,,,,
,,03/22/2023,,,,,,,,,,,Page 26,
