,,,,,,RSU,No.,5,,,,,,
Article 5,Student and,Staff,Support -,Adopted,,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,,Percentage
,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,,FY24,Adopted,,,
Account,,,Description,,,,,,,,,,,
1000.0000.2130.54310.300,,Repairs,& Maintenance,,$0.00,,$0.00,,$0.00,$135.00,$135.00,,$0.00,0.00
1000.0000.2130.55800.010,,Travel,,,$0.00,,$0.00,,$5.04,$100.00,$0.00,,($100.00),(100.00)
1000.0000.2130.56000.010,,Supplies,,,"$1,093.40","$1,019.53",,,$792.18,"$1,228.78","$1,437.00",,$208.22,16.95
1000.0000.2130.56000.020,,Supplies,,,$765.03,,$990.01,,$583.45,$813.00,$975.00,,$162.00,19.93
1000.0000.2130.56000.030,,Supplies,,,$720.17,,$311.72,,$229.04,$291.00,$309.00,,$18.00,6.19
1000.0000.2130.56000.040,,Supplies,,,$547.15,,$425.04,,$425.46,$642.00,$819.00,,$177.00,27.57
1000.0000.2130.56000.050,,Supplies,,,$896.87,,$839.17,,$791.24,$747.00,$846.00,,$99.00,13.25
1000.0000.2130.56000.300,,Supplies,,,"$1,181.37","$1,205.06",,,"$1,649.88","$1,538.00","$1,899.00",,$361.00,23.47
1000.0000.2130.56000.900,,Supplies,- District Wide,,$0.00,,$0.00,,$0.00,$0.00,"$1,200.00",,"$1,200.00",0.00
1000.0000.2210.51040.900,,Curriculum,Director,Salary,"$72,190.82","$77,949.57",,"$77,331.06",,"$80,135.00","$79,651.00",,($484.00),(0.60)
1000.0000.2210.52040.900,,Curriculum,Director,Benefits,"$12,380.74","$11,635.05",,"$12,298.57",,"$17,739.00","$19,079.00",,"$1,340.00",7.55
1000.0000.2210.52340.900,,Retirement,,,"$3,003.26","$1,196.60",,,"$2,969.47","$3,345.00","$3,703.00",,$358.00,10.70
1000.0000.2210.53000.900,,Purchased,Professional,,$0.00,,$150.00,"$14,229.00",,"$8,000.00","$10,000.00",,"$2,000.00",25.00
1000.0000.2210.55810.900,,Travel,,,$0.00,,$0.00,,$0.00,$700.00,$700.00,,$0.00,0.00
1000.0000.2210.56400.900,,Curriculum,Materials,,"$24,572.76","$25,445.12",,"$12,851.94",,"$50,000.00","$50,000.00",,$0.00,0.00
1000.0000.2210.58100.900,,Dues &,Fees,,"$1,219.00",,$524.00,,$524.00,"$1,000.00",$239.00,,($761.00),(76.10)
1000.0000.2213.51010.300,,9-12,HONORARIUM,,"$1,632.72",,$21.88,,"$4,356.00","$1,652.00","$4,000.00",,"$2,348.00",142.13
1000.0000.2213.51010.950,,K-8,HONORARIUM,,"$5,049.52",,$59.92,"$23,253.95",,"$15,000.00","$17,010.00",,"$2,010.00",13.40
1000.0000.2213.51230.300,,Substitute,Salaries,,$0.00,,$0.00,,"$1,875.00",$0.00,$0.00,,$0.00,0.00
1000.0000.2213.51230.950,,Substitutes,,,$0.00,,$0.00,,$0.00,"$5,000.00",$0.00,,"($5,000.00)",(100.00)
1000.0000.2213.51500.010,,Stipends-Acad,Leadership,and LCC,$0.00,,$0.00,"$29,535.00",,"$19,586.00","$27,177.00",,"$7,591.00",38.76
1000.0000.2213.51500.020,,Stipends-Acad,Leadership,and LCC,$0.00,,$0.00,"$17,182.50",,"$13,700.00","$13,872.00",,$172.00,1.26
1000.0000.2213.51500.030,,Stipends-Acad,Leadership,and LCC,$0.00,,$0.00,,"$5,646.00","$5,000.00","$6,021.00",,"$1,021.00",20.42
1000.0000.2213.51500.040,,Stipends-Acad,Leadership,and LCC,$0.00,,$0.00,"$13,585.00",,"$9,800.00","$14,322.00",,"$4,522.00",46.14
,03/22/2023,,,,,,,,,,,,Page 32,
