,RSU5,,
,2023-2024,,
,BoardofDirectors’AdoptedBudget,,
,Adopted,Board,Difference Percent
,2022-2023,Adopted,
,,2023-2024,
RSU5OperatingBudget,,,
TotalOperatingBudget,"$37,111,151","$38,968,569","$1,857,418"
AdultEducationBudget,"$112,000","$112,000",$0
TotalRSU5OperatingBudget,"$37,223,151","$39,080,569","$1,857,418 4.99%"
withAdultEd,,,
StateandNon-SharedDebt,,,
DurhamNon-SharedDept,"$125,094","$122,378","-$2,716"
,Assessment,,
StateSupportedSharedDebt,"$1,056,510","$1,017,018","-$39,492"
TotalState&Non-SharedDebt,"$1,181,604","$1,139,396","-$42,208"
