pfb 3-22-23,,,RSU 5,,,,
,,,,"March 22, 2023",,,
,,2023-2024,SUPERINTENDENT'S PROPOSED BUDGET,,,,
ARTICLE,#,,Description,Adopted 2022-2023 Budget Proposed,2023-2024 Budget,Difference in $'s Difference,in %
Article 1,,REGULAR,INSTRUCTION,"$16,401,257","$17,072,759","$671,502",4.09%
Article 2,,SPECIAL EDUCATION,,"$4,972,716","$5,366,821","$394,105",7.93%
Article 3,,CAREER AND,TECHNICAL EDUCATION,"$184,596","$272,017","$87,421",47.36%
Article 4,OTHER,INSTRUCTION,(Co-Curricular & Athletics),"$919,069","$1,044,071","$125,002",13.60%
Article 5,,STUDENT AND,STAFF SUPPORT,"$3,594,805","$3,867,554","$272,749",7.59%
Article 6,,SYSTEM,ADMINISTRATION,"$1,082,988","$1,074,251","-$8,737",-0.81%
Article 7,,SCHOOL,ADMINISTRATION,"$1,942,616","$2,067,029","$124,413",6.40%
Article 8,,TRANSPORTATION,AND BUSES,"$1,438,023","$1,551,608","$113,585",7.90%
Article 9,,FACILITIES,MAINTENANCE,"$5,100,233","$5,219,819","$119,586",2.34%
Article 10,DEBT,SERVICE,AND OTHER COMMITMENTS,"$1,181,603","$1,139,395","-$42,208",-3.57%
Article 11,ALL,OTHER,EXPENSES (Nutrition),"$293,245","$293,245",$0,0.00%
TOTAL,ARTICLES,1-11 BUDGET,,"$37,111,151","$38,968,569","$1,857,418",5.01%
ADULT,EDUCATION,,,"$112,000","$112,000",$0,0.00%
TOTAL,OPERATING,BUDGET,,"$37,223,151","$39,080,569","$1,857,418",4.99%
Cost Centers,,,,,,,
010 = Durham,,Community School,,,,,
020 = Morse,Street,School,,,,,
030 = Pownal,,Elementary School,,,,,
040 = Mast,Landing,School,,,,,
050 = Freeport,Middle,School,,,,,
300 = Freeport,High,School,,,,,
900 = District,Wide,,,,,,
950 = K-8,,,,,,,
990 = 9-12,,,,,,,
,03/22/2023,,,,,Page,2
