,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - Proposed,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.1100.1000.51010.010,,Teacher Salary,"$1,688,519.83","$1,921,742.54",,"$1,791,633.18",,"$2,060,580.00","$2,179,945.00","$119,365.00",5.79
1000.1100.1000.51010.020,,Teacher Salary,"$969,013.73","$803,729.88",,"$1,003,897.93",,"$1,016,769.00","$1,073,063.00","$56,294.00",5.54
1000.1100.1000.51010.030,,Teacher Salaries,"$387,444.12","$560,957.21",,"$510,605.81",,"$556,315.00","$574,128.00","$17,813.00",3.20
1000.1100.1000.51010.040,,Teacher Salaries,"$1,151,488.93","$1,253,810.50",,"$1,184,827.65",,"$1,309,025.00","$1,406,802.00","$97,777.00",7.47
1000.1100.1000.51010.050,,Teacher Salaries,"$1,711,234.97","$1,751,006.03",,"$1,666,819.07",,"$1,686,356.00","$1,887,891.00","$201,535.00",11.95
1000.1100.1000.51010.900,,TEACHER ADDITIONAL PAY,CLEARING $0.00,"$6,225.02",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.1100.1000.51020.010,,Ed Tech Salaries,"$86,416.39","$127,074.41",,"$66,891.89",,"$89,990.00","$86,896.00","($3,094.00)",(3.44)
1000.1100.1000.51020.020,,Ed Tech Salaries,"$73,048.06","$81,387.19",,"$74,832.55",,"$82,481.00","$110,932.00","$28,451.00",34.49
1000.1100.1000.51020.030,,Ed Tech Salaries,"$15,580.47","$31,525.17",,"$38,385.84",,"$54,294.00","$41,136.00","($13,158.00)",(24.23)
1000.1100.1000.51020.040,,Ed Tech Salaries,"$70,349.86","$16,965.01",,"$23,299.13",,"$46,363.00","$53,403.00","$7,040.00",15.18
1000.1100.1000.51020.050,,Ed Tech Salaries,"$85,223.84","$81,971.62",,"$91,828.80",,"$107,011.00","$112,077.00","$5,066.00",4.73
1000.1100.1000.51230.010,,Salaries-Subs,"$54,336.20","$151,065.34",,"$97,265.92",,"$65,000.00","$65,000.00",$0.00,0.00
1000.1100.1000.51230.020,,Substitute Wages,"$31,345.19","$14,867.74",,"$60,405.75",,"$30,000.00","$30,000.00",$0.00,0.00
1000.1100.1000.51230.030,,Sub Salaries,"$4,258.96","$34,679.32",,"$42,859.19",,"$30,000.00","$30,000.00",$0.00,0.00
1000.1100.1000.51230.040,,Substitute Wages,"$22,319.86","$24,137.53",,"$31,591.73",,"$30,000.00","$30,000.00",$0.00,0.00
1000.1100.1000.51230.050,,Substitute Wages,"$18,906.98","$62,395.04",,"$25,245.00",,"$65,000.00","$65,000.00",$0.00,0.00
1000.1100.1000.51500.010,,Stipends,"$1,107.07","$3,045.47",,,$0.00,"$32,870.00",$0.00,"($32,870.00)",(100.00)
1000.1100.1000.51500.020,,Stipends,$0.00,,$0.00,,$0.00,"$11,775.00",$0.00,"($11,775.00)",(100.00)
1000.1100.1000.51500.030,,Stipends,$0.00,,$0.00,,$0.00,"$4,710.00",$0.00,"($4,710.00)",(100.00)
1000.1100.1000.51500.040,,Stipends,$0.00,,$0.00,,$0.00,"$13,002.00",$0.00,"($13,002.00)",(100.00)
1000.1100.1000.51500.050,,Stipends,"$2,565.00",,$0.00,,$0.00,"$27,723.00",$0.00,"($27,723.00)",(100.00)
1000.1100.1000.52000.010,,Stipend Benefit,$468.94,,$4.17,,$0.00,$422.00,$0.00,($422.00),(100.00)
1000.1100.1000.52000.020,,Stipend Benefits,$0.00,,$0.00,,$0.00,$253.00,$0.00,($253.00),(100.00)
1000.1100.1000.52000.030,,Stipend Benefits,$0.00,,$0.00,,$0.00,$89.00,$0.00,($89.00),(100.00)
,03/22/2023,,,,,,,,,Page 3,
,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - Proposed,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
