,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,- Proposed,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.1100.1000.52310.030,,Retirement,,"$15,341.89","$3,863.87",,"$20,451.70",,"$23,524.00","$25,664.00","$2,140.00",9.10
1000.1100.1000.52310.040,,Retirement,,"$45,464.33","$9,772.16",,"$49,389.79",,"$54,455.00","$65,062.00","$10,607.00",19.48
1000.1100.1000.52310.050,,Retirement,,"$89,119.68","$15,689.64",,"$66,089.34",,"$71,910.00","$88,495.00","$16,585.00",23.06
1000.1100.1000.52320.010,,Retirement,,"$2,827.00",,$997.74,,"$2,568.61","$3,629.00","$4,156.00",$527.00,14.52
1000.1100.1000.52320.020,,Retirement,,"$2,791.34",,$712.32,,"$2,963.43","$3,431.00","$5,306.00","$1,875.00",54.65
1000.1100.1000.52320.030,,Retirement,,$669.81,,$88.75,,"$1,491.33","$2,258.00","$1,968.00",($290.00),(12.84)
1000.1100.1000.52320.040,,Retirement,,"$2,887.90",,$4.89,,$905.36,"$1,928.00","$2,554.00",$626.00,32.47
1000.1100.1000.52320.050,,Retirement,,"$3,611.55",,$742.02,,"$3,273.30","$4,452.00","$5,361.00",$909.00,20.42
1000.1100.1000.52330.010,,Retirement,,$692.81,,$819.61,,"$2,115.59","$2,704.00","$2,704.00",$0.00,0.00
1000.1100.1000.52330.020,,Retirement,,$60.62,,$0.00,,$78.25,$0.00,$0.00,$0.00,0.00
1000.1100.1000.52330.030,,Retirement,,$141.09,,$10.16,,$907.43,"$1,248.00","$1,248.00",$0.00,0.00
1000.1100.1000.52330.040,,Retirement,,$418.23,,$156.32,,$141.49,"$1,248.00","$1,248.00",$0.00,0.00
1000.1100.1000.52330.050,,Retirement,,$409.58,,$517.69,,$447.91,"$1,664.00","$1,664.00",$0.00,0.00
1000.1100.1000.53400.010,,,Professional Services,"$6,380.39","$11,369.64",,"$19,209.98",,"$20,586.90","$23,538.00","$2,951.10",14.33
1000.1100.1000.53400.020,,,Professional Servics,"$2,462.77","$1,024.33",,,$465.00,"$7,960.00","$8,150.00",$190.00,2.39
1000.1100.1000.53400.030,,,Professional Services,"$6,772.02","$3,186.32",,,"$6,470.10","$8,784.80","$10,000.00","$1,215.20",13.83
1000.1100.1000.53400.040,,Purchased,Professional,"$6,374.00","$6,127.63",,"$13,258.23",,"$18,578.50","$20,965.00","$2,386.50",12.85
1000.1100.1000.53400.050,,Purchased,Professional,"$30,545.28","$25,810.86",,"$21,353.74",,"$21,768.00","$22,168.00",$400.00,1.84
1000.1100.1000.54300.010,,Copiers-,Equipment Maint,"$2,997.18","$15,303.48",,"$10,625.64",,"$11,100.00","$15,600.00","$4,500.00",40.54
1000.1100.1000.54300.020,,,Copiers-Equipment Maint,"$8,907.57","$10,720.93",,"$10,800.08",,"$11,150.00","$13,000.00","$1,850.00",16.59
1000.1100.1000.54300.030,,Copiers,Repairs/Maint,"$1,980.35","$2,617.20",,,"$4,494.10","$8,168.00","$9,700.00","$1,532.00",18.76
1000.1100.1000.54300.040,,Copiers,Repair/Maint,"$8,921.09","$5,483.20",,,"$8,026.36","$11,500.00","$11,800.00",$300.00,2.61
1000.1100.1000.54300.050,,Copiers,Repair/Maint,"$24,214.25","$9,699.54",,"$10,064.41",,"$16,500.00","$16,100.00",($400.00),(2.42)
1000.1100.1000.54330.010,,Software,,$962.87,"$1,313.13",,,"$6,123.43","$9,360.65","$8,038.00","($1,322.65)",(14.13)
,03/22/2023,,,,,,,,,,Page 5,
,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,- Proposed,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
