,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,Support -,Proposed,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.0000.2120.51180.300,,Guidance,Support Wages,"$25,239.72","$33,802.40",,"$24,618.96",,"$53,801.00","$54,213.00",$412.00,0.77
1000.0000.2120.52010.010,,Benefits,,"$5,541.90","$3,385.99",,"$11,156.53",,"$16,523.00","$25,594.00","$9,071.00",54.90
1000.0000.2120.52010.020,,Benefits,,"$21,223.51","$4,814.02",,"$25,047.49",,"$25,924.00","$23,343.00","($2,581.00)",(9.96)
1000.0000.2120.52010.030,,Benefits,,"$3,291.63",,$36.94,,"$2,492.11","$2,527.00","$2,649.00",$122.00,4.83
1000.0000.2120.52010.040,,Benefits,,"$21,177.54","$1,766.92",,"$11,914.35",,"$15,985.00","$5,881.00","($10,104.00)",(63.21)
1000.0000.2120.52010.050,,Benefits,,"$21,593.87","$4,677.47",,"$21,523.48",,"$22,202.00","$23,666.00","$1,464.00",6.59
1000.0000.2120.52010.300,,Counselor,Benefits,"$60,220.84","$14,326.28",,"$69,920.50",,"$81,925.00","$67,681.00","($14,244.00)",(17.39)
1000.0000.2120.52080.300,,Support,Benefits,"$2,168.22",,$270.64,,"$5,804.68","$20,904.00","$26,070.00","$5,166.00",24.71
1000.0000.2120.52300.300,,Support,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$2,900.00","$2,900.00",0.00
1000.0000.2120.52310.010,,Retirement,,"$2,588.64",,$610.43,,"$3,743.10","$4,377.00","$6,676.00","$2,299.00",52.52
1000.0000.2120.52310.020,,Retirement,,"$2,500.64",,$608.10,,"$3,311.12","$3,862.00","$3,353.00",($509.00),(13.18)
1000.0000.2120.52310.030,,Retirement,,"$20,712.24","$88,097.05",,,"$1,634.31","$1,621.00","$1,802.00",$181.00,11.17
1000.0000.2120.52310.040,,Retirement,,"$2,670.45",,$685.86,,"$3,744.37","$4,018.00","$3,680.00",($338.00),(8.41)
1000.0000.2120.52310.050,,Retirement,,"$3,265.50",,$783.03,,"$3,252.35","$3,578.00","$4,001.00",$423.00,11.82
1000.0000.2120.52310.300,,Retirement,,"$9,987.27","$2,480.75",,,"$9,317.01","$12,326.00","$9,673.00","($2,653.00)",(21.52)
1000.0000.2120.53000.010,,,Professional Services,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
1000.0000.2120.53000.020,,Purchased,Professional,$0.00,,$0.00,,$0.00,$300.00,$400.00,$100.00,33.33
1000.0000.2120.53000.030,,Purchased,Professional,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
1000.0000.2120.53000.040,,Purchased,Professional,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
1000.0000.2120.53000.050,,Purchased,Professional,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
1000.0000.2120.53000.300,,Purchased,Professional,"$11,710.98","$13,464.84",,"$12,769.00",,"$13,482.00","$21,768.00","$8,286.00",61.46
1000.0000.2120.54330.010,,Software,,$0.00,,$0.00,,$333.33,$334.00,$334.00,$0.00,0.00
1000.0000.2120.54330.020,,Software,,$0.00,,$0.00,,$333.33,$334.00,$334.00,$0.00,0.00
1000.0000.2120.54330.030,,Software,,$0.00,,$0.00,,$333.33,$334.26,$334.00,($0.26),(0.08)
,03/22/2023,,,,,,,,,,Page 28,
