,,,,RSU,No.,5,,
,Article 11,All Other,Expenditures - Proposed,,,,,
From,Date:,3/22/2023,To Date: 3/22/2023,Definition:,FY24,Proposed,,
,,,,,,,,Percentage
,,,,FY20 Actual FY21 Actual,,FY22 Actual,FY23 Adopted FY24 Proposed,Dollar Difference Difference
,Account,,Description,,,,,
,1000.0000.3100.59100.900,,Fund Transfer Out,"$310,225.68 $73,311.24",,,"$0.00 $293,245.00 $293,245.00",$0.00 0.00
Grand,Total:,,,"$310,225.68 $73,311.24",,,"$0.00 $293,245.00 $293,245.00",$0.00 0.00
,,,,End,of Report,,,
,,03/22/2023,,,,,,Page 55
