,,,,,,,,RSU,No.,5,,,,,
Article,1 Regular,,Instruction-,,Adopted,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,,Percentage
,,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,,
,1000.1120.1000.51010.010,,Teacher,Salaries,,,"$395,275.58","$341,025.42",,"$263,958.00",,"$370,997.00","$325,484.00","($45,513.00)",(12.27)
,1000.1120.1000.51020.010,,Ed Tech,Salaries,,,"$58,508.41","$33,544.81",,"$23,517.09",,"$37,392.00","$34,632.00","($2,760.00)",(7.38)
,1000.1120.1000.52010.010,,Teacher,Benefits,,,"$125,817.07","$23,001.86",,"$72,006.83",,"$82,923.00","$86,643.00","$3,720.00",4.49
,1000.1120.1000.52020.010,,Ed Tech,Benefits,,,"$20,333.60","$14,867.83",,,"$8,991.42","$15,440.00","$11,327.00","($4,113.00)",(26.64)
,1000.1120.1000.52310.010,,Retirement,,,,"$11,597.56","$2,943.45",,"$10,153.24",,"$12,827.00","$14,549.00","$1,722.00",13.42
,1000.1120.1000.52320.010,,Retirement,,,,"$2,401.94",,$572.08,,$952.23,"$2,704.00","$1,656.00","($1,048.00)",(38.76)
Program:,K-2,INSTRUCTION -,1120,,,,"$613,934.16","$415,955.45",,"$379,578.81",,"$522,283.00","$474,291.00","($47,992.00)",(9.19)
,1000.4200.1000.53000.010,,Purchased,,Professional,,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
Program:,ALT (AT,RISK) ED,PROGRAMS,- 4200,,,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
,1000.4900.1000.51501.010,,GaTE Art,Advisor,Stipend,- DCS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
,1000.4900.1000.51502.010,,GaTE,Music,Advisor Stipend,- DCS,$0.00,,$0.00,,"$1,272.00",$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52001.010,,GaTE Art,Stipend,Benefits,- DCS,$0.00,,$0.00,,$373.98,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52002.010,,GaTE,Music,Stipend Benefits,- DCS,$0.00,,$0.00,,$20.07,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52301.010,,GaTE Art,Stipend,Retirement,- DCS,$0.00,,$0.00,,$48.84,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.52302.010,,GaTE,Music,Stipend,Retirement - DCS,$0.00,,$0.00,,$48.81,$0.00,$0.00,$0.00,0.00
Program:,GIFTED,& TALENTED,- 4900,,,,$0.00,,$0.00,,"$3,035.70",$0.00,$0.00,$0.00,0.00
Function:,REGULAR,INSTRUCTION,-,1000,,,"$3,114,524.83","$2,898,289.47",,"$3,007,875.59",,"$3,538,312.86","$3,659,638.00","$121,325.14",3.43
Cost,Center: DURHAM,COMMUNITY,-,010,,,"$3,114,524.83","$2,898,289.47",,"$3,007,875.59",,"$3,538,312.86","$3,659,638.00","$121,325.14",3.43
,1000.1100.1000.51010.020,,Teacher,Salary,,,"$969,013.73","$803,729.88",,"$1,003,897.93",,"$1,016,769.00","$1,073,063.00","$56,294.00",5.54
,Page 3 of,80,,,,,,,,,,,,,
