,,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.1100.1000.51020.020,,Ed,Tech Salaries,"$73,048.06","$81,387.19",,"$74,832.55",,"$82,481.00","$110,932.00","$28,451.00",34.49
,1000.1100.1000.51230.020,,Substitute,Wages,"$31,345.19","$14,867.74",,"$60,405.75",,"$30,000.00","$30,000.00",$0.00,0.00
,1000.1100.1000.51500.020,,Stipends,,$0.00,,$0.00,,$0.00,"$11,775.00",$0.00,"($11,775.00)",(100.00)
,1000.1100.1000.52000.020,,Stipend,Benefits,$0.00,,$0.00,,$0.00,$253.00,$0.00,($253.00),(100.00)
,1000.1100.1000.52010.020,,Teacher,Benefits,"$235,748.36","$51,067.52",,"$223,605.81",,"$233,494.00","$252,972.00","$19,478.00",8.34
,1000.1100.1000.52020.020,,Ed,Tech Benefits,"$16,720.99","$7,665.51",,"$16,501.34",,"$38,830.00","$55,751.00","$16,921.00",43.58
,1000.1100.1000.52030.020,,Substitute,Benefits,"$1,642.63",,$7.46,,"$4,669.38",$585.00,$585.00,$0.00,0.00
,1000.1100.1000.52300.020,,,Retirement,$0.00,,$0.00,,$0.00,$540.00,$0.00,($540.00),(100.00)
,1000.1100.1000.52310.020,,,Retirement,"$40,191.09","$8,167.50",,"$40,834.16",,"$42,297.00","$48,083.00","$5,786.00",13.68
,1000.1100.1000.52320.020,,,Retirement,"$2,791.34",,$712.32,,"$2,963.43","$3,431.00","$5,306.00","$1,875.00",54.65
,1000.1100.1000.52330.020,,,Retirement,$60.62,,$0.00,,$78.25,$0.00,$0.00,$0.00,0.00
,1000.1100.1000.53400.020,,,Professional Servics,"$2,462.77","$1,024.33",,,$465.00,"$7,960.00","$8,150.00",$190.00,2.39
,1000.1100.1000.54300.020,,,Copiers-Equipment Maint,"$8,907.57","$10,720.93",,"$10,800.08",,"$11,150.00","$13,000.00","$1,850.00",16.59
,1000.1100.1000.54330.020,,Software,,$0.00,,$0.00,,"$3,750.00","$5,520.00","$6,381.00",$861.00,15.60
,1000.1100.1000.55800.020,,Travel,,$402.11,,$45.55,,$60.84,$540.00,$540.00,$0.00,0.00
,1000.1100.1000.56100.020,,,Instructional Supplies,"$32,219.50","$48,394.89",,"$30,583.92",,"$47,087.08","$47,090.00",$2.92,0.01
,1000.1100.1000.56400.020,,BOOKS,,"$5,937.65","$8,096.29",,"$14,817.52",,"$6,774.80","$10,000.00","$3,225.20",47.61
,1000.1100.1000.57300.020,,,Equipment,"$10,939.76","$18,663.75",,,"$5,158.65","$4,865.29",$0.00,"($4,865.29)",(100.00)
Program:,,ELEMENTARY,PROGRAMS,- 1100,"$1,431,431.37","$1,054,550.86",,"$1,493,424.61",,"$1,544,352.17","$1,661,853.00","$117,500.83",7.61
,1000.1120.1000.51010.020,,Salaries,,"$222,915.84","$540,256.14",,"$325,713.93",,"$531,179.00","$468,707.00","($62,472.00)",(11.76)
,1000.1120.1000.51020.020,,Ed,Tech Salaries,"$27,167.58","$36,967.67",,"$90,080.12",,"$89,426.00","$52,228.00","($37,198.00)",(41.60)
,1000.1120.1000.52010.020,,Benefits,,"$41,324.57","$16,757.90",,"$68,603.79",,"$92,086.00","$85,425.00","($6,661.00)",(7.23)
,1000.1120.1000.52020.020,,Ed,Tech Benefit,"$12,095.53","$1,839.26",,"$27,274.07",,"$45,187.00","$11,641.00","($33,546.00)",(74.24)
,Page 4,of 80,,,,,,,,,,,
