,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2213.56400.050,,Books,$0.00,,$0.00,,$45.71,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,$0.00,,$0.00,"$22,394.30",,"$19,700.00","$25,191.00","$5,491.00",27.87
Function:,,INSTRUCTIONAL,STAFF TRAINING - 2213,$0.00,,$0.00,"$22,394.30",,"$19,700.00","$25,191.00","$5,491.00",27.87
,1000.0000.2220.51010.050,,Librarian Salaries,"$66,384.50","$72,428.52",,"$72,167.78",,"$75,636.00","$80,237.00","$4,601.00",6.08
,1000.0000.2220.51020.050,,Ed Tech Salaries,$0.00,"$1,239.82",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52010.050,,Librarian Benefits,"$21,476.06","$4,837.17",,"$21,189.43",,"$23,960.00","$23,459.00",($501.00),(2.09)
,1000.0000.2220.52310.050,,Retirement,"$3,116.26",,$732.60,,"$2,771.33","$3,146.00","$3,587.00",$441.00,14.02
,1000.0000.2220.54330.050,,Software,"$1,042.50","$1,042.50",,,"$1,060.35","$1,043.00","$1,129.00",$86.00,8.25
,1000.0000.2220.56000.050,,Supplies,$153.47,,$486.29,,$372.55,$500.00,$0.00,($500.00),(100.00)
,1000.0000.2220.56100.050,,Instructional Supplies,$0.00,,$0.00,,$0.00,$0.00,$500.00,$500.00,0.00
,1000.0000.2220.56400.050,,Books,"$7,107.02","$6,517.08",,,"$5,930.85","$5,842.50","$5,922.00",$79.50,1.36
Program:,OVERHEAD,- 0000,,"$99,279.81","$87,283.98",,"$103,492.29",,"$110,127.50","$114,834.00","$4,706.50",4.27
Function:,LIBRARY,SERVICES,- 2220,"$99,279.81","$87,283.98",,"$103,492.29",,"$110,127.50","$114,834.00","$4,706.50",4.27
,1000.0000.2230.51010.050,,Teacher Salary,"$70,602.22",,$10.98,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.51180.050,,Support Salaries,"$39,689.43","($1,088.47)",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.51500.050,,Stipends,"$3,855.00","$2,361.61",,,"$2,544.00","$3,815.00","$3,815.00",$0.00,0.00
,1000.0000.2230.52000.050,,Stipend Benefits,$19.31,,$2.32,,$54.28,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.050,,Teacher Benefits,"$21,433.95","$4,114.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52080.050,,Support Benefits,"$5,686.93",,($46.63),,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52300.050,,Retirement,$3.09,,$0.00,,$97.72,$0.00,$0.00,$0.00,0.00
,Page 52,of 80,,,,,,,,,,
