,,,,,RSU,No.,5,,,,,
Article,7,School,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2400.51180.050,,Support Wages,"$63,820.50","$85,005.23",,"$76,805.11",,"$87,841.00","$73,487.00","($14,354.00)",(16.34)
,1000.0000.2400.52040.050,,Admin Benefits,"$29,709.84","$33,758.93",,"$40,722.68",,"$51,997.00","$54,875.00","$2,878.00",5.53
,1000.0000.2400.52080.050,,Support Benefits,"$34,235.24","$13,186.95",,"$23,337.59",,"$61,418.00","$39,280.00","($22,138.00)",(36.04)
,1000.0000.2400.52340.050,,Retirement,"$7,789.60","$3,083.70",,,"$7,694.70","$8,670.00","$9,707.00","$1,037.00",11.96
,1000.0000.2400.52380.050,,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$3,932.00","$3,932.00",0.00
,1000.0000.2400.55310.050,,Postage,"$1,187.49",,$706.57,,$922.44,"$2,020.00","$2,020.00",$0.00,0.00
,1000.0000.2400.55800.050,,Travel,$593.94,,$189.10,,$333.87,$810.00,$810.00,$0.00,0.00
,1000.0000.2400.56000.050,,Supplies,$567.29,,$502.37,,$469.58,$500.00,$500.00,$0.00,0.00
,1000.0000.2400.58100.050,,Dues & Fees,$565.00,,$0.00,,$736.00,$900.00,$900.00,$0.00,0.00
,1000.0000.2400.58150.050,,Fingerprinting Fees - FMS,$0.00,,$0.00,,$70.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$326,070.90","$337,457.96",,"$347,914.49",,"$422,572.00","$394,311.00","($28,261.00)",(6.69)
Function:,SCHOOL,,ADMINISTRATION - 2400,"$326,070.90","$337,457.96",,"$347,914.49",,"$422,572.00","$394,311.00","($28,261.00)",(6.69)
Cost,Center:,FREEPORT,MIDDLE SCHOOL - 050,"$326,070.90","$337,457.96",,"$347,914.49",,"$422,572.00","$394,311.00","($28,261.00)",(6.69)
,1000.0000.2400.51040.300,,Admin Salaries,"$212,137.98","$229,411.83",,"$225,067.52",,"$238,347.00","$239,136.00",$789.00,0.33
,1000.0000.2400.51180.300,,Support Wages,"$98,815.16","$113,072.35",,"$115,475.39",,"$93,747.00","$105,399.00","$11,652.00",12.43
,1000.0000.2400.52040.300,,Admin Benefits,"$48,868.89","$46,547.83",,"$48,897.96",,"$56,798.00","$65,073.00","$8,275.00",14.57
,1000.0000.2400.52080.300,,Support Benefits,"$42,942.81","$15,000.75",,"$45,522.80",,"$50,398.00","$58,195.00","$7,797.00",15.47
,1000.0000.2400.52340.300,,Retirement,"$8,795.80","$3,521.70",,,"$8,800.73","$9,915.00","$11,117.00","$1,202.00",12.12
,1000.0000.2400.52380.300,,Retirement,$0.00,,$0.00,,$5.60,$0.00,"$2,619.00","$2,619.00",0.00
,1000.0000.2400.53400.300,,Admin Purchased Professional,$0.00,,$0.00,,$0.00,$0.00,$569.00,$569.00,0.00
,1000.0000.2400.55310.300,,Postage,"$2,493.70","$2,346.90",,,"$5,829.48","$4,304.00","$4,804.00",$500.00,11.62
,Page 67,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
Article,7,School,Administration- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2400.55800.300,,Travel,$693.05,,$0.00,,$0.00,"$1,250.00","$1,250.00",$0.00,0.00
,1000.0000.2400.56000.300,,Supplies,"$1,307.38","$2,000.00",,,"$2,344.00","$2,000.00","$1,400.00",($600.00),(30.00)
,1000.0000.2400.56400.300,,Admin Books,$0.00,,$0.00,,$0.00,$0.00,$780.00,$780.00,0.00
,1000.0000.2400.58100.300,,Dues and Fees,"$5,751.00","$5,278.00",,,"$5,314.59","$6,823.00","$7,209.00",$386.00,5.66
,1000.0000.2400.58150.300,,Fingerprinting Fees - FHS,$0.00,,$0.00,,$55.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$421,805.77","$417,179.36",,"$457,313.07",,"$463,582.00","$497,551.00","$33,969.00",7.33
Function:,SCHOOL,ADMINISTRATION,- 2400,"$421,805.77","$417,179.36",,"$457,313.07",,"$463,582.00","$497,551.00","$33,969.00",7.33
Cost,Center:,FREEPORT HIGH,SCHOOL - 300,"$421,805.77","$417,179.36",,"$457,313.07",,"$463,582.00","$497,551.00","$33,969.00",7.33
Grand,Total:,,,"$1,636,101.48","$1,670,327.86",,"$1,748,588.03",,"$1,942,616.00","$2,067,029.00","$124,413.00",6.40
,,,,,End,of Report,,,,,,
,Page 68,of 80,,,,,,,,,,
,,,,,RSU,No.,5,,,,,
,Article 8,Transportation,& Buses- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2700.51020.900,,Ed Tech Salaries,"$5,883.03",,$0.00,,"$1,662.36","$10,377.00","$10,377.00",$0.00,0.00
,1000.0000.2700.51040.900,,Administrator Salary,"$101,153.14","$85,714.44",,"$93,934.00",,"$97,691.00","$40,000.00","($57,691.00)",(59.05)
,1000.0000.2700.51060.900,,Transportation Office Clerical,Support Salary$0.00,,$0.00,,$0.00,$0.00,"$31,262.00","$31,262.00",0.00
