,,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,,,,,,"$1,366,975.01","$1,321,745.00",,"$1,272,175.00",,"$1,227,425.00","$969,000.00","($258,425.00)",(21.05)
2680,,,,,,,,,,,,,,
Cost,Center:,FREEPORT,HIGH SCHOOL,- 300,,"$2,017,611.92","$1,930,969.93",,"$1,867,463.46",,"$1,914,238.19","$1,583,379.00","($330,859.19)",(17.28)
,1000.0000.2600.54300.900,,Purchaed,Repairs,,"$1,054.80",,$441.90,"$21,661.44",,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.55000.900,,Other,Purchased,Services,"$5,000.00",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.900,,Supplies,,,"$1,849.42",,$0.00,"$11,219.74",,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56011.900,,Materials,for Repair,,$400.00,,$24.55,,"$2,081.87",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56013.900,,Major,Maintenance,,$0.00,,$0.00,,"$2,447.00",$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$8,304.22",,$466.45,"$37,410.05",,$0.00,$0.00,$0.00,0.00
Function:,OPERATION,OF,PLANT -,2600,,"$8,304.22",,$466.45,"$37,410.05",,$0.00,$0.00,$0.00,0.00
,1000.0000.2620.51040.900,,,Administrator Salary,,$0.00,,$0.00,,$0.00,$0.00,"$60,000.00","$60,000.00",0.00
,1000.0000.2620.51060.900,,Facilities,Office,Clerical Support Salary,$0.00,,$0.00,,$0.00,$0.00,"$20,842.00","$20,842.00",0.00
,1000.0000.2620.51180.900,,Salaries,,,"$301,356.13","$347,667.45",,"$283,420.57",,"$317,304.00","$239,262.00","($78,042.00)",(24.60)
,1000.0000.2620.52000.900,,,Maintenance Benefits,,$0.00,,$0.00,,$0.00,$0.00,"$89,805.00","$89,805.00",0.00
,1000.0000.2620.52040.900,,,Administrator,Benefits,$0.00,,$0.00,,$0.00,$0.00,"$20,245.00","$20,245.00",0.00
,1000.0000.2620.52060.900,,Facilities,Office,Clerical Support Benefits,$0.00,,$0.00,,$0.00,$0.00,"$8,900.00","$8,900.00",0.00
,1000.0000.2620.52080.900,,Benefits,,,"$131,509.62","$109,229.52",,"$85,380.39",,"$120,339.00","$138,259.00","$17,920.00",14.89
,1000.0000.2620.52340.900,,,Administrator,Retirement,$0.00,,$0.00,,$0.00,$0.00,"$3,120.00","$3,120.00",0.00
,1000.0000.2620.52380.900,,Retirement,,,$0.00,,$0.00,,$0.00,$0.00,"$7,912.00","$7,912.00",0.00
,1000.0000.2620.53000.900,,Purchased,Professional,,"$15,658.69","$4,213.52",,"$32,740.33",,"$5,140.00","$5,140.00",$0.00,0.00
,1000.0000.2620.53300.900,,Training,& Development,,$0.00,,$0.00,,$0.00,$0.00,"$1,000.00","$1,000.00",0.00
,Page 76,of 80,,,,,,,,,,,,
