,,,AdministrativePrioritizationofBudgetRequests
,,,"February1,2023"
,,,"February15,2023"
,,,"March8,2023"
,,,"March15,2023"
,FirstPriority,,
A.,"$90,000",ClassroomTeacher(Gr.6),DCS
B.,"$14,000",.2PE,MSS
,SecondPriority,,
A.,"$100,000",AssistantPrincipal,MSSAP-190days
B.,"$45,000",.5Guidance,DCS
C.,"$45,000",.5SocialWorker,FHS
D.,"$45,000",.5SocialWorker,FMS
E.,"$45,000",.5SocialWorker,DCS
F.,"$90,000",BCBA,Districtwide
G.,"$42,500",AthleticTrainer,FHS
,ThirdPriority,,
A.,"$6,300",,Coaches-JVGolf/FirstTeamBaseball FHS (BudgetNeutral)
B.,"$4,000",,AssistantPrincipal-10AdditionalDays FMS
