,,,,,,,,RSU No.,5,,,,,,,,
,Article,1,Regular,Instruction- Adopted,,,,,,,,,,,,,
From,Date:,,7/1/2023,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,,1000.1120.1000.51010.010,,Teacher Salaries,,,"$341,025.42",,"$263,958.00","$325,416.22",,"$325,484.00",,"$345,011.00","$19,527.00",,6.00
,,1000.1120.1000.51020.010,,Ed Tech Salaries,,,"$33,544.81",,"$22,800.84","$26,992.52",,"$34,632.00",,"$40,289.00","$5,657.00",,16.33
,,1000.1120.1000.52010.010,,Teacher Benefits,,,"$23,001.86",,"$72,006.83","$73,465.67",,"$86,643.00",,"$133,888.00","$47,245.00",,54.53
,,1000.1120.1000.52020.010,,Ed Tech Benefits,,,"$14,867.83",,"$8,991.42","$9,552.78",,"$11,327.00",,"$8,602.00","($2,725.00)",,(24.06)
,,1000.1120.1000.52310.010,,Retirement,,,"$2,943.45",,"$10,153.24","$12,565.48",,"$14,549.00",,"$17,042.00","$2,493.00",,17.14
,,1000.1120.1000.52320.010,,Retirement,,,$572.08,,$952.23,"$1,010.81",,"$1,656.00",,"$1,801.00",,$145.00,8.76
,Program:,K-2,INSTRUCTION -,1120,,"$415,955.45","$378,862.56",,"$449,003.48",,"$474,291.00",,"$546,633.00",,"$72,342.00",,15.25
,,1000.4200.1000.53000.010,,JMG,,,"$25,000.00",,"$25,000.00","$25,000.00",,"$27,000.00",,"$27,000.00",,$0.00,0.00
,Program:,ALT (AT,RISK) ED,PROGRAMS - 4200,,"$25,000.00",,"$25,000.00","$25,000.00",,"$27,000.00",,"$27,000.00",,$0.00,,0.00
,,1000.4900.1000.51501.010,,GaTE Art Advisor,Stipend - DCS,,$0.00,,"$1,272.00",$636.00,,,$0.00,$0.00,,$0.00,0.00
,,1000.4900.1000.51502.010,,GaTE Music Advisor,Stipend - DCS,,$0.00,,"$1,272.00",$587.04,,,$0.00,$0.00,,$0.00,0.00
,,1000.4900.1000.52001.010,,GaTE Art Stipend,Benefits - DCS,,$0.00,,$373.98,,$98.39,,$0.00,$0.00,,$0.00,0.00
,,1000.4900.1000.52002.010,,GaTE Music Stipend,Benefits - DCS,,$0.00,,$20.07,$169.59,,,$0.00,$0.00,,$0.00,0.00
,,1000.4900.1000.52301.010,,GaTE Art Stipend,Retirement - DCS,,$0.00,,$48.84,,$24.42,,$0.00,$0.00,,$0.00,0.00
,,1000.4900.1000.52302.010,,GaTE Music Stipend,Retirement - DCS,,$0.00,,$48.81,,$22.56,,$0.00,$0.00,,$0.00,0.00
,Program:,GIFTED,& TALENTED,- 4900,,$0.00,,"$3,035.70","$1,538.00",,,$0.00,,$0.00,$0.00,,0.00
,Function:,REGULAR,INSTRUCTION,- 1000,,"$2,898,289.47","$3,001,860.29",,"$3,205,178.51",,"$3,659,638.00",,"$4,016,434.00",,"$356,796.00",,9.75
Cost,Center:,,DURHAM COMMUNITY,- 010,,"$2,898,289.47","$3,001,860.29",,"$3,205,178.51",,"$3,659,638.00",,"$4,016,434.00",,"$356,796.00",,9.75
,,1000.1100.1000.51010.020,,Teacher Salary,,,"$803,729.88","$1,035,730.15",,"$1,119,833.98",,"$1,073,063.00",,"$1,132,835.00","$59,772.00",,5.57
,,03/27/2024,,,,,,,,,,,,,,4 of 81,
