,,,,,,,,,RSU No.,5,,,,,,,,
,Article 2,Special,Education-,,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,1000.2800.2140.51010.040,,,Psychological,,Services Salary,,"$32,555.20",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52010.040,,,Psych,Services,Benefit,,"$1,246.98",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52310.040,,,Retirement,,,,$294.30,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program: OTHER,SPECIAL,,PROGRAMS,- 2800,,"$34,096.48",,$0.00,,$0.00,,$0.00,,$0.00,$0.00,,0.00
,Function:,PSYCHOLOGICAL,-,2140,,,"$34,096.48",,$0.00,,$0.00,,$0.00,,$0.00,$0.00,,0.00
,1000.2800.2150.51010.040,,,Speech,&,Audiology Salaries,,"$45,101.52",,"$44,394.78","$46,711.95",,"$48,729.00",,"$37,278.00","($11,451.00)",,(23.50)
,1000.2800.2150.52010.040,,,Speech,&,Audiology Benefits,,"$2,888.64",,"$12,861.75","$11,109.87",,"$14,089.00",,"$19,058.00","$4,969.00",,35.27
,1000.2800.2150.52310.040,,,Retirement,,,,$406.44,,"$1,704.82","$1,793.80",,"$2,178.00",,"$1,834.00",($344.00),,(15.79)
,1000.2800.2150.55800.040,,,Travel,,,,$0.00,,$0.00,,$0.00,,$0.00,$100.00,,$100.00,0.00
,Program: OTHER,SPECIAL,,PROGRAMS,- 2800,,"$48,396.60",,"$58,961.35","$59,615.62",,"$64,996.00",,"$58,270.00",,"($6,726.00)",,(10.35)
,Function: SPEECH,&,AUDIOLOGY,-,2150,,"$48,396.60",,"$58,961.35","$59,615.62",,"$64,996.00",,"$58,270.00",,"($6,726.00)",,(10.35)
,1000.2800.2160.51010.040,,,OT Salary,,,,"$10,139.53",,"$12,138.12","$12,949.84",,"$13,802.00",,"$11,517.00","($2,285.00)",,(16.56)
,1000.2800.2160.52010.040,,,OT,Benefits,,,$32.07,,$958.10,"$1,028.77",,"$1,007.00",,"$2,152.00","$1,145.00",,113.70
,1000.2800.2160.52310.040,,,Retirement,,,,$109.08,,$483.69,$497.38,,$617.00,,$567.00,,($50.00),(8.10)
,Program: OTHER,SPECIAL,,PROGRAMS,- 2800,,"$10,280.68",,"$13,579.91","$14,475.99",,"$15,426.00",,"$14,236.00",,"($1,190.00)",,(7.71)
,Function: OT -,2160,,,,,"$10,280.68",,"$13,579.91","$14,475.99",,"$15,426.00",,"$14,236.00",,"($1,190.00)",,(7.71)
Cost,Center:,MAST,LANDING -,040,,,"$345,641.24","$530,965.18",,"$477,565.05",,"$582,675.00",,"$687,260.00",,"$104,585.00",,17.95
,03/27/2024,,,,,,,,,,,,,,,,21 of 81,
