,,,,,,,,,RSU,No.,5,,,,,,,,
,Article,6,System,Administration-,,,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To,Date:,6/30/2024,Definition:,FY25,Adopted,,,,,,,,,
,,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21,Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,,Description,,,,,,,,,,,,
,,1000.0000.2500.55800.900,,Travel,,,,,$0.00,,$52.65,$455.81,,$250.00,,"$1,250.00","$1,000.00",,400.00
,,1000.0000.2500.55810.900,,Travel,,,,,$0.00,,$0.00,,$17.00,,$0.00,$0.00,,$0.00,0.00
,,1000.0000.2500.56000.900,,,Supplies,,,,$0.00,,$0.00,,$0.00,"$4,125.00",,"$2,825.00","($1,300.00)",,(31.52)
,,1000.0000.2500.58100.900,,Dues,and,Fees,,,$0.20,,"$7,729.39","$4,915.47",,"$1,529.00",,"$1,944.00",,$415.00,27.14
,,1000.0000.2500.59001.900,,Cash,Variance,Account,for Auditor,Review,$0.00,,$0.00,($96.50),,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD,- 0000,,,,,"$310,292.07","$416,836.27",,"$371,445.63",,"$401,700.00",,"$482,372.00",,"$80,672.00",,20.08
,Function:,CENTRAL,SERVICES,- 2500,,,,"$310,292.07","$416,836.27",,"$371,445.63",,"$401,700.00",,"$482,372.00",,"$80,672.00",,20.08
Cost,Center:,,SYSTEM WIDE,- 900,,,,"$898,751.93","$1,071,385.41",,"$1,000,558.08",,"$1,074,251.00",,"$1,179,440.00",,"$105,189.00",,9.79
Grand,,Total:,,,,,,,"$898,751.93","$1,071,385.41",,"$1,000,558.08",,"$1,074,251.00",,"$1,179,440.00","$105,189.00",,9.79
,,,,,,,,,End,of Report,,,,,,,,,
,,03/27/2024,,,,,,,,,,,,,,,,63 of 81,
