,,2024-2025,,,
,,ProposedBudgetIncrease/ReductionsSummary,,,
,,Initial,,Future,Proposed
Rating,Description,Request,Reductions,Reserves Year,Amount
,Salary&BenefitIncreasesforcurrent,,,,
M,staffinglevels,"$2,437,025",,,"$2,437,025"
,Audit&LegalFee(basedon3yr,,,,
M,actualaverage),"$40,069",,,"$40,069"
,TechnologyDevice&Equipment,,,,
M,Replacements,"$201,319",,,"$201,319"
,SpecialEducationTeacher(MLS),,,,
M,previouslygrantfunded,"$95,000",,,"$95,000"
,6EducationalTechnicians(Special,,,,
M,Education)previouslygrantfunded,"$240,000",,"($240,000)",$0
M,Grade4Teacher(MLS),"$95,000",,,"$95,000"
,NetworkSystemAdministrator/,,,,
M,RemoveComputerTechnician,"$24,000",,,"$24,000"
M,Nutrition,"($103,245)","($4,666)",,"($107,911)"
M,CTE-Region10TechnicalHighSchool,"$27,201",,,"$27,201"
M,DebtService,"($62,331)",,,"($62,331)"
,"Misc.Supplies,Books,Furniture,",,,,
1,"Subscriptions,Stipends(District)","($33,531)","($61,834)",,"($95,365)"
1,2LeaseBusReplacements,"$102,710","($51,355)",,"$51,355"
1,CapitalProjectsFundingIncrease,"$170,000",,"($125,000)","$45,000"
1,StrategicPlanningConsultant,"$37,000",,"($37,000)",$0
,.2FTEMcKinneyVento/Multilingual,,,,
1,Coordinator,"$19,000",,"($19,000)",$0
,AssistantPrincipal-increaseto190,,,,
1,workdays(FMS),"$7,257",,,"$7,257"
1,AssistantPrincipal-190days(MLS),"$127,000",,,"$127,000"
1,.5FTEGuidanceCounselor(DCS),"$47,500",,,"$47,500"
1,.5FTEScienceTeacher(FHS),"$47,500",,,"$47,500"
2,StipendAdjustments-DCS/MSS/FMS,"$1,083",,,"$1,083"
,Stipend-FHSStandardizedTesting,,,,
2,Coordinator,"$4,066",,,"$4,066"
