,,,,,,,,RSU,No.,5,,,,,
FY25,Article,2,Special,,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,,Percent
,,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,,Description,,,,,,,,,,
,1000.2800.2140.51010.030,,,,Psychological,Services Salary,"$32,555.14",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.030,,,Psych,Services,Benefit,"$1,278.21",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.030,,,Retirement,,,$294.30,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.030,,,Travel,,,$0.00,,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,,PROGRAMS,- 2800,,"$34,127.65",,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
Function:,,PSYCHOLOGICAL,-,2140,,,"$34,127.65",,$0.00,,$125.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2150.51010.030,,,Speech,&,Audiology Salaries,"$30,067.88","$29,596.36",,"$38,867.69",,"$40,510.00","$33,387.00","($7,123.00)",(17.58)
,1000.2800.2150.52010.030,,,Speech,&,Audiology Benefits,"$1,925.04","$8,574.09",,,"$8,449.14","$10,521.00","$15,398.00","$4,877.00",46.35
,1000.2800.2150.52310.030,,,Retirement,,,$270.96,"$1,136.46",,,"$1,492.55","$1,811.00","$1,636.00",($175.00),(9.66)
Program:,OTHER,SPECIAL,,PROGRAMS,- 2800,,"$32,263.88","$39,306.91",,"$48,809.38",,"$52,842.00","$50,421.00","($2,421.00)",(4.58)
Function:,SPEECH,&,AUDIOLOGY,-,2150,,"$32,263.88","$39,306.91",,"$48,809.38",,"$52,842.00","$50,421.00","($2,421.00)",(4.58)
,1000.2800.2160.51010.030,,,OT,Salary,,"$12,422.65","$14,416.11",,"$18,051.79",,"$19,760.00","$21,160.00","$1,400.00",7.09
,1000.2800.2160.52010.030,,,OT,Benefits,,$470.14,"$3,040.72",,,"$3,256.58","$5,293.00","$7,851.00","$2,558.00",48.33
,1000.2800.2160.52310.030,,,Retirement,,,$0.00,,$553.63,,$698.00,$883.00,"$1,031.00",$148.00,16.76
Program:,OTHER,SPECIAL,,PROGRAMS,- 2800,,"$12,892.79","$18,010.46",,"$22,006.37",,"$25,936.00","$30,042.00","$4,106.00",15.83
Function:,OT -,2160,,,,,"$12,892.79","$18,010.46",,"$22,006.37",,"$25,936.00","$30,042.00","$4,106.00",15.83
Cost,Center:,POWNAL,ELEMENTARY,,- 030,,"$185,709.55","$167,440.13",,"$226,894.85",,"$200,912.00","$171,700.00","($29,212.00)",(14.54)
,03/13/2024,,,,,,,,,,,,,19,
