,,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2130.52000.010,,,Employee,Benefits,$0.00,"$4,429.27",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52010.010,,,Nurse Benefits,,"$3,342.45","$20,852.69",,"$17,700.55",,"$20,643.00","$24,231.00","$3,588.00",17.38
,1000.0000.2130.52030.010,,,Nurse Sub,Benefits - DCS,$0.00,,$28.70,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52300.010,,,Retirement -,Stipends,$0.00,,$52.56,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.52310.010,,,Retirement,,$649.02,"$2,777.99",,,"$2,782.78","$3,353.00","$3,587.00",$234.00,6.98
,1000.0000.2130.53000.010,,,Professional,Services,$129.00,,$31.00,,$319.00,$300.00,$300.00,$0.00,0.00
,1000.0000.2130.54310.010,,,Repairs &,Maintenance,$0.00,,$0.00,,$0.00,$135.00,$135.00,$0.00,0.00
,1000.0000.2130.55800.010,,,Travel,,$0.00,,$5.04,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2130.56000.010,,,Supplies,,"$1,019.53",,$792.18,,"$1,209.02","$1,437.00","$1,437.00",$0.00,0.00
,1000.0000.2130.58100.010,,,Dues & Fees,,$0.00,,$0.00,,$0.00,$0.00,$130.00,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,"$73,949.41","$122,810.06",,"$95,176.28",,"$100,869.00","$104,821.00","$3,952.00",3.92
Function:,HEALTH,SERVICES,- 2130,,,"$73,949.41","$122,810.06",,"$95,176.28",,"$100,869.00","$104,821.00","$3,952.00",3.92
,1000.0000.2213.51500.010,,,Stipends-Acad,Leadership and LCC,$0.00,"$29,535.00",,"$43,191.00",,"$27,177.00","$31,482.00","$4,305.00",15.84
,1000.0000.2213.52000.010,,,Stipend Benefits,- DCS,$0.00,,$528.39,,"$7,383.56",$0.00,$532.00,$532.00,0.00
,1000.0000.2213.52300.010,,,Stipend,Retirement - DCS,$0.00,"$1,171.71",,,"$1,658.68",$0.00,"$1,407.00","$1,407.00",0.00
,1000.0000.2213.52510.010,,,Tuition,Reimbursement,$0.00,,$0.00,,$70.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2213.53300.010,,,Professional,Services,$0.00,,$140.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,"$31,375.10",,"$52,303.24",,"$27,177.00","$33,421.00","$6,244.00",22.98
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,$0.00,"$31,375.10",,"$52,303.24",,"$27,177.00","$33,421.00","$6,244.00",22.98
,1000.0000.2220.51010.010,,,Librarian Salary,,"$72,481.15","$71,737.65",,"$75,593.65",,"$80,735.00","$95,441.00","$14,706.00",18.22
,03/13/2024,,,,,,,,,,,,41,
