,,,,,,RSU,No. 5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.51010.010,Teacher,Salary,,"$2,198,951.00",$0.00,"$2,198,951.00",$90.00,$90.00,"$2,198,861.00","$2,132,627.21","$66,233.79",3.01%
,1000.1100.1000.51020.010,Ed Tech,Salaries,,"$100,925.00",$0.00,"$100,925.00",$0.00,$0.00,"$100,925.00","$80,807.72","$20,117.28",19.93%
,1000.1100.1000.51230.010,Salaries-Subs,,,"$72,475.00",$0.00,"$72,475.00",$0.00,$0.00,"$72,475.00",$0.00,"$72,475.00",100.00%
,1000.1100.1000.51500.010,Stipends,,,"$1,080.00",$0.00,"$1,080.00",$0.00,$0.00,"$1,080.00",$0.00,"$1,080.00",100.00%
,1000.1100.1000.52000.010,Stipend,Benefit,,$18.00,$0.00,$18.00,$0.00,$0.00,$18.00,$0.00,$18.00,100.00%
,1000.1100.1000.52010.010,Teacher,Benefits,,"$741,268.00",$0.00,"$741,268.00",$1.76,$1.76,"$741,266.24","$16,590.00","$724,676.24",97.76%
,1000.1100.1000.52020.010,Ed Tech,Benefits,,"$52,669.00",$0.00,"$52,669.00",$0.00,$0.00,"$52,669.00",$0.00,"$52,669.00",100.00%
,1000.1100.1000.52030.010,Benefits-Subs,,,"$5,544.00",$0.00,"$5,544.00",$0.00,$0.00,"$5,544.00",$0.00,"$5,544.00",100.00%
,1000.1100.1000.52300.010,Retirement,,,$48.00,$0.00,$48.00,$0.00,$0.00,$48.00,$0.00,$48.00,100.00%
,1000.1100.1000.52310.010,Retirement,,,"$102,563.00",$0.00,"$102,563.00",$4.02,$4.02,"$102,558.98",$0.00,"$102,558.98",100.00%
,1000.1100.1000.52320.010,Retirement,,,"$4,511.00",$0.00,"$4,511.00",$0.00,$0.00,"$4,511.00",$0.00,"$4,511.00",100.00%
,1000.1100.1000.52330.010,Retirement,,,"$5,118.00",$0.00,"$5,118.00",$0.00,$0.00,"$5,118.00",$0.00,"$5,118.00",100.00%
,1000.1100.1000.53400.010,Professional,Services,,"$28,671.00",$0.00,"$28,671.00",$0.00,$0.00,"$28,671.00","$4,147.00","$24,524.00",85.54%
,1000.1100.1000.54300.010,Copiers-,Equipment Maint,,"$15,600.00",$0.00,"$15,600.00",$0.00,$0.00,"$15,600.00",$0.00,"$15,600.00",100.00%
,1000.1100.1000.54330.010,Software,,,"$6,251.00",$0.00,"$6,251.00",$0.00,$0.00,"$6,251.00","$4,055.00","$2,196.00",35.13%
,1000.1100.1000.55800.010,Travel,,,"$2,000.00",$0.00,"$2,000.00",$0.00,$0.00,"$2,000.00",$0.00,"$2,000.00",100.00%
,1000.1100.1000.56100.010,Supplies,,,"$77,449.00",$0.00,"$77,449.00",$0.00,$0.00,"$77,449.00","$21,641.45","$55,807.55",72.06%
,1000.1100.1000.56110.010,Equipment,"& Furniture,",Instructional,"$11,788.00",$0.00,"$11,788.00",$0.00,$0.00,"$11,788.00",$0.00,"$11,788.00",100.00%
,1000.1100.1000.56400.010,Books,,,"$15,400.00",$0.00,"$15,400.00",$0.00,$0.00,"$15,400.00","$5,940.71","$9,459.29",61.42%
,1000.1100.1000.58100.010,Dues &,Fees,,$472.00,$0.00,$472.00,$0.00,$0.00,$472.00,$0.00,$472.00,100.00%
,Program:,ELEMENTARY,PROGRAMS,- 1100,"$3,442,801.00",$0.00,"$3,442,801.00",$95.78,$95.78,"$3,442,705.22","$2,265,809.09","$1,176,896.13",34.18%
,1000.1120.1000.51010.010,Teacher,Salaries,,"$345,011.00",$0.00,"$345,011.00",$0.00,$0.00,"$345,011.00","$345,011.49",($0.49),0.00%
,1000.1120.1000.51020.010,Ed Tech,Salaries,,"$40,289.00",$0.00,"$40,289.00",$0.00,$0.00,"$40,289.00","$27,805.05","$12,483.95",30.99%
,1000.1120.1000.52010.010,Teacher,Benefits,,"$133,888.00",$0.00,"$133,888.00",$0.00,$0.00,"$133,888.00",$0.00,"$133,888.00",100.00%
,1000.1120.1000.52020.010,Ed Tech,Benefits,,"$8,602.00",$0.00,"$8,602.00",$0.00,$0.00,"$8,602.00",$0.00,"$8,602.00",100.00%
,1000.1120.1000.52310.010,Retirement,,,"$17,042.00",$0.00,"$17,042.00",$0.00,$0.00,"$17,042.00",$0.00,"$17,042.00",100.00%
,1000.1120.1000.52320.010,Retirement,,,"$1,801.00",$0.00,"$1,801.00",$0.00,$0.00,"$1,801.00",$0.00,"$1,801.00",100.00%
,,Program: K-2,INSTRUCTION,- 1120,"$546,633.00",$0.00,"$546,633.00",$0.00,$0.00,"$546,633.00","$372,816.54","$173,816.46",31.80%
,1000.4200.1000.53000.010,JMG,,,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Program:,ALT (AT RISK) ED,PROGRAMS,- 4200,"$27,000.00",$0.00,"$27,000.00","$27,000.00","$27,000.00",$0.00,$0.00,$0.00,0.00%
,Function:,REGULAR,INSTRUCTION,- 1000,"$4,016,434.00",$0.00,"$4,016,434.00","$27,095.78","$27,095.78","$3,989,338.22","$2,638,625.63","$1,350,712.59",33.63%
,Cost,Center: DURHAM,COMMUNITY,- 010,"$4,016,434.00",$0.00,"$4,016,434.00","$27,095.78","$27,095.78","$3,989,338.22","$2,638,625.63","$1,350,712.59",33.63%
,1000.1100.1000.51010.020,Teacher,Salary,,"$1,132,835.00",$0.00,"$1,132,835.00",$0.00,$0.00,"$1,132,835.00","$1,079,314.86","$53,520.14",4.72%
,,,,,,Page 2,of 44,,,,,,
,,,,,,RSU,No. 5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.51020.020,Ed Tech,Salaries,,"$126,824.00",$0.00,"$126,824.00",$0.00,$0.00,"$126,824.00","$93,883.74","$32,940.26",25.97%
