,,,,,RSU,No. 5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,
,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.54300.030,Copiers Repairs/Maint,,"$9,700.00",$0.00,"$9,700.00","$3,532.78","$3,532.78","$6,167.22",$0.00,"$6,167.22",63.58%
,1000.1100.1000.54330.030,Software,,"$5,135.00",$0.00,"$5,135.00",$0.00,$0.00,"$5,135.00",$0.00,"$5,135.00",100.00%
,1000.1100.1000.55800.030,Travel,,"$1,400.00",$0.00,"$1,400.00",$0.00,$0.00,"$1,400.00",$0.00,"$1,400.00",100.00%
,1000.1100.1000.56100.030,Instructional,Supplies,"$24,147.00",$0.00,"$24,147.00",$0.00,$0.00,"$24,147.00","$1,386.72","$22,760.28",94.26%
,1000.1100.1000.56110.030,Equipment &,"Furniture, Instructional","$1,727.00",$0.00,"$1,727.00",$0.00,$0.00,"$1,727.00",$0.00,"$1,727.00",100.00%
,1000.1100.1000.56400.030,Books,,"$4,050.00",$0.00,"$4,050.00",$0.00,$0.00,"$4,050.00",$0.00,"$4,050.00",100.00%
,1000.1100.1000.58100.030,Dues and Fees,,$200.00,$0.00,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
,Program:,ELEMENTARY,PROGRAMS - 1100,"$942,707.00",$0.00,"$942,707.00","$3,532.78","$3,532.78","$939,174.22","$661,501.59","$277,672.63",29.45%
,1000.1120.1000.51010.030,Teacher Salaries,,"$116,507.00",$0.00,"$116,507.00",$0.00,$0.00,"$116,507.00","$120,007.64","($3,500.64)",-3.00%
,1000.1120.1000.51020.030,Ed Tech Salaries,,"$27,225.00",$0.00,"$27,225.00",$0.00,$0.00,"$27,225.00","$26,130.23","$1,094.77",4.02%
,1000.1120.1000.52010.030,Teacher Benefits,,"$41,305.00",$0.00,"$41,305.00",$0.00,$0.00,"$41,305.00",$0.00,"$41,305.00",100.00%
,1000.1120.1000.52020.030,Ed Tech Benefits,,"$5,765.00",$0.00,"$5,765.00",$0.00,$0.00,"$5,765.00",$0.00,"$5,765.00",100.00%
,1000.1120.1000.52030.030,Sub Benefits,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
,1000.1120.1000.52310.030,Retirement,,"$5,689.00",$0.00,"$5,689.00",$0.00,$0.00,"$5,689.00",$0.00,"$5,689.00",100.00%
,1000.1120.1000.52320.030,Retirement,,"$1,217.00",$0.00,"$1,217.00",$0.00,$0.00,"$1,217.00",$0.00,"$1,217.00",100.00%
,,Program: K-2,INSTRUCTION - 1120,"$198,158.00",$0.00,"$198,158.00",$0.00,$0.00,"$198,158.00","$146,137.87","$52,020.13",26.25%
,Function:,REGULAR,INSTRUCTION - 1000,"$1,140,865.00",$0.00,"$1,140,865.00","$3,532.78","$3,532.78","$1,137,332.22","$807,639.46","$329,692.76",28.90%
,Cost,Center: POWNAL,ELEMENTARY - 030,"$1,140,865.00",$0.00,"$1,140,865.00","$3,532.78","$3,532.78","$1,137,332.22","$807,639.46","$329,692.76",28.90%
,1000.1100.1000.51010.040,Teacher Salaries,,"$1,495,902.00",$0.00,"$1,495,902.00",$0.00,$0.00,"$1,495,902.00","$1,091,125.56","$404,776.44",27.06%
,1000.1100.1000.51020.040,Ed Tech Salaries,,"$60,894.00",$0.00,"$60,894.00",$0.00,$0.00,"$60,894.00","$58,908.30","$1,985.70",3.26%
,1000.1100.1000.51230.040,Substitute Wages,,"$33,450.00",$0.00,"$33,450.00",$0.00,$0.00,"$33,450.00",$0.00,"$33,450.00",100.00%
,1000.1100.1000.52010.040,Teacher Benefits,,"$484,674.00",$0.00,"$484,674.00",$0.00,$0.00,"$484,674.00",$819.06,"$483,854.94",99.83%
,1000.1100.1000.52020.040,Ed Tech Benefits,,"$19,098.00",$0.00,"$19,098.00",$0.00,$0.00,"$19,098.00",$0.00,"$19,098.00",100.00%
,1000.1100.1000.52030.040,Substitute Benefits,,"$2,559.00",$0.00,"$2,559.00",$0.00,$0.00,"$2,559.00",$0.00,"$2,559.00",100.00%
,1000.1100.1000.52310.040,Retirement,,"$67,971.00",$0.00,"$67,971.00",$0.00,$0.00,"$67,971.00",$0.00,"$67,971.00",100.00%
,1000.1100.1000.52320.040,Retirement,,"$2,722.00",$0.00,"$2,722.00",$0.00,$0.00,"$2,722.00",$0.00,"$2,722.00",100.00%
,1000.1100.1000.52330.040,Retirement,,$450.00,$0.00,$450.00,$0.00,$0.00,$450.00,$0.00,$450.00,100.00%
,1000.1100.1000.53400.040,Purchased,Professional,"$21,423.00",$0.00,"$21,423.00",$0.00,$0.00,"$21,423.00",$0.00,"$21,423.00",100.00%
,1000.1100.1000.54300.040,Copiers Repair/Maint,,"$11,800.00",$0.00,"$11,800.00","$11,878.61","$11,878.61",($78.61),$0.00,($78.61),-0.67%
,1000.1100.1000.54330.040,Software,,"$5,893.00",$0.00,"$5,893.00",$0.00,$0.00,"$5,893.00",$0.00,"$5,893.00",100.00%
,1000.1100.1000.55800.040,Travel,,$580.00,$0.00,$580.00,$0.00,$0.00,$580.00,$0.00,$580.00,100.00%
,1000.1100.1000.56100.040,Instructional,Supplies,"$46,825.00",$0.00,"$46,825.00",$0.00,$0.00,"$46,825.00",$0.00,"$46,825.00",100.00%
,1000.1100.1000.56400.040,Books,,"$9,600.00",$0.00,"$9,600.00",$0.00,$0.00,"$9,600.00",$0.00,"$9,600.00",100.00%
,,,,,Page 4,of 44,,,,,,
,,,,,RSU,No. 5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,
,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.57300.040,Equipment,,"$15,945.00",$0.00,"$15,945.00",$0.00,$0.00,"$15,945.00","$7,515.30","$8,429.70",52.87%
