,,,,,,,RSU,No. 5,,,,,,
Article 1,Regular,Instruction-,,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.4900.1000.51010.950,,Teacher,Salaries,,,"$211,493.00",$0.00,"$211,493.00",$0.00,$0.00,"$211,493.00","$214,293.33","($2,800.33)",-1.32%
1000.4900.1000.51500.950,,Stipends,,,,"$12,876.00",$0.00,"$12,876.00",$0.00,$0.00,"$12,876.00","$2,699.95","$10,176.05",79.03%
1000.4900.1000.52000.950,,Stipends,,,,$218.00,$0.00,$218.00,$0.00,$0.00,$218.00,$300.05,($82.05),-37.64%
1000.4900.1000.52010.950,,Teacher,Benefits,,,"$63,219.00",$0.00,"$63,219.00",$0.00,$0.00,"$63,219.00",$0.00,"$63,219.00",100.00%
1000.4900.1000.52300.950,,,Retirement,,,$576.00,$0.00,$576.00,$0.00,$0.00,$576.00,$0.00,$576.00,100.00%
1000.4900.1000.52310.950,,,Retirement,,,"$9,926.00",$0.00,"$9,926.00",$0.00,$0.00,"$9,926.00",$0.00,"$9,926.00",100.00%
1000.4900.1000.53000.950,,,Purchased Professional,Services,,"$4,038.00",$0.00,"$4,038.00",$0.00,$0.00,"$4,038.00",$0.00,"$4,038.00",100.00%
1000.4900.1000.53400.950,,,Professional Services,Testing,,"$1,957.00",$0.00,"$1,957.00",$0.00,$0.00,"$1,957.00",$0.00,"$1,957.00",100.00%
1000.4900.1000.53440.950,,GaTE,K-8 Professional,Servies,,"$1,704.00",$0.00,"$1,704.00",$0.00,$0.00,"$1,704.00",$0.00,"$1,704.00",100.00%
1000.4900.1000.55800.950,,Travel,,,,$920.00,$0.00,$920.00,$0.00,$0.00,$920.00,$0.00,$920.00,100.00%
1000.4900.1000.56100.950,,GaTE,K-8 Instructional,Supplies,,"$2,117.00",$0.00,"$2,117.00",$0.00,$0.00,"$2,117.00",$0.00,"$2,117.00",100.00%
1000.4900.1000.56400.950,,GaTE,K-8 Books,,,"$1,200.00",$0.00,"$1,200.00",$0.00,$0.00,"$1,200.00",$0.00,"$1,200.00",100.00%
1000.4900.1000.58100.950,,Dues,and Fees,,,"$4,754.00",$0.00,"$4,754.00",$0.00,$0.00,"$4,754.00",$0.00,"$4,754.00",100.00%
,,Program:,GIFTED &,TALENTED -,4900,"$314,998.00",$0.00,"$314,998.00",$0.00,$0.00,"$314,998.00","$217,293.33","$97,704.67",31.02%
,Function:,REGULAR,,INSTRUCTION -,1000,"$395,737.00",$0.00,"$395,737.00",$0.00,$0.00,"$395,737.00","$369,252.40","$26,484.60",6.69%
,,,Cost,Center: K-8 -,950,"$395,737.00",$0.00,"$395,737.00",$0.00,$0.00,"$395,737.00","$369,252.40","$26,484.60",6.69%
1000.4100.1000.51010.990,,Teacher,Salaries,,,"$175,963.00",$0.00,"$175,963.00",$600.00,$600.00,"$175,363.00","$188,922.79","($13,559.79)",-7.71%
1000.4100.1000.52010.990,,Teacher,Benefits,,,"$41,524.00",$0.00,"$41,524.00",$11.71,$11.71,"$41,512.29",$699.90,"$40,812.39",98.29%
1000.4100.1000.52310.990,,,Retirement,,,"$8,472.00",$0.00,"$8,472.00",$26.82,$26.82,"$8,445.18",$0.00,"$8,445.18",99.68%
1000.4100.1000.56100.990,,,Instructional Supplies,,,$500.00,$0.00,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,,,Program:,ELL -,4100,"$226,459.00",$0.00,"$226,459.00",$638.53,$638.53,"$225,820.47","$189,622.69","$36,197.78",15.98%
1000.4900.1000.51010.990,,Teacher,Salaries,,,"$11,743.00",$0.00,"$11,743.00",$0.00,$0.00,"$11,743.00","$11,742.39",$0.61,0.01%
1000.4900.1000.51500.990,,Stipends,,,,$300.00,$0.00,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
1000.4900.1000.52000.990,,Stipends,,,,$5.00,$0.00,$5.00,$0.00,$0.00,$5.00,$0.00,$5.00,100.00%
1000.4900.1000.52010.990,,Teacher,Benefits,,,"$5,293.00",$0.00,"$5,293.00",$0.00,$0.00,"$5,293.00",$0.00,"$5,293.00",100.00%
1000.4900.1000.52300.990,,,Retirement,,,$13.00,$0.00,$13.00,$0.00,$0.00,$13.00,$0.00,$13.00,100.00%
1000.4900.1000.52310.990,,,Retirement,,,$569.00,$0.00,$569.00,$0.00,$0.00,$569.00,$0.00,$569.00,100.00%
1000.4900.1000.53000.990,,Purchase,Professional,Services,,$38.00,$0.00,$38.00,$0.00,$0.00,$38.00,$0.00,$38.00,100.00%
1000.4900.1000.53440.990,,GaTE,HS Professional,Services,,"$9,325.00",$0.00,"$9,325.00",$0.00,$0.00,"$9,325.00","$3,128.00","$6,197.00",66.46%
1000.4900.1000.56100.990,,GaTE,HS Instructional,Supplies,,$213.00,$0.00,$213.00,$0.00,$0.00,$213.00,$0.00,$213.00,100.00%
1000.4900.1000.58100.990,,GaTE,Dues & Fees,- Sec,,$250.00,$0.00,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,,Program:,GIFTED &,TALENTED -,4900,"$27,749.00",$0.00,"$27,749.00",$0.00,$0.00,"$27,749.00","$14,870.39","$12,878.61",46.41%
,Function:,REGULAR,,INSTRUCTION -,1000,"$254,208.00",$0.00,"$254,208.00",$638.53,$638.53,"$253,569.47","$204,493.08","$49,076.39",19.31%
,,,,,,,Page 7,of 44,,,,,,
