,,,,,RSU,No.,5,,,,,,
Article,2 Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2800.2160.55800.900,Travel - OT - District,Wide,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,Program:,OTHER SPECIAL,PROGRAMS - 2800,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,Function:,OT - 2160,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.2800.2170.55800.900,Travel - PT - District,Wide,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,Program:,OTHER SPECIAL,PROGRAMS - 2800,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,Function:,PT - 2170,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.2800.2190.51010.900,BCBA Salary,,"$62,131.00",$0.00,"$62,131.00",,$0.00,$0.00,"$62,131.00",$0.00,"$62,131.00",100.00%
,1000.2800.2190.52010.900,BCBA Benefits,,"$29,685.00",$0.00,"$29,685.00",,$0.00,$0.00,"$29,685.00",$0.00,"$29,685.00",100.00%
,1000.2800.2190.52310.900,BCBA Retirement,,"$3,057.00",$0.00,"$3,057.00",,$0.00,$0.00,"$3,057.00",$0.00,"$3,057.00",100.00%
,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$94,873.00",$0.00,"$94,873.00",,$0.00,$0.00,"$94,873.00",$0.00,"$94,873.00",100.00%
,Function:,OTHER SUPPORT,SERVICES - 2190,"$94,873.00",$0.00,"$94,873.00",,$0.00,$0.00,"$94,873.00",$0.00,"$94,873.00",100.00%
,1000.2500.2330.51010.900,Instructional Strategist,Salaries,"$231,880.00",$0.00,"$231,880.00",,$0.00,$0.00,"$231,880.00","$76,330.19","$155,549.81",67.08%
,1000.2500.2330.51040.900,Admin Salaries,,"$137,592.00",$0.00,"$137,592.00",,"$5,342.88","$5,342.88","$132,249.12","$137,072.12","($4,823.00)",-3.51%
,1000.2500.2330.51180.900,Support Wages,,"$59,380.00",$0.00,"$59,380.00",,"$2,196.00","$2,196.00","$57,184.00","$56,487.20",$696.80,1.17%
,1000.2500.2330.52010.900,Instructional Strategist,Benefits,"$75,234.00",$0.00,"$75,234.00",,$0.00,$0.00,"$75,234.00",$0.00,"$75,234.00",100.00%
,1000.2500.2330.52040.900,Admin Benefits,,"$18,001.00",$0.00,"$18,001.00",,$88.16,$88.16,"$17,912.84",$130.56,"$17,782.28",98.78%
,1000.2500.2330.52080.900,Support Benefits,,"$26,443.00",$0.00,"$26,443.00",,$969.20,$969.20,"$25,473.80",$0.00,"$25,473.80",96.33%
,1000.2500.2330.52310.900,Retirement,,"$11,227.00",$0.00,"$11,227.00",,$0.00,$0.00,"$11,227.00",$0.00,"$11,227.00",100.00%
,1000.2500.2330.52340.900,Retirement,,"$6,150.00",$0.00,"$6,150.00",,$238.83,$238.83,"$5,911.17",$238.83,"$5,672.34",92.23%
,1000.2500.2330.52380.900,Retirement,,"$2,969.00",$0.00,"$2,969.00",,$109.80,$109.80,"$2,859.20",$0.00,"$2,859.20",96.30%
,1000.2500.2330.53000.900,Legal,,"$15,000.00",$0.00,"$15,000.00",,$0.00,$0.00,"$15,000.00",$0.00,"$15,000.00",100.00%
,1000.2500.2330.53200.900,Telephone,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.2500.2330.53401.900,Admin Purchased,Services,"$15,000.00",$0.00,"$15,000.00",,$0.00,$0.00,"$15,000.00",$0.00,"$15,000.00",100.00%
,1000.2500.2330.55310.900,Postage,,"$2,000.00",$0.00,"$2,000.00",,$0.00,$0.00,"$2,000.00",$0.00,"$2,000.00",100.00%
,1000.2500.2330.55350.900,Adori Special Ed,Software,"$2,200.00",$0.00,"$2,200.00",,$0.00,$0.00,"$2,200.00",$0.00,"$2,200.00",100.00%
,1000.2500.2330.55800.900,Travel,,"$3,000.00",$0.00,"$3,000.00",,$0.00,$0.00,"$3,000.00",$0.00,"$3,000.00",100.00%
,1000.2500.2330.56000.900,Supplies,,"$4,300.00",$0.00,"$4,300.00",,$0.00,$0.00,"$4,300.00",$249.11,"$4,050.89",94.21%
,1000.2500.2330.58100.900,Dues & Fees,,$865.00,$0.00,,$865.00,$0.00,$0.00,$865.00,$0.00,$865.00,100.00%
,,Program: ADMINISTRATION,- 2500,"$611,481.00",$0.00,"$611,481.00",,"$8,944.87","$8,944.87","$602,536.13","$270,508.01","$332,028.12",54.30%
,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$611,481.00",$0.00,"$611,481.00",,"$8,944.87","$8,944.87","$602,536.13","$270,508.01","$332,028.12",54.30%
,,Cost Center: SYSTEM,WIDE - 900,"$708,054.00",$0.00,"$708,054.00",,"$8,944.87","$8,944.87","$699,109.13","$270,508.01","$428,601.12",60.53%
,,,,,Page,15 of,44,,,,,,
