,,FY25,RSU5BudgetTimeline
,"September13,2023",,BudgetTimelinetoBoard
,"December6,2023",,LeadershipMeetingw/Towns
,,,________________________________________________________________________________________
,"February7,2024",,Superintendent’sProposedBudget
,,,"BudgetReview: DCS,FMS,FHS"
,"February14,2024",,"BudgetReview: MSS,PES,MLS,CIA"
,"February28,2024",,"BudgetReview:Technology,Nutrition,CommunityPrograms,"
,,,"Facilities,Transportation,Inst.Support,Athletics"
"March13,",2024,,ReviewofFY25Superintendent’sBudget
,,,BoardDeliberationsonBudget
,"March20,2024",,ReviewofFY25Superintendent’sBudget
,,,PublicInputonBudget
,,,BoardDeliberationsonBudget
,"March27,2024",,PublicInputonBudget
,,,AdoptFY25SchoolBudget
,,,________________________________________________________________________________________
,"April10,2024@PES",6:00-6:30p.m.,Q&AonFY25BoardAdoptedBudget
,,,SigningofWarrantsforABM&Referendum
,"April24,2024@DCS",6:00-6:30p.m.,Q&AonFY25BoardAdoptedBudget
"May8,2024",,6:00-6:30p.m.,Q&AonFY25BoardAdoptedBudget
,"May15,2024@FHS",,AnnualBudgetMeeting(ABM)ontheFY25Budget
,,BoardMeeting,
"June11,2024",,,BudgetValidationReferendum(BVR)
"June12,2024",,,Computation&DeclarationofVotes
,,,AssessmentWarrants
,BoardofDirectorsReview:9-13-23,,
,Revised:1-2-24;1-24-24;2-7-24;2-14-24,,
