,,,,,,RSU,No. 5,,,,,,,
Article,1,Regular,Instruction-,Adopted,,,,,,,,,,
From,Date:,7/1/2025,To,Date: 6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,
,1000.4900.1000.52302.010,,,GaTE Music Stipend,,$48.81,,$22.56,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Retirement - DCS,,,,,,,,,,
Program:,GIFTED,& TALENTED,- 4900,,"$3,035.70",,,"$1,538.00",$0.00,$0.00,$0.00,,$0.00,0.00
Function:,REGULAR,INSTRUCTION,- 1000,,"$3,001,860.29",,"$3,205,900.33",,"$3,628,927.11","$4,016,434.00","$4,364,881.00","$348,447.00",,8.68
Cost,Center:,DURHAM COMMUNITY,- 010,,"$3,001,860.29",,"$3,205,900.33",,"$3,628,927.11","$4,016,434.00","$4,364,881.00","$348,447.00",,8.68
,1000.1100.1000.51010.020,,,Teacher Salary,"$1,035,730.15",,"$1,119,833.98",,"$1,109,569.36","$1,132,835.00","$1,195,284.00","$62,449.00",,5.51
,1000.1100.1000.51020.020,,,Ed Tech Salaries,"$74,832.55",,,"$73,790.79","$95,366.74","$126,824.00","$134,574.00","$7,750.00",,6.11
,1000.1100.1000.51230.020,,,Substitute Wages,"$60,405.75",,,"$90,540.23","$69,364.28","$33,450.00","$74,220.00","$40,770.00",,121.88
,1000.1100.1000.52010.020,,,Teacher Benefits,"$231,613.78",,"$205,630.56",,"$243,265.17","$385,838.00","$248,768.00","($137,070.00)",,(35.53)
,1000.1100.1000.52020.020,,,Ed Tech Benefits,"$16,501.34",,,"$28,127.62","$27,656.30","$61,575.00","$65,781.00","$4,206.00",,6.83
,1000.1100.1000.52030.020,,,Substitute Benefits,"$4,669.38",,,"$7,381.87","$3,937.92","$2,559.00","$2,397.00",($162.00),,(6.33)
,1000.1100.1000.52310.020,,,Retirement,"$29,983.68",,,"$42,542.01","$49,047.40","$55,354.00","$53,429.00","($1,925.00)",,(3.48)
,1000.1100.1000.52320.020,,,Retirement,"$1,771.63",,,"$6,497.29","$6,829.32","$5,669.00","$6,015.00",$346.00,,6.10
,1000.1100.1000.52330.020,,,Retirement,,$78.25,,$12.86,$297.81,$0.00,"$3,318.00","$3,318.00",,0.00
,1000.1100.1000.53400.020,,,Professional Servics,$465.00,,,"$4,074.00","$5,129.48","$8,160.00","$7,810.00",($350.00),,(4.29)
,1000.1100.1000.54300.020,,,Copiers-Equipment,"Maint $10,800.08",,,"$6,075.21","$8,806.06","$13,000.00","$13,000.00",,$0.00,0.00
,1000.1100.1000.54330.020,,,Software,"$3,750.00",,,"$4,686.63","$3,607.37","$4,050.00","$4,050.00",,$0.00,0.00
,1000.1100.1000.55800.020,,,Travel,,$60.84,,$558.48,$721.13,$540.00,$700.00,$160.00,,29.63
,1000.1100.1000.56100.020,,,Instructional Supplies,"$30,583.92",,,"$42,411.85","$46,471.02","$47,245.00","$42,982.00","($4,263.00)",,(9.02)
,Adopted,04/09/2025,,,,,,,,,,,Page 5 of 91,
