,,,,,,,,RSU,No. 5,,,,,,,
Article,1,Regular,Instruction-,,Adopted,,,,,,,,,,,
From,Date:,7/1/2025,,To,Date:,6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,,,Description,,,,,,,,,,
,1000.1120.1000.52310.030,,,,,Retirement,"$5,498.18",,,"$11,528.32","$6,065.38","$5,689.00","$5,914.00",$225.00,,3.96
,1000.1120.1000.52320.030,,,,,Retirement,$668.14,,,$601.29,$565.10,"$1,217.00","$1,316.00",,$99.00,8.13
Program:,K-2,INSTRUCTION,- 1120,,,,"$193,766.89",,"$175,172.65",,"$167,158.52","$198,158.00","$207,226.00","$9,068.00",,4.58
Function:,REGULAR,,INSTRUCTION,- 1000,,,"$975,855.44",,"$952,750.95",,"$1,012,534.26","$1,140,865.00","$1,226,403.00","$85,538.00",,7.50
Cost,Center:,POWNAL,ELEMENTARY,- 030,,,"$975,855.44",,"$952,750.95",,"$1,012,534.26","$1,140,865.00","$1,226,403.00","$85,538.00",,7.50
,1000.1100.1000.51010.040,,,,Teacher,Salaries,"$1,184,827.65",,"$1,347,635.74",,"$1,382,269.93","$1,495,902.00","$1,771,344.00","$275,442.00",,18.41
,1000.1100.1000.51020.040,,,,Ed,Tech Salaries,"$23,198.88",,,"$52,422.61","$80,864.99","$60,894.00","$29,472.00","($31,422.00)",,(51.60)
,1000.1100.1000.51230.040,,,,,Substitute Wages,"$31,591.73",,,"$32,974.25","$40,866.08","$33,450.00","$43,727.00","$10,277.00",,30.72
,1000.1100.1000.51500.040,,,,Stipends,,,$0.00,,$0.00,$0.00,$0.00,"$2,400.00","$2,400.00",,0.00
,1000.1100.1000.52000.040,,,,Stipend,Benefits,,$0.00,,$0.00,$0.00,$0.00,$81.00,,$81.00,0.00
,1000.1100.1000.52010.040,,,,Teacher,Benefits,"$272,821.16",,"$312,984.83",,"$341,645.17","$484,674.00","$443,878.00","($40,796.00)",,(8.42)
,1000.1100.1000.52020.040,,,,Ed,Tech Benefits,"$8,231.46",,,"$8,359.80","$11,232.62","$19,098.00","$6,118.00","($12,980.00)",,(67.97)
,1000.1100.1000.52030.040,,,,,Substitute Benefits,"$1,943.35",,,"$2,178.14","$2,302.62","$2,559.00","$1,412.00","($1,147.00)",,(44.82)
,1000.1100.1000.52300.040,,,,,Retirement - Stipends,,$0.00,,$0.00,$0.00,$0.00,$107.00,$107.00,,0.00
,1000.1100.1000.52310.040,,,,,Retirement,"$30,904.48",,,"$58,257.41","$62,425.79","$67,971.00","$79,179.00","$11,208.00",,16.49
,1000.1100.1000.52320.040,,,,,Retirement,$905.36,,,$898.14,"$2,112.59","$2,722.00","$1,328.00","($1,394.00)",,(51.21)
,1000.1100.1000.52330.040,,,,,Retirement,$141.49,,,$320.97,$195.08,$450.00,"$1,955.00","$1,505.00",,334.44
,1000.1100.1000.53400.040,,,,,Purchased Professional,"$33,572.96",,,"$15,932.20","$13,963.00","$21,423.00","$19,078.00","($2,345.00)",,(10.95)
,Adopted,04/09/2025,,,,,,,,,,,,,Page 8 of 91,
