,,,,,,,RSU,No. 5,,,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,,
From,Date:,7/1/2025,To,Date:,6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,
,1000.9600.1000.55000.300,,,,Purchased Services,"$25,959.92",,,"$35,208.98","$13,791.57","$13,690.00","$15,711.00","$2,021.00",,14.76
,1000.9600.1000.55800.300,,,,Travel,"$1,276.33",,,$572.07,$625.05,"$1,270.00","$1,270.00",,$0.00,0.00
,1000.9600.1000.56000.300,,,,Supplies,"$48,378.17",,,"$41,746.31","$42,052.64","$44,438.00","$48,044.00","$3,606.00",,8.11
,1000.9600.1000.58100.300,,,,Dues and Fees,"$43,562.69",,,"$46,310.95","$49,969.41","$49,940.00","$54,260.00","$4,320.00",,8.65
Program:,,EXTRA-CURRICULAR,9-12 - 9600,,,"$329,403.52",,"$334,978.68",,"$324,751.13","$350,948.00","$373,645.00","$22,697.00",,6.47
Function:,REGULAR,INSTRUCTION,- 1000,,,"$425,392.70",,"$436,385.58",,"$435,568.53","$476,474.00","$514,727.00","$38,253.00",,8.03
,1000.9600.2330.51010.300,,,,Athletic Director Salary -,"$73,661.16",,"$100,618.86",,"$77,420.02","$80,080.00","$85,701.00","$5,621.00",,7.02
,,,,FHS,,,,,,,,,,,
,1000.9600.2330.51060.300,,,,Athletic Trainer Salary,,$0.00,,$0.00,"$64,575.20","$65,520.00","$70,119.00","$4,599.00",,7.02
,1000.9600.2330.51180.300,,,,Athletic Office Support Staff,"$13,273.45",,,"$7,094.56","$14,783.81","$16,012.00","$16,595.00",$583.00,,3.64
,,,,,Wages - FHS,,,,,,,,,,
,1000.9600.2330.52010.300,,,,Athletic Director Benefits,"- $14,438.46",,,"$16,664.94","$11,916.41","$19,202.00","$20,598.00","$1,396.00",,7.27
,,,,FHS,,,,,,,,,,,
,1000.9600.2330.52060.300,,,,Athletic Trainer Benefits,,$0.00,,$0.00,"$13,784.47","$19,074.00","$20,670.00","$1,596.00",,8.37
,1000.9600.2330.52080.300,,,,Athletic Office Support Staff,"$1,043.50",,,$505.05,"$1,261.24","$3,735.00","$3,795.00",,$60.00,1.61
,,,,,Benefits - FHS,,,,,,,,,,
,1000.9600.2330.52310.300,,,,Athletic Director Retirement,"$2,828.64",,,"$1,558.58","$3,441.88","$3,580.00","$3,831.00",$251.00,,7.01
,,,,-,FHS,,,,,,,,,,
,1000.9600.2330.52340.300,,,,Athletic Dir Retirement,,$0.00,,"$1,449.55",$0.00,$0.00,$0.00,,$0.00,0.00
Program:,,EXTRA-CURRICULAR,9-12 - 9600,,,"$105,245.21",,"$127,891.54",,"$187,183.03","$207,203.00","$221,309.00","$14,106.00",,6.81
Function:,SPECIAL,AREA,ADMINISTRATION,- 2330,,"$105,245.21",,"$127,891.54",,"$187,183.03","$207,203.00","$221,309.00","$14,106.00",,6.81
Cost,Center:,FREEPORT HIGH,SCHOOL -,300,,"$530,637.91",,"$564,277.12",,"$622,751.56","$683,677.00","$736,036.00","$52,359.00",,7.66
,Adopted,04/09/2025,,,,,,,,,,,,Page 43 of 91,
