,,,,,RSU,No. 5,,,,,,,
Article,7,School Administration-,Adopted,,,,,,,,,,
From,Date:,7/1/2025,To Date: 6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,FY26,Dollar,,Percent
,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
Account,,,Description,,,,,,,,,,
,1000.0000.2400.52340.030,,Retirement,"$4,237.42",,,"$4,516.98","$5,520.84","$5,742.00","$6,145.00",$403.00,,7.02
,1000.0000.2400.52380.030,,Retirement,,$0.00,,$7.82,$63.77,"$2,450.00","$2,581.00",$131.00,,5.35
,1000.0000.2400.53400.030,,Other Professional,Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,1000.0000.2400.55310.030,,Postage,$233.70,,,$300.84,$228.21,$400.00,$400.00,,$0.00,0.00
,1000.0000.2400.55800.030,,Travel,$235.46,,,$533.12,$761.20,$470.00,$450.00,($20.00),,(4.26)
,1000.0000.2400.56000.030,,Supplies,$294.54,,,$236.86,$28.60,$300.00,$300.00,,$0.00,0.00
,1000.0000.2400.56400.030,,Admin Books,,$0.00,,$0.00,$273.16,$500.00,$500.00,,$0.00,0.00
,1000.0000.2400.58100.030,,Dues & Fees,$234.00,,,$539.00,$259.00,$275.00,$275.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$172,233.00",,"$200,431.55",,"$161,056.90","$228,423.00","$243,903.00","$15,480.00",,6.78
Function:,SCHOOL,ADMINISTRATION,- 2400,"$172,233.00",,"$200,431.55",,"$161,056.90","$228,423.00","$243,903.00","$15,480.00",,6.78
Cost,Center:,POWNAL ELEMENTARY,- 030,"$172,233.00",,"$200,431.55",,"$161,056.90","$228,423.00","$243,903.00","$15,480.00",,6.78
,1000.0000.2400.51040.040,,Admin Salaries,"$108,332.18",,"$120,627.11",,$0.00,"$255,449.00","$243,393.00","($12,056.00)",,(4.72)
,1000.0000.2400.51180.040,,Support Wages,"$47,315.07",,,"$49,081.81","$54,617.68","$58,851.00","$63,202.00","$4,351.00",,7.39
,1000.0000.2400.52040.040,,Admin Benefits,"$24,797.81",,,"$19,357.11",$892.36,"$11,672.00","$30,440.00","$18,768.00",,160.80
,1000.0000.2400.52080.040,,Support Benefits,"$15,101.72",,,"$12,861.19","$15,564.04","$19,131.00","$20,426.00","$1,295.00",,6.77
,1000.0000.2400.52340.040,,Retirement,"$4,246.17",,,"$4,602.01",$0.00,"$5,742.00","$10,880.00","$5,138.00",,89.48
,1000.0000.2400.52380.040,,Retirement,$742.66,,,"$1,837.95","$2,057.48","$2,943.00","$3,160.00",$217.00,,7.37
,1000.0000.2400.53400.040,,Other Professional,Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,Adopted,04/09/2025,,,,,,,,,,Page 73 of 91,
