,,,,,,Projected,Enrollment,,,,,
,,,,,,,2025-2026,,,,,
,,,,,2021-2022,,2022-2023,2023-2024,,2024-2025,,2025-2026
,,,,,Enrollment,,Enrollment,Enrollment,,Enrollment,,Projected
,,,,,10/1/21,,10/1/22,10/1/23,,10/1/24,,Enrollment
Morse,Street,School,,,,,327,316,,288,,289
Mast,Landing,School,,,,,254,281,,266,,274
Pownal,,Elementary,School,,,,96,89,,97,,97
Durham,,Community,School,,,,463,473,,466,,486
,Freeport Middle,School,,,,,307,293,,288,,284
,Freeport High,School,,,,,619,632,,592,,588
Total,,,,,,,2066,2084,,1997,,2018
,,,,,1990,,,,,,,
,,,,,Projected,Teachers,/ Class Sizes,Per Grade,,,,
,Reflects,24-25,staffing,levels,,,,,,,,
,,,,,,,Pownal,Durham,,,,
,Grade,,Morse,Street,Mast,Landing,Elementary,Community,,,Freeport,Middle
,,2,,"(16,16,16,16)",,,.5 (12),1.5,"(13,13,14)",,,
,Pre-K,,,,,,,,,,,
,K,,5,(15),,,1 (12),3,(15),,,
,1,,5,(14-15),,,1 (12),3,(17-18),,,
,2,,5,(15-16),,,1 (14),3,(17-18),,,
,3,,,,5 (17-18),,1 (14),3,(14-15),,,
,4,,,,5 (16-17),,1 (18),3,(18-19),,,
,5,,,,5 (20-21),,1 (15),3,(14-15),,,
,6,,,,,,,3,(17),,5.5,(17-18)
,7,,,,,,,3,(18),,5.5,(18)
,8,,,,,,,2,(24),,5.5,(16-17)
,Total,,17,,15,,6.5,27.5,,,16.5,
,9,,,,,,,,,,See next,page
,10,,,,,,,,,,See next,page
,11,,,,,,,,,,See next,page
,12,,,,,,,,,,See next,page
