,,,,,Projected,Teachers,/ Class,Sizes,Per,Grade,,,
,Reflects,25-26,staffing,levels with,recommended,,reductions,,and,adds,,,
,,,,,,,,Pownal,,Durham,,,
,Grade,,Morse,Street,Mast,Landing,,Elementary,,Community,,Freeport,Middle
,,2,,"(16,16,16,16)",,,.5,(12),,1.5,"(13,13,14)",,
,Pre-K,,,,,,,,,,,,
,K,,4,(18-19),,,1,(12),,3 (15),,,
,1,,4,(17-18),,,1,(12),,3 (17-18),,,
,2,,5,(15-16),,,1,(14),,3 (17-18),,,
,3,,,,5 (17-18),,1,(14),,3 (14-15),,,
,4,,,,5 (16-17),,1,(18),,3 (18-19),,,
,5,,,,5 (20-21),,1,(15),,2 (21-22),,,
,6,,,,,,,,,3 (17),,5.5,(17-18)
,7,,,,,,,,,3 (18),,5.5,(18
,8,,,,,,,,,2 (24),,5.5,(16-17)
,Total,,15,,15,,,6.5,,26.5,,16.5,
,,,,,,Freeport,High,School,,,,,
,,,,,,2024-2025,Class,Size,,,,,
,,,,,,,,,,,,,Class Size
,,,Department,,#,of Teachers,,# of,Students,#,of Sections,,(Range)
Drama,,,,,,1,,,48,,3,,9 - 23
,Endeavor,,,,,3,,,26,,9,,5 - 11
,English,,,,,7.25,,,591,,25,,2 - 21
Fine,Arts,,,,,2,,,147,,12,,2 - 18
Health,/ PE,,,,,3,,,244,,17,,5 - 25
JMG,/,Videography,,,,1,,,70,,6,,5 - 15
Math,,,,,,8.3,,,701,,49,,6 - 23
Music,,,,,,2,,,122,,11,,4 - 34
Morse,Street,,,Pre-apprenticeship,,1,,,30,,6,,2 - 7
,Science,,,,,7.7,,,756,,41,,6 - 22
Social,Studies,,,,,5.2,,,519,,31,,9 - 22
World,,Language,,,,4.5,,,357,,24,,7 - 21
