,,,,,2025-2026,,,
,,Board,Adopted,Budget,Expenditure/Reductions,,Summary,
,,,,,Superintendent,Board,,
,,,,,Initial (Reductions),(Reductions),,Adopted
Rating,,,Description,,Request Additions,Additions,,Amount
,Salary,&,Benefit,Increases for,,,,
,current,staffing,levels,(does not,,,,
,include,FY25,1YO MLS,Grade 5 and,,,,
M,Special,Education,Reserve,Educators),"$3,366,202","($42,995)",,"$3,323,207"
,,Insurance -,Property,"& Casualty,",,,,
M,School,Board,Legal,Liability,"$21,511",,,"$21,511"
M,Nutrition,,,,"($45,743)",,,"($45,743)"
M,Adult,Education,,,"($24,000)",,,"($24,000)"
M,CTE,- Region,10,,"$26,071","($8,094)",,"$17,977"
M,Debt,Service,,,"($57,637)",,,"($57,637)"
,Misc.,"Supplies,","Books,","Furniture,",,,,
M,,"Subscriptions,",Equipment,(DW),"($76,217)",,,"($76,217)"
,Summer,,Programming,"(DCS, PES,",,,,
1,&,FHS),,,"$24,842",,,"$24,842"
1,Capital,Projects,Funding,,"$30,000","$6,000",,"$36,000"
1,,Transportation,- Fleet,Maintenance,"$40,204",,,"$40,204"
1,RTI-B,Education,,Technician (DCS),"$48,600",,,"$48,600"
,,Guidance,Office Secretary,work,,,,
1,days,from,163 to 183,(FHS),"$2,525",,,"$2,525"
,1 Bus,,Replacement,(Lease,,,,
1,,Adjustment),,,"$4,338",,,"$4,338"
,,Implementation,of,Vehicle,,,,
1,,Replacement,Plan,(Balance needed),"$163,662",,,"$163,662"
OR,,Kindergarten,Educator,(MSS),$0,"($102,000)",,"($102,000)"
OR,Grade,1,Educator (MSS),,$0,"($102,000)",,"($102,000)"
OR,Grade,3,Educator (DCS),,$0,"($102,000)","$102,000",$0
OR,Grade,5,Educator (DCS),,$0,"($102,000)",,"($102,000)"
,Grade,4,Educator (MLS),,$0,$0,"$102,000","$102,000"
OR,.5,ESOL,Educator,(District),$0,"($51,000)","$51,000",$0
OR,.5,English,Educator,(FHS),$0,"($51,000)",,"($51,000)"
OR,.5,Spanish,Educator,(FHS),$0,"($51,000)",,"($51,000)"
