,,,,Article,& Capital,Reserve,Accounts,,
,,,,,,2025-2026,,,
*Reserve,Accounts,,funding:,Appropriate,"$2,509,376",from,Undesignated,Fund,Balance
,,,,Article,1 -,Regular,Instruction,,
Article,1: Regular,,Instruction,Balance,"July 1, 2025",,,"$120,837",
,Anticipated,Addition,2025-2026*,,,,,"$295,800",
,Anticipated,Reserve,Balance,as of June,"30, 2026",,,"$416,637",
,,,,,Article 2 -,Special,Instruction,,
Article,2: Special,Instruction,,Balance,"July 1, 2025",,,"$335,564",
,Anticipated,Addition,2025-2026*,,,,,"$618,517",
,Anticipated,Reserve,Balance,as of June,"30, 2026",,,"$954,081",
,,,,Article,5 - Student,&,Staff Support,,
Article,5: Student,& Staff,,Support Balance,"July 1,",2025,,$,"6,768"
,Anticipated,Addition,2025-2026,,,,,$,0
,Anticipated,Reserve,Balance,as of June,"30, 2026",,,$,"6,768"
,,,,Article,6 - System,,Administration,,
Article,6: System,,Administration,Balance,"July 1,",2025,,$,0
,Anticipated,Addition,2025-2026,,,,,$,0
,Anticipated,Reserve,Balance,as of June,"30, 2026",,,$,0
,,,,,Article 8 -,Transportation,,,
Article,8:,Transportation,Balance,July,"1, 2025",,,$,"60,000"
,Anticipated,Addition,2025-2026,,,,,$,0
,Anticipated,Reserve,Balance,as of June,"30, 2026",,,$,"60,000"
,,,,,Heating Fuel,Reserve,Fund,,
Heating,Fuel,Reserve,Balance,"July 1,",2025,,,"$100,000",
,Anticipated Usage,,2025-2026,,,,,,$0
,Anticipated,Heating Fuel,,Reserve Balance,as of,"June 30,",2026,"$100,000",
,2025-2026,Heating Fuel,,Budgeted in,Operating,Budget,,"$267,000",
