,,,,,,RSU,No. 5,,,,,,,
Article,1 Regular,Instruction-,,Adopted,,,,,,,,,,
From,Date:,7/1/2025,To Date:,6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,,
,1000.1100.1000.52030.050,,,Substitute Benefits,"$1,057.49",,,"$3,926.91","$3,200.48","$5,544.00","$1,763.00","($3,781.00)",,(68.20)
,1000.1100.1000.52300.050,,,Retirement,,$0.00,,$0.00,$0.00,$208.00,$235.00,,$27.00,12.98
,1000.1100.1000.52310.050,,,Retirement,"$52,200.54",,,"$67,968.73","$84,044.72","$90,587.00","$89,964.00",($623.00),,(0.69)
,1000.1100.1000.52320.050,,,Retirement,"$3,287.14",,,"$3,380.49","$4,063.71","$5,489.00","$4,685.00",($804.00),,(14.65)
,1000.1100.1000.52330.050,,,Retirement,$447.91,,,$448.26,$554.92,$450.00,"$2,440.00","$1,990.00",,442.22
,1000.1100.1000.53400.050,,,Purchased Professional,"$21,353.74",,,"$21,664.80","$22,955.17","$22,168.00","$21,688.00",($480.00),,(2.17)
,1000.1100.1000.54300.050,,,Copiers Repair/Maint,"$10,064.41",,,"$6,566.37","$23,102.72","$16,100.00","$16,100.00",,$0.00,0.00
,1000.1100.1000.54330.050,,,Software,"$5,904.87",,,"$5,705.67","$6,136.92","$5,908.00","$3,820.00","($2,088.00)",,(35.34)
,1000.1100.1000.55800.050,,,Travel,$900.64,,,"$2,364.82","$2,364.03","$3,000.00","$10,500.00","$7,500.00",,250.00
,1000.1100.1000.56100.050,,,Instructional Supplies,"$42,472.07",,,"$43,581.32","$43,131.14","$43,313.00","$48,345.00","$5,032.00",,11.62
,1000.1100.1000.56110.050,,,"Equipment & Furniture,",,$0.00,,$0.00,$0.00,$0.00,"$10,750.00","$10,750.00",,0.00
,,,,Instructional,,,,,,,,,,
,1000.1100.1000.56400.050,,,Books,"$8,433.80",,,"$9,537.62","$11,999.66","$12,000.00","$13,200.00","$1,200.00",,10.00
,1000.1100.1000.57300.050,,,Equipment,"$18,169.65",,,"$18,474.45","$21,454.06","$21,425.00",$0.00,"($21,425.00)",,(100.00)
,1000.1100.1000.58100.050,,,Dues & Fees,"$2,247.20",,,"$1,465.74","$2,110.73","$2,120.00","$2,120.00",,$0.00,0.00
Program:,ELEMENTARY,PROGRAMS,- 1100,,"$2,380,788.86",,"$2,500,474.73",,"$2,736,487.22","$2,992,774.00","$2,916,759.00","($76,015.00)",,(2.54)
,1000.4200.1000.53000.050,,,JMG,"$25,000.00",,,"$25,000.00","$27,000.00","$27,000.00","$27,000.00",,$0.00,0.00
Program:,ALT (AT,RISK) ED,PROGRAMS -,4200,"$25,000.00",,,"$25,000.00","$27,000.00","$27,000.00","$27,000.00",,$0.00,0.00
,1000.4900.1000.51501.050,,,GaTE Art Advisor,"Stipend - $1,272.00",,,$636.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,FMS,,,,,,,,,,
,1000.4900.1000.51502.050,,,GaTE Music Advisor,"$1,272.00",,,$423.99,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Stipend - FMS,,,,,,,,,,
,01/22/2024,,,,,,,,,,,Page,9 of 90,
