,,,,,,,,RSU,No. 5,,,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,,,
From,Date:,7/1/2025,,To,Date:,6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
Account,,,,,,Description,,,,,,,,,,
,1000.2300.1000.52310.040,,,,,Retirement,"$4,598.23",,,"$4,826.19","$6,164.84","$6,538.00","$9,166.00",,"$2,628.00",40.20
,1000.2300.1000.52320.040,,,,,Retirement,$863.02,,,"$1,249.87","$1,285.70","$1,402.00","$1,496.00",,$94.00,6.70
,1000.2300.1000.53400.040,,,,Other,Professional Services,,$0.00,,$0.00,"$38,136.50",$0.00,$0.00,,$0.00,0.00
Program:,SELF,CONTAINED,CLASS,PLACEMENT,-,2300,"$193,785.65",,"$182,964.40",,"$243,491.93","$227,187.00","$310,439.00","$83,252.00",,36.64
Function:,REGULAR,,INSTRUCTION,- 1000,,,"$414,274.66",,"$357,580.14",,"$440,527.30","$561,444.00","$662,495.00","$101,051.00",,18.00
,1000.2800.2110.51010.040,,,,Social,Worker Salary,"$35,007.21",,,"$36,559.39","$38,375.09","$38,165.00","$46,838.00",,"$8,673.00",22.73
,1000.2800.2110.52010.040,,,,Social,Worker Benefits,"$7,797.85",,,"$7,929.98","$7,283.01","$12,996.00","$10,732.00","($2,264.00)",,(17.42)
,1000.2800.2110.52310.040,,,,,Retirement,"$1,344.20",,,"$1,403.93","$1,715.25","$1,849.00","$2,094.00",,$245.00,13.25
,1000.2800.2110.55800.040,,,,Travel,,,$0.00,,$0.00,$0.00,$300.00,$300.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,"$44,149.26",,,"$45,893.30","$47,373.35","$53,310.00","$59,964.00",,"$6,654.00",12.48
Function:,Attendance,&,Social Work,- 2110,,,"$44,149.26",,,"$45,893.30","$47,373.35","$53,310.00","$59,964.00",,"$6,654.00",12.48
,1000.2800.2140.53440.040,,,,,Professional Services,,$0.00,,$0.00,$0.00,$0.00,"$1,750.00",,"$1,750.00",0.00
,1000.2800.2140.55800.040,,,,Travel,,,$0.00,,$0.00,$0.00,$0.00,$267.00,,$267.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,,$0.00,,$0.00,$0.00,$0.00,"$2,017.00",,"$2,017.00",0.00
Function:,,PSYCHOLOGICAL,- 2140,,,,,$0.00,,$0.00,$0.00,$0.00,"$2,017.00",,"$2,017.00",0.00
,1000.2800.2150.51010.040,,,,Speech,& Audiology,"$44,394.78",,,"$46,711.95",$0.00,"$37,278.00","$34,569.00","($2,709.00)",,(7.27)
,,,,,Salaries,,,,,,,,,,,
,01/22/2024,,,,,,,,,,,,,Page,22 of 90,
