,,,,,,RSU,No. 5,,,,,,,
Article,5,Student,and Staff,Support- Adopted,,,,,,,,,,
From,Date:,7/1/2025,To,Date: 6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,,FY26,,Dollar,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2110.51010.010,,,Social Worker Salaries,,$0.00,,$0.00,"$39,103.26","$38,631.00","$47,046.00",,"$8,415.00",21.78
,1000.0000.2110.52010.010,,,Social Worker Benefits,,$0.00,,$0.00,"$9,467.27","$14,908.00","$13,101.00","($1,807.00)",,(12.12)
,1000.0000.2110.52310.010,,,Social Worker Retirement,,$0.00,,$0.00,"$1,744.00","$1,859.00","$2,103.00",,$244.00,13.13
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,"$50,314.53","$55,398.00","$62,250.00",,"$6,852.00",12.37
Function:,Attendance,& Social,Work - 2110,,,$0.00,,$0.00,"$50,314.53","$55,398.00","$62,250.00",,"$6,852.00",12.37
,1000.0000.2120.51010.010,,,Guidance Salaries,"$97,478.35",,"$107,080.83",,"$151,136.73","$90,759.00","$154,209.00","$63,450.00",,69.91
,1000.0000.2120.52010.010,,,Benefits,"$11,156.53",,,"$10,208.66","$10,438.44","$43,455.00","$11,936.00","($31,519.00)",,(72.53)
,1000.0000.2120.52310.010,,,Retirement,"$3,743.10",,,"$4,099.82","$6,760.40","$6,665.00","$6,830.00",,$165.00,2.48
,1000.0000.2120.53000.010,,,Professional Services,,$0.00,,$226.25,$66.67,$300.00,$300.00,,$0.00,0.00
,1000.0000.2120.54330.010,,,Software,$333.33,,,$333.33,$333.33,$334.00,$334.00,,$0.00,0.00
,1000.0000.2120.55810.010,,,Travel - Guidance,,$0.00,,$0.00,$0.00,$200.00,$200.00,,$0.00,0.00
,1000.0000.2120.56100.010,,,Supplies,,$94.31,,$239.00,$524.56,$525.00,"$1,450.00",,$925.00,176.19
,1000.0000.2120.57300.010,,,Equipment,$500.00,,,$464.06,$749.77,$0.00,$0.00,,$0.00,0.00
,1000.0000.2120.58100.010,,,Dues & Fees,$254.00,,,$473.00,$384.00,$608.00,$758.00,,$150.00,24.67
Program:,OVERHEAD,- 0000,,,"$113,559.62",,"$123,124.95",,"$170,393.90","$142,846.00","$176,017.00","$33,171.00",,23.22
Function:,,COUNSELING -,2120,,"$113,559.62",,"$123,124.95",,"$170,393.90","$142,846.00","$176,017.00","$33,171.00",,23.22
,01/22/2024,,,,,,,,,,,Page,44 of 90,
