,,,,,RSU,No. 5,,,,,,,
Article,9,Operations &,Maintenance- Adopted,,,,,,,,,,
From,Date:,7/1/2025,To Date: 6/30/2026,Definition:,FY26,Proposed,,,,,,,
,,,,,,,,,,FY26,,Dollar,Percent
,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,Proposed,Difference,,Difference
Account,,,Description,,,,,,,,,,
,1000.0000.2600.51180.300,,Custodian Salaries,"$211,962.18",,"$197,633.91",,"$184,711.60","$215,886.00","$253,639.00","$37,753.00",,17.49
,1000.0000.2600.51200.300,,Salaries of Temporary,"$4,122.01",,,"$5,577.50","$2,662.50",$0.00,"$74,424.00","$74,424.00",,0.00
,,,Employees,,,,,,,,,,
,1000.0000.2600.52000.300,,Employee Benefits,,$0.00,,$669.65,$0.00,$0.00,"$11,565.00","$11,565.00",,0.00
,1000.0000.2600.52030.300,,Benefits for subs and,temp $337.98,,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,employees,,,,,,,,,,
,1000.0000.2600.52080.300,,Custodian Benefits,"$72,610.43",,,"$66,695.09","$65,673.60","$84,238.00","$109,434.00","$25,196.00",,29.91
,1000.0000.2600.52380.300,,Retirement,"$5,238.80",,,"$2,768.08","$1,950.75","$10,794.00","$12,682.00",,"$1,888.00",17.49
,1000.0000.2600.53000.300,,Purchased Professional,,$0.00,,$0.00,$0.00,$0.00,$118.00,,$118.00,0.00
,1000.0000.2600.53300.300,,Employee Training,,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54100.300,,Water/Sewage,"$13,510.07",,,"$28,692.52","$17,333.75","$29,829.00","$28,960.00",,($869.00),(2.91)
,1000.0000.2600.54300.300,,Purchased Repair,"$60,127.46",,,"$67,516.39","$112,987.94","$80,916.00","$91,944.00","$11,028.00",,13.63
,1000.0000.2600.55200.300,,Insurance,"$15,192.75",,,"$15,318.31","$20,520.21","$21,712.00","$23,976.00",,"$2,264.00",10.43
,1000.0000.2600.55320.300,,Telephone,"$5,839.00",,,"$10,071.37","$8,985.13","$10,373.00","$10,373.00",,$0.00,0.00
,1000.0000.2600.55800.300,,Travel,,$0.00,,$0.00,$0.00,$0.00,$15.00,,$15.00,0.00
,1000.0000.2600.56000.300,,Supplies,"$28,113.69",,,"$46,921.43","$31,002.79","$41,500.00","$37,200.00","($4,300.00)",,(10.36)
,1000.0000.2600.56011.300,,Materials for Repair,"$4,748.62",,,"$8,634.37","$2,302.80","$6,800.00","$7,600.00",,$800.00,11.76
,1000.0000.2600.56013.300,,Major Maintenance,"$26,101.37",,,"$2,355.19","$10,380.72","$4,597.00","$25,045.00","$20,448.00",,444.81
,1000.0000.2600.56220.300,,Electricity,"$67,410.97",,,"$46,100.46","$48,384.14","$46,390.00","$42,000.00","($4,390.00)",,(9.46)
,1000.0000.2600.56240.300,,Heating Fuel,"$84,503.55",,,"$97,169.45","$77,846.12","$96,000.00","$91,000.00","($5,000.00)",,(5.21)
Program:,OVERHEAD,- 0000,,"$599,818.88",,"$596,123.72",,"$584,742.05","$649,160.00","$820,100.00","$170,940.00",,26.33
Function:,OPERATION,OF PLANT -,2600,"$599,818.88",,"$596,123.72",,"$584,742.05","$649,160.00","$820,100.00","$170,940.00",,26.33
,01/22/2024,,,,,,,,,,Page,84 of 90,
